"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",12,"54.5%","22.7%","77.3%","42%","-",46,40,51,2.4,"68.3%","22.7%","8%",11,189,-1.6,8.7,"27.7%",614,"30.3%","23.9%",0.42,0.17
"Ashe","ADC",10,"45.5%","50.0%","95.5%","30%","-",17,31,44,2,"70.1%","19.9%","10%",24,-66,-3.5,8.8,"29.1%",381,"20.3%","23.8%",0.35,0.3
"Braum","Support",1,"4.5%","0.0%","4.5%","0%","-",0,3,2,0.7,"33.3%","27.3%","0%",-236,-76,11,1.2,"3.0%",169,"8.8%","9.3%",1.41,0.38
"Caitlyn","ADC",6,"27.3%","18.2%","45.5%","33%","-",12,17,23,2.1,"53.0%","18.9%","0%",148,50,14,9.6,"30.2%",383,"19.7%","24.2%",0.42,0.32
"Camille","Top",10,"45.5%","54.5%","100.0%","60%","-",43,14,40,5.9,"63.4%","16.1%","60%",86,-81,-5.4,8.6,"26.9%",479,"25.2%","23.0%",0.52,0.16
"Cassiopeia","Middle",1,"4.5%","31.8%","36.4%","0%","-",0,4,0,0,"-","40.0%","0%",2,-176,0,8.9,"26.7%",137,"17.8%","22.5%",0.27,0.07
"Ekko","Top",1,"4.5%","0.0%","4.5%","0%","-",0,4,6,1.5,"66.7%","17.4%","100%",-294,-181,12,7.1,"16.2%",425,"21.1%","18.9%",0.55,0.12
"Elise","Jungle",2,"9.1%","59.1%","68.2%","50%","-",1,6,7,1.3,"47.1%","27.3%","50%",149,144,5.5,4.5,"10.4%",203,"13.0%","17.1%",0.89,0.51
"Ezreal","ADC",6,"27.3%","9.1%","36.4%","50%","-",16,8,29,5.6,"57.7%","12.9%","0%",-133,-122,-2.8,9.2,"28.7%",596,"27.7%","23.8%",0.37,0.33
"Fizz","Top",2,"9.1%","27.3%","36.4%","0%","-",4,9,10,1.6,"70.0%","22.0%","0%",-199,-55,11.5,8.3,"26.2%",363,"15.7%","22.2%",0.51,0.09
"Gnar","-",0,"0%","4.5%","4.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Gragas","Top",4,"18.2%","13.6%","31.8%","25%","-",2,9,19,2.3,"50.0%","14.3%","0%",-195,-46,0.3,8.4,"27.3%",347,"17.8%","21.5%",0.46,0.1
"Graves","Jungle",11,"50.0%","50.0%","100.0%","45%","-",37,36,58,2.6,"70.4%","22.4%","45%",146,325,12.5,5.7,"17.3%",379,"19.0%","20.5%",0.73,0.37
"Jayce","Middle",3,"13.6%","9.1%","22.7%","100%","-",13,6,25,6.3,"64.4%","18.2%","33%",-99,-172,-1.7,8.1,"27.2%",732,"26.0%","22.7%",0.37,0.05
"Jhin","ADC",1,"4.5%","4.5%","9.1%","100%","-",10,1,12,22,"71.0%","5.3%","0%",-173,-281,-25,7.5,"29.2%",819,"21.8%","24.4%",0.33,0.16
"Jinx","ADC",1,"4.5%","0.0%","4.5%","100%","-",1,3,10,3.7,"61.1%","23.1%","0%",-770,-319,-43,8.3,"32.2%",344,"14.0%","21.5%",0.47,0.33
"Karma","Middle",1,"4.5%","18.2%","63.6%","100%","-",0,1,9,9,"60.0%","16.7%","0%",160,354,2,9.4,"26.0%",567,"28.7%","19.7%",0.38,0.19
"Karma","Support",9,"40.9%","18.2%","63.6%","33%","-",2,23,51,2.3,"61.6%","18.9%","0%",-91,-85,2,0.8,"2.8%",208,"11.6%","10.9%",1.41,0.41
"Karthus","Middle",2,"9.1%","13.6%","22.7%","100%","-",10,4,12,5.5,"73.3%","40.0%","50%",-263,-477,-11,9.7,"28.3%",617,"33.7%","23.8%",0.54,0.08
"Kayle","Middle",1,"4.5%","0.0%","4.5%","100%","-",4,3,5,3,"39.1%","33.3%","0%",211,347,0,8.6,"25.2%",521,"20.2%","21.9%",0.47,0.04
"Kennen","Top",1,"4.5%","0.0%","4.5%","0%","-",0,4,0,0,"0.0%","25.0%","0%",-70,-580,16,9.3,"31.0%",366,"22.1%","26.9%",0.47,0.08
"Kha'Zix","Jungle",10,"45.5%","9.1%","54.5%","40%","-",31,21,48,3.8,"61.7%","17.5%","30%",-230,-412,-10.1,5.2,"15.9%",355,"16.2%","19.0%",0.85,0.26
"LeBlanc","Middle",2,"9.1%","22.7%","31.8%","50%","-",8,8,6,1.8,"48.3%","22.2%","0%",-115,-326,-4,7.6,"24.6%",791,"32.3%","21.1%",0.3,0.08
"Lee Sin","Jungle",10,"45.5%","22.7%","68.2%","50%","-",24,41,52,1.9,"61.8%","30.6%","30%",-278,-444,-9.9,4.4,"12.9%",237,"12.3%","18.0%",0.86,0.29
"Lucian","ADC",7,"31.8%","9.1%","40.9%","57%","-",17,16,23,2.5,"43.5%","16.8%","29%",-66,50,2.7,9.1,"28.1%",424,"21.0%","23.6%",0.49,0.27
"Lulu","Support",10,"45.5%","22.7%","68.2%","50%","-",17,27,83,3.7,"63.7%","18.5%","20%",-164,-200,2,0.7,"2.6%",177,"8.5%","11.8%",1.24,0.35
"Malzahar","Support",1,"4.5%","45.5%","50.0%","100%","-",1,0,4,5,"50.0%","-","0%",-60,249,-1,0.6,"2.8%",105,"7.7%","11.8%",1.35,0.54
"Maokai","Top",2,"9.1%","4.5%","13.6%","0%","-",1,12,13,1.2,"50.0%","25.5%","0%",-963,-465,-14,5.6,"17.8%",241,"12.3%","17.0%",0.56,0.1
"Miss Fortune","Support",2,"9.1%","0.0%","9.1%","0%","-",6,8,3,1.1,"81.8%","18.2%","50%",31,-380,5.5,1.8,"6.9%",368,"21.6%","15.7%",1.37,0.47
