"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Sejuani","Jungle",1,"2.4%","0.0%","2.4%","0%","100%",1,2,4,2.5,"83.3%","11.1%","0%",-287,-557,-12,5.4,"14.3%",233,"15.1%","18.4%",0.26,0.26
"Senna","ADC",4,"9.5%","14.3%","23.8%","50%","75%",11,10,35,4.6,"85.2%","19.2%","0%",-485,-340,-62.3,3.7,"16.3%",642,"28.1%","20.0%",0.82,0.65
"Seraphine","ADC",3,"7.1%","7.1%","23.8%","0%","33%",6,8,13,2.4,"82.6%","17.4%","33%",-500,-295,-12.7,7.5,"23.7%",364,"23.9%","23.0%",0.41,0.24
"Seraphine","Support",4,"9.5%","7.1%","23.8%","50%","75%",7,9,36,4.8,"84.3%","17.0%","25%",23,-87,-12.8,0.7,"3.3%",178,"10.7%","10.3%",1.48,0.28
"Sett","Middle",2,"4.8%","11.9%","26.2%","0%","50%",1,6,5,1,"66.7%","17.6%","0%",-136,74,0.5,6.8,"16.8%",263,"17.1%","18.1%",0.52,0.27
"Sett","Support",4,"9.5%","11.9%","26.2%","25%","50%",4,15,23,1.8,"58.7%","23.8%","25%",205,35,4.3,1.4,"3.1%",161,"11.1%","8.7%",1.75,0.5
"Shen","-",0,"0%","9.5%","9.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sivir","ADC",1,"2.4%","0.0%","2.4%","100%","100%",6,0,5,11,"61.1%","0.0%","0%",184,-83,8,11.4,"32.6%",533,"24.8%","29.3%",0.45,0.65
"Swain","-",0,"0%","2.4%","2.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Syndra","Middle",11,"26.2%","23.8%","50.0%","27%","27%",15,32,58,2.3,"61.3%","20.3%","27%",-25,37,1.3,8.2,"24.2%",425,"24.8%","22.2%",0.45,0.15
"Tahm Kench","Support",3,"7.1%","0.0%","7.1%","67%","67%",1,6,30,5.2,"68.9%","15.4%","0%",624,206,56.7,4.3,"7.1%",189,"7.8%","12.7%",0.45,0.08
"Taliyah","Jungle",12,"28.6%","59.5%","88.1%","58%","8%",40,27,68,4,"67.1%","17.8%","25%",-62,128,3,7,"21.0%",441,"24.5%","20.9%",0.41,0.27
"Taric","Support",1,"2.4%","0.0%","2.4%","0%","100%",0,1,4,4,"66.7%","10.0%","100%",24,-263,-1,1,"2.4%",60,"5.1%","6.5%",1.58,0.26
"Thresh","Support",11,"26.2%","28.6%","54.8%","36%","27%",5,34,70,2.2,"67.6%","25.0%","18%",56,5,-1.9,1.1,"2.4%",108,"6.0%","8.2%",1.43,0.33
"Tristana","-",0,"0%","2.4%","2.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Twisted Fate","Middle",14,"33.3%","47.6%","81.0%","50%","21%",25,33,96,3.7,"68.4%","19.9%","50%",495,83,-0.1,8.1,"23.5%",375,"22.4%","23.3%",0.35,0.2
"Udyr","Jungle",12,"28.6%","2.4%","31.0%","58%","67%",39,24,94,5.5,"75.1%","15.6%","50%",152,23,1.7,6.8,"19.5%",276,"14.0%","21.2%",0.32,0.41
"Vayne","ADC",1,"2.4%","2.4%","4.8%","0%","100%",3,7,1,0.6,"80.0%","26.9%","100%",-732,-233,-14,7.5,"23.0%",366,"30.7%","26.1%",0.37,0.29
"Viktor","Middle",2,"4.8%","7.1%","11.9%","100%","0%",7,7,23,4.3,"56.6%","23.3%","50%",562,500,14.5,8.3,"23.9%",617,"23.3%","21.9%",0.44,0.27
"Xayah","ADC",4,"9.5%","0.0%","9.5%","50%","100%",10,4,14,6,"77.4%","10.5%","25%",164,-103,-4.3,9.5,"30.9%",407,"27.9%","26.5%",0.49,0.21
"Yone","Middle",6,"14.3%","16.7%","31.0%","50%","67%",22,20,22,2.2,"54.3%","23.3%","17%",-229,29,-7.8,8.4,"28.6%",395,"22.0%","24.3%",0.38,0.17
"Zoe","Middle",4,"9.5%","0.0%","9.5%","75%","75%",13,12,24,3.1,"56.9%","30.0%","25%",303,188,3.3,8.5,"25.7%",477,"25.1%","21.9%",0.51,0.25
