"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Jhin","ADC",1,"3.3%","0.0%","3.3%","0%","100%",0,2,4,2,"50.0%","12.5%","0%",140,317,-4,9.2,"28.1%",306,"20.3%","23.2%",0.38,0.18
"Jinx","ADC",6,"20.0%","3.3%","23.3%","33%","100%",22,16,11,2.1,"58.9%","21.3%","33%",404,52,17.8,9.8,"33.8%",481,"31.3%","28.5%",0.4,0.3
"Kai'Sa","ADC",11,"36.7%","10.0%","46.7%","36%","45%",42,25,53,3.8,"71.4%","16.6%","27%",-105,-147,-4.4,9.2,"31.6%",450,"23.3%","26.6%",0.5,0.36
"Kalista","ADC",1,"3.3%","23.3%","26.7%","100%","100%",8,3,7,5,"88.2%","42.9%","0%",-467,-362,-7,10.5,"34.6%",471,"22.8%","27.4%",0.49,0.82
"Karma","Middle",3,"10.0%","50.0%","73.3%","67%","33%",3,5,33,7.2,"85.7%","16.7%","0%",136,378,2.3,7.1,"15.6%",322,"16.0%","19.2%",0.54,0.23
"Karma","Support",3,"10.0%","50.0%","73.3%","33%","33%",2,7,36,5.4,"69.1%","13.2%","0%",-204,-190,-10,0.6,"2.4%",161,"6.7%","8.3%",1.44,0.33
"Karma","Top",1,"3.3%","50.0%","73.3%","100%","0%",2,1,12,14,"66.7%","9.1%","0%",-137,78,-3,5.5,"16.1%",307,"13.0%","16.5%",0.53,0.21
"Karthus","Jungle",1,"3.3%","0.0%","3.3%","0%","100%",0,3,3,1,"75.0%","16.7%","0%",-576,-451,-8,6.6,"18.2%",428,"29.2%","17.6%",0.33,0.47
"Kennen","Top",1,"3.3%","3.3%","6.7%","0%","100%",2,5,4,1.2,"60.0%","33.3%","0%",-53,169,-10,7.6,"25.6%",458,"29.5%","19.3%",0.44,0.07
"Kog'Maw","ADC",3,"10.0%","0.0%","10.0%","100%","67%",13,2,18,15.5,"63.3%","8.3%","0%",-8,-87,6,9.4,"32.6%",604,"32.0%","26.9%",0.62,0.32
"LeBlanc","Middle",2,"6.7%","3.3%","10.0%","100%","100%",19,0,11,30,"88.2%","0.0%","50%",897,511,20,8,"19.5%",777,"35.8%","26.3%",0.61,0.29
"Lee Sin","Jungle",4,"13.3%","33.3%","96.7%","75%","50%",15,12,46,5.1,"81.3%","18.8%","50%",183,27,-3,5.2,"18.5%",358,"15.3%","19.1%",0.62,0.34
"Lee Sin","Middle",6,"20.0%","33.3%","96.7%","50%","17%",18,10,27,4.5,"69.2%","16.4%","33%",319,40,6.8,9.1,"25.2%",352,"20.5%","24.8%",0.49,0.26
"Lee Sin","Top",9,"30.0%","33.3%","96.7%","22%","11%",10,27,42,1.9,"54.2%","19.4%","11%",-367,-232,-6.6,7.9,"24.6%",313,"17.4%","21.0%",0.5,0.2
"Leona","Support",19,"63.3%","20.0%","83.3%","47%","42%",13,64,147,2.5,"69.6%","25.0%","32%",-88,-45,-0.3,1.2,"3.2%",105,"5.6%","8.7%",1.49,0.5
"Lillia","Jungle",1,"3.3%","0.0%","3.3%","0%","100%",4,3,4,2.7,"66.7%","18.8%","0%",-190,-816,-12,5.7,"14.7%",379,"19.6%","18.5%",0.29,0.44
"Lucian","Middle",5,"16.7%","43.3%","60.0%","0%","40%",9,11,9,1.6,"48.6%","15.3%","0%",-40,-111,9,8.8,"25.7%",321,"22.6%","24.4%",0.49,0.26
"Lulu","Middle",1,"3.3%","30.0%","46.7%","100%","0%",2,0,11,13,"68.4%","0.0%","0%",244,270,12,8,"19.9%",202,"10.8%","18.9%",0.46,0.11
"Lulu","Support",3,"10.0%","30.0%","46.7%","67%","0%",1,4,30,7.8,"75.6%","11.4%","0%",213,422,2.3,0.9,"1.2%",71,"4.1%","8.2%",1.53,0.2
"Lulu","Top",1,"3.3%","30.0%","46.7%","0%","100%",0,4,5,1.3,"100.0%","30.8%","0%",-538,103,-2,5.6,"13.9%",165,"11.2%","14.0%",0.57,0.21
"Malphite","Top",1,"3.3%","0.0%","3.3%","0%","100%",1,3,3,1.3,"100.0%","15.8%","0%",-785,-225,-14,6.4,"21.6%",420,"31.1%","23.7%",0.45,0
"Nautilus","Support",4,"13.3%","36.7%","50.0%","50%","0%",4,11,33,3.4,"68.5%","22.4%","25%",-30,-182,-1,1.1,"2.7%",132,"6.7%","8.5%",1.58,0.27
"Nidalee","Jungle",3,"10.0%","6.7%","16.7%","0%","67%",8,8,5,1.6,"86.7%","15.4%","0%",-160,447,7.7,6.6,"17.1%",373,"26.9%","24.2%",0.3,0.52
"Nocturne","Jungle",2,"6.7%","43.3%","63.3%","0%","50%",2,9,7,1,"60.0%","26.5%","0%",-258,-569,-12,5.2,"13.8%",206,"13.1%","16.3%",0.63,0.34
"Nocturne","Top",4,"13.3%","43.3%","63.3%","25%","50%",6,17,16,1.3,"59.5%","25.8%","25%",364,294,10.8,8.4,"25.9%",384,"21.0%","24.3%",0.47,0.17
"Olaf","Jungle",1,"3.3%","0.0%","3.3%","100%","100%",2,1,6,8,"57.1%","33.3%","100%",127,495,10,8,"24.3%",243,"14.1%","19.5%",0.24,0.12
"Orianna","Middle",4,"13.3%","16.7%","30.0%","75%","75%",9,7,26,5,"66.0%","17.1%","0%",20,332,6,8.8,"25.3%",458,"27.2%","22.4%",0.5,0.18
"Rakan","Support",3,"10.0%","0.0%","10.0%","33%","100%",2,12,26,2.3,"70.0%","26.1%","100%",-61,70,-14.3,1.3,"3.5%",141,"7.2%","9.0%",1.87,0.58
"Rell","Support",2,"6.7%","3.3%","10.0%","100%","50%",1,5,28,5.8,"85.3%","20.8%","0%",-178,-173,5.5,1.1,"3.0%",230,"8.6%","10.0%",1.39,0.41
"Renekton","Middle",2,"6.7%","83.3%","93.3%","0%","0%",1,10,5,0.6,"50.0%","28.6%","0%",-196,-332,-8.5,7.7,"22.2%",222,"15.6%","20.9%",0.39,0.27
"Renekton","Top",1,"3.3%","83.3%","93.3%","0%","0%",4,4,5,2.3,"64.3%","23.5%","0%",385,447,3,7.9,"31.3%",626,"27.2%","24.5%",0.45,0.21
"Rumble","Jungle",19,"63.3%","33.3%","100.0%","53%","26%",71,43,139,4.9,"76.9%","18.2%","47%",188,271,6.3,6.2,"17.7%",493,"23.6%","20.1%",0.57,0.27
"Rumble","Top",1,"3.3%","33.3%","100.0%","0%","0%",2,5,0,0.4,"33.3%","31.3%","0%",-405,-150,-1,7.9,"33.3%",273,"20.4%","21.9%",0.43,0.12
"Samira","ADC",2,"6.7%","3.3%","10.0%","50%","100%",13,6,12,4.2,"64.1%","19.4%","100%",-52,18,-12.5,9,"31.9%",506,"22.5%","27.5%",0.37,0.33
"Senna","ADC",3,"10.0%","53.3%","63.3%","67%","0%",5,2,16,10.5,"56.8%","12.5%","0%",-690,-328,-73.7,1.5,"7.1%",366,"19.1%","15.0%",1.04,0.34
"Seraphine","ADC",1,"3.3%","0.0%","3.3%","0%","100%",0,3,2,0.7,"66.7%","21.4%","0%",-601,-336,-17,7.6,"27.2%",190,"19.4%","21.2%",0.45,0.24
"Sett","Middle",1,"3.3%","16.7%","43.3%","100%","0%",3,0,8,11,"50.0%","0.0%","100%",45,-271,-11,6.6,"19.8%",410,"16.7%","19.1%",0.47,0.3
"Sett","Support",2,"6.7%","16.7%","43.3%","50%","100%",1,11,26,2.5,"67.5%","40.7%","50%",-22,-223,1.5,1.1,"3.0%",300,"12.4%","8.8%",1.4,0.5
"Sett","Top",5,"16.7%","16.7%","43.3%","60%","60%",10,12,45,4.6,"67.9%","20.0%","80%",35,-180,-1,6.4,"19.8%",360,"17.4%","18.8%",0.52,0.25
"Sivir","-",0,"0%","3.3%","3.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Soraka","Support",1,"3.3%","0.0%","3.3%","0%","100%",0,4,0,0,"-","22.2%","0%",-506,-452,-65,0.3,"0.6%",167,"11.9%","8.2%",0.71,0.09
"Sylas","Middle",6,"20.0%","13.3%","33.3%","50%","67%",27,14,24,3.6,"71.8%","18.9%","17%",34,174,-2.7,8.3,"23.4%",484,"26.8%","25.0%",0.43,0.16
"Syndra","Middle",2,"6.7%","10.0%","16.7%","50%","100%",2,6,15,2.8,"85.0%","19.4%","50%",147,114,2.5,9.1,"26.6%",435,"23.0%","24.4%",0.45,0.16
"Tahm Kench","Support",4,"13.3%","16.7%","30.0%","50%","25%",3,6,28,5.2,"60.8%","18.2%","0%",619,364,47,4.5,"14.1%",145,"7.1%","14.9%",0.66,0.16
"Taliyah","-",0,"0%","3.3%","3.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Thresh","Support",8,"26.7%","50.0%","76.7%","25%","25%",3,25,45,1.9,"71.6%","21.6%","25%",-54,54,-4.4,1.1,"2.3%",97,"6.4%","8.3%",1.39,0.31
"Tristana","ADC",6,"20.0%","16.7%","53.3%","83%","67%",27,12,39,5.5,"67.3%","15.0%","33%",-30,95,-6,8.8,"32.8%",456,"20.5%","26.6%",0.57,0.42
"Tristana","Middle",5,"16.7%","16.7%","53.3%","60%","40%",24,11,28,4.7,"62.7%","15.7%","40%",371,-80,2.6,9.7,"32.2%",596,"26.6%","27.8%",0.53,0.39
"Udyr","Jungle",9,"30.0%","66.7%","96.7%","56%","33%",16,19,48,3.4,"64.6%","14.5%","33%",-88,-149,-2.7,5.9,"16.0%",190,"10.9%","18.7%",0.33,0.44
"Varus","ADC",7,"23.3%","60.0%","83.3%","43%","0%",29,23,27,2.4,"71.8%","24.2%","0%",131,18,9.1,9,"30.0%",617,"32.2%","26.6%",0.55,0.31
"Viego","Jungle",1,"3.3%","23.3%","60.0%","100%","0%",4,0,7,11,"61.1%","0.0%","100%",576,451,8,6.5,"16.3%",287,"14.1%","19.8%",0.52,0.6
"Viego","Middle",5,"16.7%","23.3%","60.0%","40%","60%",11,14,41,3.7,"71.2%","15.7%","0%",-260,-245,-1,7.3,"21.6%",465,"18.8%","21.1%",0.38,0.26
"Viego","Top",5,"16.7%","23.3%","60.0%","60%","100%",12,15,15,1.8,"47.4%","25.0%","20%",-480,-422,-13,7.5,"27.6%",310,"20.7%","23.2%",0.47,0.26
"Viktor","Middle",2,"6.7%","6.7%","13.3%","100%","100%",7,4,8,3.8,"60.0%","23.5%","50%",-71,190,-5,9,"26.7%",514,"31.5%","24.6%",0.43,0.32
"Volibear","Jungle",4,"13.3%","6.7%","23.3%","0%","75%",7,16,21,1.8,"71.8%","26.7%","0%",-348,-422,-6.5,5,"14.0%",280,"13.8%","17.2%",0.32,0.31
"Volibear","Top",1,"3.3%","6.7%","23.3%","0%","100%",3,5,5,1.6,"72.7%","26.3%","100%",351,570,22,6.1,"22.5%",321,"17.8%","21.3%",0.51,0.16
"Wukong","Top",3,"10.0%","3.3%","13.3%","33%","67%",11,15,9,1.3,"55.6%","26.8%","33%",253,414,0.3,6.6,"24.4%",361,"19.8%","23.2%",0.31,0.27
"Xayah","ADC",1,"3.3%","0.0%","3.3%","0%","100%",1,4,0,0.3,"33.3%","23.5%","0%",-3,408,0,8.4,"27.7%",330,"23.5%","24.5%",0.41,0.16
"Xin Zhao","Jungle",12,"40.0%","13.3%","53.3%","83%","67%",31,22,89,5.5,"66.7%","21.6%","25%",-201,-268,-5.4,5.9,"18.1%",318,"16.8%","19.1%",0.3,0.46
"Zoe","Middle",5,"16.7%","6.7%","23.3%","40%","40%",18,19,32,2.6,"62.5%","20.2%","0%",-122,48,3.2,6.5,"19.8%",627,"26.0%","19.9%",0.47,0.22
