"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Top",1,"3.3%","0.0%","3.3%","100%","100%",6,5,10,3.2,"66.7%","29.4%","0%",123,933,2,6.5,"21.1%",529,"22.0%","21.1%",0.48,0.31
"Akali","Middle",8,"26.7%","20.0%","53.3%","50%","50%",27,13,28,4.2,"56.7%","13.8%","0%",-481,-274,-15.6,7.8,"25.6%",406,"23.2%","22.9%",0.41,0.15
"Akali","Top",2,"6.7%","20.0%","53.3%","100%","50%",10,0,7,17,"63.0%","0.0%","0%",-83,36,-2,8.4,"24.5%",481,"27.9%","23.8%",0.44,0.33
"Alistar","Support",4,"13.3%","6.7%","20.0%","50%","100%",3,12,27,2.5,"58.8%","21.8%","25%",-94,-114,-2.8,0.9,"2.3%",89,"5.0%","7.3%",1.68,0.38
"Bard","-",0,"0%","3.3%","3.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Braum","Support",5,"16.7%","6.7%","23.3%","80%","100%",3,7,44,6.7,"73.4%","15.9%","0%",75,44,0.4,1.1,"2.7%",144,"7.9%","8.9%",1.39,0.36
"Darius","Jungle",1,"3.3%","0.0%","3.3%","0%","100%",1,4,5,1.5,"100.0%","25.0%","100%",402,461,4,5.3,"14.5%",216,"16.1%","19.3%",0.19,0.39
"Ezreal","ADC",18,"60.0%","13.3%","73.3%","50%","39%",69,37,87,4.2,"65.3%","15.7%","28%",62,100,9.4,9,"31.4%",676,"34.8%","27.1%",0.44,0.27
"Galio","Support",1,"3.3%","0.0%","3.3%","100%","100%",1,1,10,11,"78.6%","33.3%","100%",422,33,-3,1.4,"4.0%",173,"10.0%","9.6%",1.26,0.24
"Gangplank","Top",5,"16.7%","16.7%","33.3%","40%","60%",11,17,31,2.5,"63.6%","23.0%","20%",396,189,13.2,8.1,"24.9%",597,"27.5%","24.0%",0.59,0.12
"Gnar","Top",7,"23.3%","16.7%","40.0%","86%","57%",16,18,46,3.4,"57.4%","30.5%","29%",162,-56,6.7,7.6,"25.1%",546,"27.7%","21.5%",0.5,0.19
"Gragas","Jungle",2,"6.7%","3.3%","16.7%","0%","100%",2,5,6,1.6,"80.0%","19.2%","100%",474,316,3,5.3,"14.4%",283,"23.4%","17.7%",0.92,0.3
"Gragas","Support",1,"3.3%","3.3%","16.7%","100%","100%",0,0,11,11,"57.9%","0.0%","100%",389,226,-15,0.7,"3.5%",316,"14.2%","9.7%",1.41,0.31
"Gragas","Top",1,"3.3%","3.3%","16.7%","0%","100%",1,4,0,0.3,"33.3%","23.5%","0%",184,-151,4,8,"27.9%",396,"28.3%","23.8%",0.6,0.09
"Gwen","Top",9,"30.0%","63.3%","93.3%","67%","22%",35,20,37,3.6,"63.2%","24.1%","22%",14,-118,-4.2,8.2,"26.3%",480,"26.0%","24.0%",0.45,0.22
"Irelia","-",0,"0%","13.3%","13.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Jayce","Middle",3,"10.0%","13.3%","30.0%","33%","67%",4,10,18,2.2,"81.5%","25.0%","0%",-115,-192,-6.3,8.5,"25.4%",503,"30.9%","24.3%",0.56,0.24
"Jayce","Top",2,"6.7%","13.3%","30.0%","100%","50%",5,2,12,8.5,"42.5%","33.3%","100%",555,676,6.5,8.2,"31.2%",494,"20.8%","20.7%",0.34,0.26
