"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",8,"8.9%","1.1%","10.0%","38%","-",23,16,36,3.7,"64.8%","15.4%","0%",-96,11,-3.3,8.2,"26.8%",462,"28.9%","24.1%",0.48,0.19
"Alistar","Support",45,"50.0%","15.6%","65.6%","42%","-",9,140,320,2.4,"72.5%","23.3%","13%",-107,-24,3.7,1,"3.4%",69,"4.4%","10.6%",1.18,0.26
"Anivia","Middle",2,"2.2%","1.1%","3.3%","0%","-",8,4,9,4.3,"85.0%","11.8%","50%",-603,8,-4.5,9.1,"33.8%",509,"29.4%","26.6%",0.57,0.19
"Ashe","ADC",1,"1.1%","0.0%","1.1%","0%","-",0,4,2,0.5,"40.0%","19.0%","0%",-33,-241,1,8,"29.2%",403,"20.9%","23.3%",0.38,0.28
"Azir","Middle",5,"5.6%","4.4%","10.0%","40%","-",13,19,26,2.1,"79.6%","24.1%","60%",76,132,6.2,8.6,"29.4%",694,"33.8%","24.4%",0.44,0.26
"Bard","Support",22,"24.4%","4.4%","28.9%","59%","-",18,52,176,3.7,"74.0%","21.6%","36%",17,-60,-5.3,0.6,"2.7%",179,"9.8%","11.7%",1.1,0.36
"Braum","Support",35,"38.9%","7.8%","46.7%","20%","-",19,126,250,2.1,"69.5%","24.9%","31%",-2,-42,3.5,1.2,"4.7%",128,"6.8%","11.3%",1.2,0.29
"Caitlyn","ADC",16,"17.8%","1.1%","18.9%","63%","-",52,27,85,5.1,"73.3%","18.8%","25%",18,5,-0.3,8.4,"28.1%",545,"27.8%","24.2%",0.44,0.28
"Cassiopeia","Middle",1,"1.1%","0.0%","1.1%","100%","-",4,2,5,4.5,"90.0%","14.3%","0%",58,73,17,9.9,"33.5%",928,"41.5%","27.7%",0.21,0.1
"Cho'Gath","Top",2,"2.2%","0.0%","2.2%","100%","-",5,5,14,3.8,"54.3%","33.3%","100%",274,236,4.5,7.2,"28.3%",336,"14.5%","20.4%",0.45,0.1
"Corki","ADC",17,"18.9%","27.8%","80.0%","71%","-",55,27,102,5.8,"69.8%","15.8%","24%",80,62,-1.4,8.8,"30.3%",567,"27.4%","23.8%",0.5,0.26
"Corki","Middle",30,"33.3%","27.8%","80.0%","50%","-",122,52,149,5.2,"76.8%","15.5%","20%",99,104,7.7,9.1,"29.4%",689,"35.7%","25.1%",0.49,0.2
"Dr. Mundo","Top",4,"4.4%","1.1%","5.6%","25%","-",6,13,15,1.6,"56.8%","19.7%","25%",-489,-455,-14.5,6.7,"24.5%",416,"23.3%","20.0%",0.54,0.16
"Draven","ADC",1,"1.1%","1.1%","2.2%","0%","-",5,3,10,5,"83.3%","10.7%","0%",-528,-665,-11,7.5,"24.8%",1194,"40.3%","25.5%",0.47,0.29
"Ekko","Middle",1,"1.1%","0.0%","4.4%","0%","-",2,3,4,2,"85.7%","17.6%","0%",-250,704,4,6.9,"26.3%",319,"18.5%","24.5%",0.3,0.04
"Ekko","Top",3,"3.3%","0.0%","4.4%","100%","-",17,7,14,4.4,"63.3%","23.3%","33%",124,283,11.7,8.2,"27.9%",549,"23.1%","23.4%",0.45,0.14
"Elise","Jungle",43,"47.8%","20.0%","67.8%","40%","-",97,110,221,2.9,"69.4%","20.8%","40%",-37,-161,-5.2,3.6,"12.3%",327,"17.6%","18.3%",0.81,0.52
"Evelynn","Jungle",1,"1.1%","0.0%","1.1%","0%","-",0,2,1,0.5,"50.0%","13.3%","0%",-266,-125,-11,3.1,"10.8%",179,"17.8%","14.5%",1.29,0.21
"Ezreal","ADC",20,"22.2%","0.0%","23.3%","45%","-",61,42,100,3.8,"70.6%","15.8%","10%",-300,-149,-5.2,8,"27.4%",624,"32.5%","23.3%",0.46,0.21
"Ezreal","Middle",1,"1.1%","0.0%","23.3%","0%","-",0,4,1,0.3,"20.0%","26.7%","100%",285,15,9,8.6,"28.0%",359,"29.1%","22.1%",0.48,0.09
"Fiora","Top",20,"22.2%","36.7%","58.9%","80%","-",61,35,72,3.8,"51.6%","19.7%","20%",228,45,3.4,7.8,"28.3%",352,"19.5%","21.9%",0.49,0.12
"Gangplank","Middle",6,"6.7%","61.1%","80.0%","50%","-",11,10,16,2.7,"81.8%","15.6%","0%",-188,-163,-11.8,9.7,"34.1%",465,"34.7%","28.8%",0.42,0.13
"Gangplank","Top",11,"12.2%","61.1%","80.0%","55%","-",37,21,59,4.6,"71.6%","14.3%","36%",292,88,3.9,8,"28.5%",542,"27.2%","25.4%",0.51,0.11
"Gnar","Top",5,"5.6%","0.0%","5.6%","40%","-",4,16,32,2.3,"75.0%","26.7%","0%",-77,112,0.6,6,"22.7%",339,"17.7%","19.0%",0.49,0.09
"Gragas","Jungle",27,"30.0%","5.6%","35.6%","44%","-",34,68,206,3.5,"71.2%","21.9%","41%",-103,53,0.5,4.1,"13.1%",297,"15.2%","17.9%",0.79,0.43
"Graves","Jungle",12,"13.3%","37.8%","66.7%","58%","-",38,26,63,3.9,"69.7%","22.4%","33%",17,-139,1.8,4.4,"16.7%",421,"23.5%","20.8%",0.69,0.47
"Graves","Top",14,"15.6%","37.8%","66.7%","50%","-",44,28,77,4.3,"75.6%","15.6%","43%",266,53,3.3,8,"28.4%",507,"23.9%","23.2%",0.54,0.21
"Janna","Support",24,"26.7%","5.6%","32.2%","71%","-",3,36,254,7.1,"77.6%","17.5%","38%",19,-2,-4.5,0.5,"2.1%",75,"3.7%","11.3%",1.27,0.35
"Jax","Top",3,"3.3%","0.0%","3.3%","67%","-",9,13,21,2.3,"60.0%","22.8%","67%",324,355,13.3,8.3,"28.8%",419,"19.0%","22.1%",0.45,0.16
"Jhin","ADC",10,"11.1%","5.6%","16.7%","40%","-",39,29,67,3.7,"75.2%","21.0%","20%",-153,140,1.8,8.3,"27.7%",588,"27.3%","23.5%",0.4,0.21
"Kalista","ADC",38,"42.2%","42.2%","84.4%","47%","-",164,79,168,4.2,"72.6%","18.1%","37%",188,95,3.2,8.5,"28.7%",436,"23.7%","24.5%",0.43,0.24
"Karma","Middle",3,"3.3%","0.0%","5.6%","33%","-",11,8,14,3.1,"83.3%","19.5%","33%",-202,63,0.3,7,"21.4%",493,"27.3%","22.1%",0.41,0.16
"Karma","Support",2,"2.2%","0.0%","5.6%","100%","-",2,6,24,4.3,"63.4%","33.3%","0%",-193,-246,-1.5,0.7,"2.6%",176,"7.2%","12.0%",1.41,0.24
