"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Middle",1,"4.0%","36.0%","96.0%","0%","100%",0,4,1,0.3,"25.0%","16.7%","0%",-657,-63,-9,7.7,"23.4%",329,"21.0%","18.5%",0.39,0.39
"Aatrox","Top",14,"56.0%","36.0%","96.0%","57%","0%",38,37,57,2.6,"51.1%","19.1%","14%",-266,-107,-8.6,8,"25.5%",362,"20.4%","21.7%",0.5,0.18
"Ahri","Middle",1,"4.0%","0.0%","4.0%","100%","100%",1,0,12,13,"86.7%","0.0%","100%",-101,23,-10,7.9,"25.2%",407,"26.0%","18.6%",0.65,0.35
"Akali","Middle",7,"28.0%","64.0%","100.0%","57%","0%",44,14,26,5,"64.8%","16.5%","43%",409,259,3.9,8.8,"27.1%",535,"29.9%","25.5%",0.41,0.14
"Akali","Top",2,"8.0%","64.0%","100.0%","0%","0%",5,12,3,0.7,"30.8%","23.5%","0%",-437,-111,-6.5,6.4,"19.6%",493,"27.3%","17.6%",0.58,0.08
"Alistar","Support",3,"12.0%","24.0%","36.0%","33%","100%",3,11,24,2.5,"75.0%","22.4%","0%",-252,-49,5.3,1.5,"6.0%",157,"8.2%","9.0%",1.35,0.23
"Ashe","ADC",1,"4.0%","0.0%","4.0%","100%","100%",1,2,14,7.5,"78.9%","20.0%","0%",282,415,8,7.9,"28.1%",494,"22.2%","21.8%",0.42,0.39
"Azir","Middle",3,"12.0%","40.0%","60.0%","100%","0%",14,3,16,10,"66.7%","14.3%","33%",239,302,5.7,10.1,"29.2%",607,"29.4%","26.0%",0.47,0.3
"Azir","Top",2,"8.0%","40.0%","60.0%","0%","100%",3,9,6,1,"50.0%","20.5%","0%",-311,-390,-3,8.3,"28.4%",561,"33.6%","23.0%",0.35,0.25
"Bard","Support",1,"4.0%","0.0%","4.0%","0%","100%",0,3,1,0.3,"33.3%","25.0%","0%",195,248,-13,1.1,"4.4%",170,"11.1%","10.0%",1.57,0.63
"Braum","Support",7,"28.0%","4.0%","32.0%","71%","57%",1,16,83,5.3,"82.4%","21.6%","43%",15,126,2.7,1.8,"6.7%",185,"8.6%","9.9%",1.56,0.23
"Caitlyn","ADC",3,"12.0%","24.0%","36.0%","67%","33%",10,8,29,4.9,"70.9%","21.1%","33%",567,278,9.7,9.7,"34.4%",525,"26.4%","26.2%",0.39,0.59
"Camille","Top",1,"4.0%","8.0%","12.0%","100%","100%",6,3,5,3.7,"55.0%","33.3%","0%",1257,681,31,8.3,"24.2%",721,"31.8%","23.8%",0.49,0.13
"Corki","Middle",5,"20.0%","40.0%","60.0%","40%","80%",20,12,25,3.8,"83.3%","19.4%","40%",162,46,-0.6,9.1,"27.0%",621,"34.8%","26.7%",0.49,0.29
"Diana","Middle",1,"4.0%","0.0%","4.0%","0%","100%",1,6,2,0.5,"50.0%","22.2%","0%",-168,-61,-14,7.2,"23.4%",330,"24.7%","21.3%",0.41,0.07
