"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Draven","ADC",2,"8.0%","4.0%","12.0%","0%","100%",9,5,7,3.2,"64.0%","12.5%","50%",879,276,14,8.9,"33.1%",415,"31.7%","31.1%",0.47,0.38
"Elise","Jungle",1,"4.0%","4.0%","8.0%","100%","100%",4,4,7,2.8,"55.0%","25.0%","0%",-1190,-733,-13,3.6,"11.0%",304,"14.9%","16.7%",0.86,0.37
"Ezreal","ADC",6,"24.0%","20.0%","44.0%","50%","67%",20,7,23,6.1,"66.2%","10.1%","17%",225,9,-1.8,9.6,"30.4%",740,"39.1%","27.1%",0.45,0.3
"Gangplank","Top",5,"20.0%","36.0%","56.0%","80%","60%",25,9,30,6.1,"67.1%","21.4%","40%",447,190,4.6,8.3,"29.1%",586,"29.7%","26.2%",0.49,0.18
"Gragas","Jungle",7,"28.0%","28.0%","56.0%","71%","43%",25,18,59,4.7,"64.1%","20.9%","29%",171,152,-1.4,5,"14.4%",414,"19.6%","17.4%",0.87,0.46
"Irelia","Middle",4,"16.0%","56.0%","72.0%","50%","0%",13,13,25,2.9,"67.9%","22.8%","0%",321,-85,9.3,8.1,"23.7%",323,"15.0%","21.6%",0.47,0.14
"Jarvan IV","Jungle",8,"32.0%","28.0%","60.0%","13%","50%",8,38,66,1.9,"79.6%","25.0%","63%",-306,-390,-7.5,4.4,"12.3%",153,"8.8%","15.9%",0.94,0.48
"Jayce","Top",3,"12.0%","4.0%","16.0%","67%","67%",5,9,12,1.9,"44.7%","26.5%","0%",-16,-383,6.3,8.1,"24.5%",530,"27.1%","21.8%",0.53,0.36
"Kai'Sa","ADC",9,"36.0%","12.0%","48.0%","56%","56%",64,18,55,6.6,"72.1%","12.9%","22%",322,235,6.2,9.6,"31.4%",671,"31.6%","28.9%",0.36,0.41
"Karma","Middle",3,"12.0%","44.0%","72.0%","33%","33%",3,3,11,4.7,"77.8%","13.0%","33%",-248,46,-1.3,7.4,"19.6%",511,"26.1%","19.6%",0.55,0.16
"Karma","Top",4,"16.0%","44.0%","72.0%","25%","100%",4,8,17,2.6,"50.0%","17.0%","0%",-161,-133,1,7.8,"24.4%",387,"21.8%","21.8%",0.48,0.3
"Kennen","-",0,"0%","12.0%","12.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Kled","Top",4,"16.0%","8.0%","24.0%","50%","100%",10,12,29,3.3,"60.0%","18.5%","25%",-124,13,-0.5,7.9,"24.9%",413,"22.5%","21.4%",0.55,0.15
"LeBlanc","Middle",1,"4.0%","8.0%","12.0%","100%","100%",5,2,3,4,"53.3%","20.0%","0%",560,1292,32,7.4,"20.3%",468,"22.4%","21.1%",0.36,0.3
"Leona","Support",3,"12.0%","0.0%","12.0%","67%","100%",5,11,27,2.9,"64.0%","28.2%","0%",242,41,8.3,1.7,"6.3%",134,"6.9%","9.5%",1.5,0.41
"Lux","Support",1,"4.0%","0.0%","4.0%","100%","0%",0,1,9,9,"75.0%","25.0%","0%",194,-15,-10,0.4,"1.2%",125,"6.8%","10.1%",0.98,0.32
"Morgana","Support",3,"12.0%","24.0%","36.0%","0%","67%",4,14,23,1.9,"62.8%","21.2%","67%",345,211,-3.7,0.7,"3.3%",177,"11.8%","11.6%",1.55,0.37
"Nautilus","Support",8,"32.0%","4.0%","36.0%","38%","75%",6,38,56,1.6,"63.9%","28.6%","13%",-138,-89,8.6,1.6,"5.2%",134,"7.7%","8.6%",1.4,0.29
"Neeko","-",0,"0%","4.0%","4.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Olaf","-",0,"0%","4.0%","4.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Orianna","Middle",2,"8.0%","0.0%","8.0%","50%","100%",10,5,15,5,"80.6%","16.1%","50%",-324,22,-2.5,8.3,"26.0%",436,"26.4%","24.3%",0.53,0.2
"Poppy","Top",3,"12.0%","0.0%","12.0%","33%","67%",8,4,13,5.3,"75.0%","14.3%","100%",419,465,5.7,6.7,"21.6%",320,"19.0%","20.6%",0.54,0.25
"Qiyana","Middle",8,"32.0%","40.0%","72.0%","63%","38%",39,20,47,4.3,"69.4%","21.3%","38%",-49,-221,-2,7.7,"23.4%",447,"20.6%","23.1%",0.47,0.26
"Rakan","Support",12,"48.0%","28.0%","76.0%","58%","8%",7,25,125,5.3,"72.1%","15.7%","25%",57,27,-7,0.6,"2.2%",156,"8.1%","10.2%",1.53,0.47
"Rek'Sai","Jungle",3,"12.0%","0.0%","12.0%","67%","67%",13,11,20,3,"71.7%","27.5%","33%",529,295,11,5.1,"14.6%",270,"14.8%","18.6%",1.16,0.68
"Renekton","Middle",1,"4.0%","12.0%","32.0%","100%","100%",6,2,9,7.5,"62.5%","18.2%","0%",-15,-117,4,7.8,"21.3%",359,"16.9%","21.3%",0.33,0.28
"Renekton","Top",4,"16.0%","12.0%","32.0%","50%","75%",8,15,22,2,"49.2%","24.6%","75%",321,242,8.3,7.5,"22.9%",325,"17.8%","19.2%",0.45,0.16
"Rumble","Top",3,"12.0%","48.0%","60.0%","100%","0%",9,6,26,5.8,"68.6%","21.4%","0%",317,369,10.3,7.4,"19.0%",756,"31.5%","19.5%",0.3,0.19
"Sejuani","Jungle",15,"60.0%","16.0%","76.0%","47%","47%",18,37,107,3.4,"73.1%","20.0%","33%",-107,-189,-6.5,4.8,"13.9%",199,"11.1%","16.7%",0.59,0.36
"Shen","Top",1,"4.0%","0.0%","4.0%","100%","0%",2,0,15,17,"70.8%","0.0%","0%",-76,-276,-8,7.8,"21.6%",421,"16.3%","20.2%",0.55,0.06
"Sivir","ADC",10,"40.0%","16.0%","56.0%","50%","70%",41,14,56,6.9,"77.6%","12.8%","10%",-436,-168,-4.5,10.2,"35.6%",607,"30.3%","27.6%",0.4,0.41
"Skarner","Jungle",9,"36.0%","36.0%","72.0%","67%","33%",18,26,83,3.9,"75.4%","23.0%","11%",208,374,12,5,"13.0%",168,"8.3%","17.2%",1.02,0.48
"Sona","ADC",1,"4.0%","48.0%","52.0%","100%","0%",3,0,7,10,"100.0%","0.0%","0%",200,189,-47,6.9,"22.8%",629,"34.5%","24.6%",0.95,0.52
"Sylas","Jungle",3,"12.0%","32.0%","76.0%","33%","67%",7,10,14,2.1,"72.4%","22.2%","33%",334,408,7.7,5.2,"15.3%",271,"14.3%","19.6%",0.33,0.32
"Sylas","Middle",8,"32.0%","32.0%","76.0%","50%","63%",41,29,47,3,"73.9%","23.0%","13%",-88,-89,-5,7.5,"22.1%",461,"25.1%","23.2%",0.44,0.2
"Syndra","Middle",1,"4.0%","8.0%","12.0%","0%","100%",2,5,1,0.6,"37.5%","20.0%","0%",-603,32,20,8.6,"27.4%",537,"33.8%","22.7%",0.42,0.13
"Tahm Kench","Support",6,"24.0%","16.0%","40.0%","17%","17%",3,20,34,1.9,"68.5%","21.5%","0%",-184,-275,-8.3,2.1,"7.5%",143,"7.1%","11.0%",1.41,0.3
"Taliyah","Middle",1,"4.0%","0.0%","4.0%","0%","100%",1,7,6,1,"43.8%","35.0%","0%",-144,-460,-6,5.3,"14.5%",229,"17.2%","14.5%",0.35,0.22
"Taric","Support",1,"4.0%","0.0%","4.0%","100%","100%",0,0,10,10,"100.0%","0.0%","0%",1021,336,61,5.3,"11.3%",66,"3.6%","14.4%",1.33,0.66
"Thresh","Support",4,"16.0%","0.0%","16.0%","75%","50%",6,9,42,5.3,"72.7%","25.0%","0%",-148,96,-5.8,0.5,"2.0%",134,"7.1%","10.7%",1.54,0.42
"Tristana","Middle",1,"4.0%","4.0%","12.0%","0%","100%",2,2,4,3,"75.0%","11.1%","0%",154,150,9,9.2,"25.9%",338,"20.9%","28.7%",0.51,0.22
"Tristana","Top",1,"4.0%","4.0%","12.0%","0%","100%",2,2,1,1.5,"75.0%","20.0%","0%",-114,-335,-2,8.9,"30.5%",608,"27.6%","29.4%",0.32,0.09
"Trundle","Jungle",2,"8.0%","8.0%","16.0%","50%","100%",1,4,15,4,"84.2%","16.7%","0%",-176,142,8.5,4.7,"10.8%",94,"6.3%","13.7%",0.29,0.34
"Varus","ADC",5,"20.0%","0.0%","20.0%","20%","80%",13,15,21,2.3,"65.4%","17.2%","0%",-579,-190,-1,9.9,"31.3%",509,"26.8%","28.1%",0.4,0.64
"Vayne","ADC",1,"4.0%","0.0%","4.0%","0%","100%",1,3,3,1.3,"80.0%","16.7%","100%",364,-363,-1,8.4,"33.2%",401,"26.5%","24.9%",0.32,0.28
"Veigar","Middle",1,"4.0%","0.0%","4.0%","0%","100%",3,4,4,1.8,"77.8%","30.8%","0%",-1058,-1279,-29,7,"21.9%",363,"20.9%","24.5%",0.43,0.13
"Viktor","Top",1,"4.0%","0.0%","4.0%","0%","100%",0,6,7,1.2,"70.0%","31.6%","100%",-62,-333,-1,7.4,"27.3%",654,"38.7%","22.3%",0.42,0.18
"Vladimir","Middle",1,"4.0%","0.0%","12.0%","0%","100%",1,6,6,1.2,"43.8%","20.0%","0%",-1152,170,-10,7.1,"23.9%",605,"24.4%","17.9%",0.34,0.14
"Vladimir","Top",2,"8.0%","0.0%","12.0%","0%","100%",5,8,9,1.8,"66.7%","19.0%","50%",-163,-17,-3,7.2,"22.9%",606,"35.5%","22.4%",0.49,0.09
"Xayah","ADC",12,"48.0%","28.0%","76.0%","58%","0%",47,25,52,4,"63.9%","15.3%","8%",-108,-97,-1,10,"34.9%",483,"28.5%","28.8%",0.42,0.31
"Xin Zhao","Jungle",2,"8.0%","4.0%","12.0%","50%","50%",0,5,22,4.4,"66.7%","29.4%","50%",-35,-73,0,4.8,"13.0%",330,"15.0%","14.3%",0.87,0.45
"Yasuo","-",0,"0%","12.0%","12.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Yuumi","-",0,"0%","100.0%","100.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Zyra","Support",1,"4.0%","4.0%","8.0%","100%","100%",2,3,8,3.3,"50.0%","33.3%","0%",-400,-397,1,0.8,"3.0%",258,"11.4%","11.1%",1.34,0.59
