"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Top",1,"0.9%","0.0%","0.9%","100%","-",3,1,10,13,"68.4%","11.1%","0%",487,225,22,5.6,"18.5%",353,"20.4%","19.0%",0.48,0.08
"Ahri","Middle",8,"7.1%","0.0%","7.1%","50%","-",40,25,48,3.5,"68.8%","17.4%","13%",-81,-28,-3.6,7.4,"30.8%",438,"22.8%","24.7%",0.3,0.09
"Akali","Middle",3,"2.7%","0.9%","3.6%","33%","-",23,17,20,2.5,"68.3%","26.6%","33%",83,193,-6.7,5.8,"19.5%",396,"19.0%","21.5%",0.35,0.04
"Alistar","Support",6,"5.4%","0.0%","5.4%","67%","-",6,13,54,4.6,"78.9%","18.1%","33%",164,45,0.2,0.5,"1.8%",113,"7.0%","13.5%",0.83,0.14
"Amumu","Support",1,"0.9%","0.0%","0.9%","0%","-",0,4,7,1.8,"63.6%","30.8%","0%",-71,-685,3,0.9,"4.4%",100,"5.5%","14.0%",0.84,0.08
"Annie","Support",47,"42.0%","25.0%","67.0%","38%","-",58,165,356,2.5,"68.1%","24.2%","30%",-49,-129,-1,0.6,"3.1%",203,"11.5%","11.8%",0.95,0.17
"Caitlyn","ADC",54,"48.2%","5.4%","53.6%","41%","-",168,118,277,3.8,"64.2%","15.7%","22%",6,-48,1.6,7.9,"30.5%",468,"26.3%","25.1%",0.23,0.1
"Cassiopeia","Middle",1,"0.9%","0.0%","0.9%","0%","-",1,4,2,0.8,"25.0%","23.5%","0%",-1202,-1030,-6,6.4,"21.3%",429,"23.7%","17.9%",0.23,0.07
"Corki","ADC",6,"5.4%","0.0%","5.4%","50%","-",32,15,32,4.3,"64.0%","16.9%","0%",-35,-157,0.5,8.1,"31.0%",677,"29.4%","24.7%",0.23,0.11
"Dr. Mundo","Jungle",1,"0.9%","4.5%","35.7%","100%","-",2,1,8,10,"62.5%","9.1%","0%",249,8,-4,2.8,"10.5%",304,"12.1%","17.2%",0.22,0.12
"Dr. Mundo","Top",34,"30.4%","4.5%","35.7%","50%","-",62,83,206,3.2,"63.8%","20.1%","21%",-126,-113,-7.7,6.7,"24.7%",460,"25.2%","21.2%",0.38,0.05
"Draven","ADC",8,"7.1%","1.8%","8.9%","75%","-",36,17,47,4.9,"71.6%","21.0%","38%",270,97,1.4,7.4,"27.4%",435,"25.9%","26.1%",0.24,0.07
"Elise","Jungle",52,"46.4%","43.8%","90.2%","60%","-",133,138,309,3.2,"65.4%","22.2%","37%",-1,-80,-2.7,3.3,"12.5%",265,"15.2%","17.0%",0.44,0.16
"Evelynn","Jungle",26,"23.2%","17.0%","40.2%","50%","-",86,65,187,4.2,"66.6%","18.8%","50%",239,308,4.5,3.6,"12.9%",306,"15.8%","17.8%",0.4,0.11
"Ezreal","ADC",12,"10.7%","0.0%","10.7%","25%","-",34,30,58,3.1,"68.7%","15.4%","25%",-16,17,-5.3,7.5,"29.5%",467,"26.0%","24.7%",0.22,0.09
"Fiddlesticks","Jungle",2,"1.8%","0.0%","1.8%","50%","-",3,4,15,4.5,"72.0%","19.0%","50%",432,77,1.5,3.4,"13.1%",307,"18.7%","16.7%",0.38,0.03
"Fizz","Middle",1,"0.9%","0.0%","0.9%","0%","-",9,6,3,2,"70.6%","19.4%","100%",-250,-713,-18,4.4,"20.9%",531,"25.7%","22.6%",0.5,0.03
"Gragas","Jungle",3,"2.7%","25.9%","54.5%","0%","-",1,7,11,1.7,"57.1%","17.1%","67%",-5,253,7,4.5,"17.6%",242,"17.4%","17.9%",0.38,0.06
"Gragas","Middle",24,"21.4%","25.9%","54.5%","50%","-",110,57,129,4.2,"65.3%","16.6%","21%",112,287,4.2,8.2,"30.1%",628,"30.8%","24.7%",0.37,0.07
"Gragas","Top",5,"4.5%","25.9%","54.5%","40%","-",23,14,17,2.9,"51.9%","15.4%","20%",449,259,5.4,7.6,"29.1%",574,"29.9%","23.5%",0.43,0.03
"Hecarim","-",0,"0%","1.8%","1.8%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Heimerdinger","-",0,"0%","3.6%","3.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Janna","Support",1,"0.9%","0.0%","0.9%","0%","-",1,1,6,7,"100.0%","7.7%","100%",398,-63,-2,0.4,"1.5%",60,"2.8%","12.3%",1.49,0.09
"Jarvan IV","Jungle",1,"0.9%","0.0%","0.9%","0%","-",0,5,4,0.8,"80.0%","29.4%","0%",-345,-464,-8,3.8,"16.5%",128,"9.6%","16.1%",0.33,0.16
"Jax","Top",6,"5.4%","10.7%","16.1%","50%","-",27,19,10,1.9,"49.3%","24.7%","17%",40,110,3.2,7.7,"29.0%",434,"22.9%","25.4%",0.31,0.06
"Jayce","Top",4,"3.6%","1.8%","5.4%","50%","-",7,8,15,2.8,"61.1%","17.8%","0%",-295,-135,1,7,"24.3%",469,"31.4%","21.7%",0.22,0.06
"Jinx","ADC",29,"25.9%","5.4%","31.3%","52%","-",117,64,166,4.4,"70.6%","17.6%","17%",-66,-129,-1.1,7.8,"31.8%",448,"25.0%","25.2%",0.29,0.1
"Karma","Support",10,"8.9%","0.9%","9.8%","50%","-",13,29,88,3.5,"73.2%","19.7%","20%",200,142,0.2,0.9,"4.6%",277,"13.5%","14.4%",1.07,0.21
"Karthus","Middle",5,"4.5%","0.0%","7.1%","80%","-",13,17,43,3.3,"70.9%","28.8%","40%",-146,-226,-5.6,7.5,"27.0%",496,"29.2%","22.8%",0.43,0.04
"Karthus","Top",3,"2.7%","0.0%","7.1%","33%","-",18,15,17,2.3,"58.3%","23.8%","0%",121,263,1.3,7.8,"33.0%",703,"33.8%","26.5%",0.37,0.02
"Kassadin","Middle",5,"4.5%","66.1%","70.5%","60%","-",20,13,38,4.5,"70.7%","17.6%","20%",-355,-360,-20,7.1,"29.6%",434,"26.1%","23.4%",0.35,0.09
"Katarina","Middle",4,"3.6%","0.0%","3.6%","0%","-",14,13,12,2,"74.3%","18.1%","0%",-322,-305,-10.8,6.2,"25.5%",339,"21.6%","22.8%",0.24,0.01
"Kayle","Jungle",1,"0.9%","15.2%","24.1%","0%","-",0,4,1,0.3,"100.0%","18.2%","0%",-307,-552,-14,4.1,"18.0%",185,"15.3%","18.1%",0.33,0.17
"Kayle","Middle",9,"8.0%","15.2%","24.1%","11%","-",18,33,23,1.2,"61.2%","24.1%","11%",86,-34,4,7.6,"28.5%",340,"22.0%","24.9%",0.39,0.05
"Kha'Zix","Jungle",21,"18.8%","32.1%","58.9%","48%","-",78,56,124,3.6,"65.0%","20.4%","29%",-149,52,1.4,3.8,"15.5%",292,"14.9%","18.8%",0.37,0.11
"Kha'Zix","Middle",9,"8.0%","32.1%","58.9%","67%","-",44,16,30,4.6,"60.7%","21.9%","11%",-83,-225,-0.3,7.4,"28.8%",388,"22.7%","23.9%",0.36,0.09
"Kog'Maw","ADC",1,"0.9%","0.0%","0.9%","0%","-",0,2,2,1,"50.0%","15.4%","0%",-449,-522,-23,5.1,"21.3%",477,"24.0%","17.5%",0.25,0.06
"LeBlanc","Middle",30,"26.8%","54.5%","81.3%","57%","-",150,80,159,3.9,"64.6%","20.8%","20%",98,183,2.9,6.4,"23.2%",463,"25.5%","22.2%",0.35,0.14
"Lee Sin","Jungle",21,"18.8%","19.6%","48.2%","43%","-",50,57,140,3.3,"73.4%","19.3%","52%",130,-47,-1.6,3.1,"10.9%",193,"11.1%","16.3%",0.76,0.14
"Lee Sin","Top",11,"9.8%","19.6%","48.2%","36%","-",45,34,78,3.6,"69.9%","19.9%","27%",-35,74,-2.8,7.1,"28.4%",374,"18.9%","23.0%",0.52,0.06
"Leona","Support",54,"48.2%","5.4%","53.6%","50%","-",52,179,429,2.7,"62.6%","23.5%","20%",-15,22,3,0.8,"3.6%",137,"7.7%","11.4%",0.96,0.15
"Lucian","ADC",63,"56.3%","2.7%","58.9%","51%","-",260,131,337,4.6,"67.4%","14.5%","29%",13,62,0.5,8,"30.8%",542,"29.0%","25.4%",0.26,0.1
"Lulu","Middle",21,"18.8%","39.3%","64.3%","71%","-",103,51,162,5.2,"75.3%","21.0%","24%",19,-13,-2.4,7.1,"24.5%",488,"25.8%","23.4%",0.41,0.1
"Lulu","Support",7,"6.3%","39.3%","64.3%","71%","-",7,15,44,3.4,"55.4%","19.5%","29%",-172,87,-0.1,0.9,"3.9%",145,"8.3%","11.4%",0.98,0.25
"Lux","Middle",1,"0.9%","0.0%","0.9%","0%","-",5,5,8,2.6,"81.3%","15.6%","0%",-185,-236,-5,6.7,"27.5%",555,"31.5%","23.3%",0.29,0.17
"Morgana","Support",23,"20.5%","1.8%","22.3%","39%","-",26,76,172,2.6,"66.4%","20.1%","26%",30,-60,-0.3,0.6,"2.7%",204,"11.3%","12.4%",1.04,0.17
