"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",1,"4.0%","0.0%","4.0%","100%","100%",2,2,4,3,"40.0%","28.6%","0%",-194,-362,-9,8.3,"22.6%",375,"17.8%","18.4%",0.54,0.07
"Akali","Middle",2,"8.0%","80.0%","88.0%","50%","0%",11,5,1,2.4,"52.2%","23.8%","0%",-8,-56,-5.5,8.1,"21.7%",524,"25.8%","23.0%",0.41,0.17
"Alistar","Support",9,"36.0%","8.0%","44.0%","44%","67%",1,29,55,1.9,"67.5%","30.9%","11%",-20,3,-1.2,1.2,"3.2%",123,"7.3%","7.9%",1.4,0.27
"Ashe","ADC",3,"12.0%","0.0%","12.0%","67%","33%",12,3,12,8,"72.7%","13.6%","0%",541,306,16,10.6,"31.2%",714,"34.3%","26.5%",0.31,0.43
"Azir","Middle",1,"4.0%","12.0%","16.0%","0%","0%",1,2,4,2.5,"71.4%","13.3%","0%",194,362,9,9.4,"30.7%",598,"36.2%","25.3%",0.3,0.17
"Braum","Support",14,"56.0%","40.0%","96.0%","43%","7%",7,27,94,3.7,"78.3%","18.1%","29%",-29,-120,5,2.1,"6.7%",154,"8.1%","10.1%",1.44,0.29
"Camille","Jungle",4,"16.0%","12.0%","32.0%","75%","25%",15,9,21,4,"70.6%","23.7%","25%",-77,-334,1.8,5.9,"17.4%",273,"12.0%","20.0%",0.38,0.33
"Camille","Top",1,"4.0%","12.0%","32.0%","0%","100%",1,5,5,1.2,"54.5%","33.3%","100%",458,669,13,9.4,"26.0%",340,"15.3%","24.5%",0.66,0.05
"Cassiopeia","Middle",3,"12.0%","8.0%","20.0%","33%","100%",10,7,10,2.9,"87.0%","17.5%","0%",357,432,13.7,9.6,"26.6%",455,"26.7%","26.2%",0.51,0.27
"Cho'Gath","Top",9,"36.0%","12.0%","48.0%","33%","22%",17,30,25,1.4,"61.8%","26.8%","11%",-124,-49,-1.2,7.9,"22.8%",361,"22.4%","21.5%",0.47,0.17
"Dr. Mundo","Top",1,"4.0%","16.0%","20.0%","0%","100%",1,1,2,3,"60.0%","7.1%","0%",78,0,1,9.1,"25.9%",362,"24.2%","25.6%",0.43,0.23
"Draven","ADC",2,"8.0%","4.0%","12.0%","50%","100%",3,4,11,3.5,"70.0%","14.3%","0%",11,-73,1.5,9.2,"26.8%",497,"29.6%","25.6%",0.36,0.31
"Ezreal","ADC",3,"12.0%","12.0%","24.0%","33%","67%",7,5,12,3.8,"67.9%","13.2%","0%",77,66,-3.7,10.4,"29.0%",717,"35.1%","25.9%",0.4,0.3
"Fizz","-",0,"0%","4.0%","4.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Galio","Middle",2,"8.0%","16.0%","24.0%","0%","100%",5,6,13,3,"90.0%","18.2%","0%",194,195,5,9.4,"27.5%",567,"28.6%","23.6%",0.5,0.07
"Gangplank","Top",6,"24.0%","60.0%","84.0%","67%","0%",27,6,36,10.5,"82.9%","10.7%","50%",146,-121,-5.7,8.9,"27.5%",641,"30.3%","27.0%",0.5,0.16
"Gnar","Top",4,"16.0%","20.0%","36.0%","25%","100%",8,7,16,3.4,"66.7%","15.9%","0%",-262,-196,-3.3,9.8,"30.3%",504,"29.4%","26.2%",0.55,0.29
"Gragas","Jungle",5,"20.0%","16.0%","44.0%","80%","60%",10,9,42,5.8,"76.5%","25.0%","60%",-249,-524,-14.6,4.8,"12.8%",352,"14.9%","16.1%",0.51,0.3
"Gragas","Support",2,"8.0%","16.0%","44.0%","0%","50%",0,5,4,0.8,"33.3%","21.7%","0%",-276,-207,-5.5,1.4,"3.7%",139,"9.5%","6.4%",1.16,0.27
"Graves","Jungle",3,"12.0%","20.0%","32.0%","67%","100%",5,6,16,3.5,"75.0%","26.1%","0%",-76,395,8.7,6.8,"18.6%",396,"20.5%","20.7%",0.33,0.34
"Hecarim","Jungle",1,"4.0%","8.0%","12.0%","0%","100%",1,2,2,1.5,"60.0%","18.2%","0%",-505,-540,-12,4.9,"11.1%",137,"7.2%","15.1%",0.36,0.45
