"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Rumble","Top",1,"3.2%","0.0%","3.2%","0%","100%",1,5,4,1,"71.4%","20.0%","0%",-520,563,3,6.9,"18.4%",802,"36.4%","19.2%",0.48,0.18
"Ryze","Middle",1,"3.2%","16.1%","19.4%","100%","100%",8,3,8,5.3,"94.1%","50.0%","100%",-274,-639,5,10.6,"33.2%",758,"45.6%","32.0%",0.4,0.22
"Senna","ADC",5,"16.1%","25.8%","41.9%","60%","20%",18,9,29,5.2,"74.6%","25.7%","20%",-574,-354,-76.6,1.7,"7.8%",590,"28.5%","17.1%",1.25,0.44
"Seraphine","Middle",4,"12.9%","61.3%","80.6%","50%","0%",11,7,44,7.9,"90.2%","13.7%","25%",80,-129,-3.3,8.1,"24.1%",441,"22.4%","22.5%",0.41,0.13
"Seraphine","Support",2,"6.5%","61.3%","80.6%","0%","50%",0,2,14,7,"70.0%","6.3%","0%",-42,136,-8,0.9,"3.6%",156,"8.8%","8.6%",1.22,0.35
"Sett","Support",2,"6.5%","9.7%","19.4%","0%","50%",2,7,7,1.3,"52.9%","23.3%","0%",366,103,26,4.2,"11.6%",175,"11.3%","13.9%",1.15,0.78
"Sett","Top",1,"3.2%","9.7%","19.4%","100%","100%",3,3,6,3,"69.2%","37.5%","0%",303,32,16,7.3,"19.3%",501,"17.3%","21.8%",0.57,0.13
"Shen","-",0,"0%","3.2%","3.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sion","Top",10,"32.3%","6.5%","38.7%","60%","60%",22,23,58,3.5,"62.5%","22.8%","0%",-282,-39,-7.7,7.3,"20.4%",353,"20.4%","19.7%",0.49,0.2
"Sivir","ADC",2,"6.5%","0.0%","6.5%","50%","50%",9,5,12,4.2,"70.0%","14.7%","0%",-71,54,-2,11.2,"35.5%",713,"33.6%","27.3%",0.47,0.32
"Sylas","Middle",5,"16.1%","16.1%","32.3%","40%","60%",26,14,15,2.9,"80.4%","24.1%","0%",124,-21,-7.8,8.2,"23.5%",427,"30.1%","25.7%",0.46,0.2
"Syndra","Middle",4,"12.9%","6.5%","19.4%","75%","50%",10,7,28,5.4,"62.3%","14.3%","50%",-304,-97,-4.8,8.9,"27.4%",573,"27.5%","22.8%",0.54,0.16
"Tahm Kench","Support",5,"16.1%","22.6%","38.7%","60%","40%",3,5,29,6.4,"52.5%","16.7%","0%",692,300,50.8,5.3,"11.1%",152,"7.6%","14.0%",0.58,0.21
"Thresh","Support",8,"25.8%","32.3%","58.1%","38%","13%",2,25,69,2.8,"83.5%","19.8%","13%",119,125,-6.1,1.1,"2.5%",114,"6.3%","8.3%",1.44,0.42
"Tristana","ADC",10,"32.3%","48.4%","87.1%","50%","20%",45,24,51,4,"67.6%","18.6%","30%",248,240,1.6,9.2,"31.0%",413,"23.0%","26.5%",0.53,0.38
"Tristana","Middle",2,"6.5%","48.4%","87.1%","50%","0%",6,5,8,2.8,"58.3%","21.7%","50%",499,63,7,9.6,"29.1%",462,"18.3%","26.0%",0.96,0.45
"Twisted Fate","Middle",3,"9.7%","38.7%","48.4%","33%","67%",6,5,23,5.8,"82.9%","8.9%","0%",-107,-173,-6,8.7,"26.2%",504,"27.4%","25.6%",0.31,0.14
"Udyr","Jungle",23,"74.2%","22.6%","96.8%","43%","48%",34,71,151,2.6,"70.3%","21.4%","35%",-12,41,0.2,6,"16.2%",183,"10.3%","17.6%",0.35,0.43
"Urgot","Top",1,"3.2%","0.0%","3.2%","0%","100%",2,4,1,0.8,"60.0%","26.7%","0%",-321,79,-1,7.7,"25.0%",289,"17.7%","23.2%",0.41,0.21
"Varus","ADC",1,"3.2%","3.2%","6.5%","0%","100%",5,2,2,3.5,"87.5%","18.2%","0%",1407,626,20,10.6,"32.7%",387,"30.4%","31.3%",0.53,0.47
"Vayne","-",0,"0%","3.2%","3.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Viktor","Middle",7,"22.6%","3.2%","25.8%","43%","57%",28,10,41,6.9,"81.2%","11.9%","14%",-61,326,6.4,9.2,"29.0%",734,"36.8%","26.4%",0.4,0.16
"Volibear","Jungle",1,"3.2%","0.0%","9.7%","0%","100%",3,3,7,3.3,"83.3%","12.5%","0%",-236,-590,-5,5.6,"15.6%",398,"17.2%","17.5%",0.3,0.44
"Volibear","Top",2,"6.5%","0.0%","9.7%","0%","100%",2,5,7,1.8,"60.0%","16.7%","0%",343,306,5.5,7.4,"18.8%",268,"21.4%","19.3%",0.5,0.22
"Xayah","ADC",10,"32.3%","12.9%","45.2%","50%","90%",41,26,42,3.2,"69.2%","17.8%","0%",-311,-256,-5.6,9.3,"31.1%",546,"27.0%","26.2%",0.47,0.26
"Yone","Middle",3,"9.7%","3.2%","12.9%","33%","67%",9,8,9,2.3,"58.1%","19.0%","33%",201,2,-2.3,9.7,"30.6%",283,"18.1%","28.1%",0.43,0.18
"Zoe","Middle",2,"6.5%","0.0%","6.5%","100%","100%",7,2,18,12.5,"71.4%","18.2%","0%",294,-3,2,8.6,"24.2%",590,"31.8%","22.5%",0.41,0.23
