"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Shyvana","Top",8,"36.4%","0.0%","36.4%","38%","-",18,21,30,2.3,"47.5%","16.8%","-","-","-","-","-","-","-","-","24.3%","-","-"
"Sona","Support",3,"13.6%","0.0%","13.6%","33%","-",1,7,17,2.6,"54.5%","17.1%","-","-","-","-","-","-","-","-","-","-","-"
"Soraka","-",0,"0%","4.5%","4.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Swain","-",0,"0%","4.5%","4.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Teemo","-",0,"0%","4.5%","4.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Thresh","Support",11,"50.0%","9.1%","59.1%","73%","-",9,36,84,2.6,"49.5%","28.1%","-","-","-","-","-","-","-","-","7.4%","-","-"
"Tristana","ADC",6,"27.3%","0.0%","27.3%","83%","-",30,9,32,6.9,"68.1%","15.0%","-","-","-","-","-","-","-","-","30.3%","-","-"
"Tryndamere","ADC",1,"4.5%","9.1%","22.7%","0%","-",5,3,1,2,"75.0%","18.8%","-","-","-","-","-","-","-","-","27.7%","-","-"
"Tryndamere","Support",1,"4.5%","9.1%","22.7%","0%","-",0,3,5,1.7,"41.7%","18.8%","-","-","-","-","-","-","-","-","-","-","-"
"Tryndamere","Top",1,"4.5%","9.1%","22.7%","100%","-",5,3,4,3,"75.0%","30.0%","-","-","-","-","-","-","-","-","-","-","-"
"Twisted Fate","Middle",1,"4.5%","0.0%","4.5%","100%","-",1,1,3,4,"33.3%","10.0%","-","-","-","-","-","-","-","-","-","-","-"
"Twitch","ADC",1,"4.5%","0.0%","4.5%","100%","-",5,1,5,10,"52.6%","12.5%","-","-","-","-","-","-","-","-","23.9%","-","-"
"Vayne","ADC",4,"18.2%","27.3%","45.5%","100%","-",38,6,25,10.5,"64.9%","12.5%","-","-","-","-","-","-","-","-","29.2%","-","-"
"Vi","Jungle",12,"54.5%","27.3%","81.8%","50%","-",34,38,83,3.1,"65.4%","22.9%","-","-","-","-","-","-","-","-","14.9%","-","-"
"Volibear","Top",1,"4.5%","0.0%","4.5%","100%","-",3,3,8,3.7,"52.4%","21.4%","-","-","-","-","-","-","-","-","17.1%","-","-"
"Yorick","-",0,"0%","4.5%","4.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Zac","Top",2,"9.1%","0.0%","9.1%","0%","-",2,6,2,0.7,"50.0%","18.2%","-","-","-","-","-","-","-","-","25.1%","-","-"
"Zed","Middle",4,"18.2%","72.7%","90.9%","75%","-",29,6,7,6,"54.5%","15.4%","-","-","-","-","-","-","-","-","29.1%","-","-"
"Zilean","-",0,"0%","9.1%","9.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Zyra","Support",7,"31.8%","18.2%","50.0%","43%","-",4,24,37,1.7,"51.3%","20.3%","-","-","-","-","-","-","-","-","8.6%","-","-"
