"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Jungle",3,"13.6%","40.9%","59.1%","67%","-",5,12,17,1.8,"48.9%","26.7%","-","-","-","-","-","-","-","-","14.9%","-","-"
"Aatrox","Top",1,"4.5%","40.9%","59.1%","100%","-",2,0,7,9,"60.0%","0.0%","-","-","-","-","-","-","-","-","-","-","-"
"Ahri","Middle",6,"27.3%","13.6%","40.9%","33%","-",20,21,30,2.4,"65.8%","22.3%","-","-","-","-","-","-","-","-","22.1%","-","-"
"Alistar","Support",1,"4.5%","0.0%","4.5%","0%","-",1,4,1,0.5,"40.0%","17.4%","-","-","-","-","-","-","-","-","7.0%","-","-"
"Annie","Support",8,"36.4%","36.4%","72.7%","38%","-",17,24,51,2.8,"60.7%","19.0%","-","-","-","-","-","-","-","-","10.7%","-","-"
"Brand","Middle",1,"4.5%","0.0%","4.5%","0%","-",0,4,0,0,"0.0%","22.2%","-","-","-","-","-","-","-","-","25.8%","-","-"
"Caitlyn","ADC",14,"63.6%","9.1%","72.7%","36%","-",41,39,66,2.7,"65.6%","17.4%","-","-","-","-","-","-","-","-","29.9%","-","-"
"Corki","ADC",8,"36.4%","36.4%","77.3%","50%","-",36,19,27,3.3,"61.2%","17.9%","-","-","-","-","-","-","-","-","32.2%","-","-"
"Corki","Middle",1,"4.5%","36.4%","77.3%","100%","-",2,1,7,9,"56.3%","12.5%","-","-","-","-","-","-","-","-","25.7%","-","-"
"Diana","-",0,"0%","4.5%","4.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Elise","Jungle",12,"54.5%","36.4%","90.9%","58%","-",31,39,79,2.8,"63.2%","24.8%","-","-","-","-","-","-","-","-","12.1%","-","-"
"Ezreal","ADC",1,"4.5%","0.0%","9.1%","0%","-",0,4,1,0.3,"20.0%","18.2%","-","-","-","-","-","-","-","-","-","-","-"
"Ezreal","Middle",1,"4.5%","0.0%","9.1%","100%","-",4,0,8,12,"70.6%","0.0%","-","-","-","-","-","-","-","-","-","-","-"
"Fiddlesticks","Support",6,"27.3%","18.2%","45.5%","67%","-",8,14,52,4.3,"60.0%","20.0%","-","-","-","-","-","-","-","-","11.2%","-","-"
"Garen","Top",1,"4.5%","0.0%","4.5%","100%","-",4,1,3,7,"46.7%","8.3%","-","-","-","-","-","-","-","-","-","-","-"
"Gragas","Middle",8,"36.4%","9.1%","45.5%","38%","-",22,19,40,3.3,"59.0%","16.1%","-","-","-","-","-","-","-","-","24.6%","-","-"
"Graves","ADC",2,"9.1%","0.0%","9.1%","0%","-",7,3,8,5,"60.0%","9.4%","-","-","-","-","-","-","-","-","-","-","-"
"Janna","Top",1,"4.5%","0.0%","4.5%","0%","-",2,6,0,0.3,"16.7%","37.5%","-","-","-","-","-","-","-","-","-","-","-"
"Jarvan IV","Jungle",10,"45.5%","13.6%","59.1%","40%","-",16,34,81,2.9,"75.2%","23.3%","-","-","-","-","-","-","-","-","15.9%","-","-"
"Jax","ADC",1,"4.5%","27.3%","54.5%","0%","-",3,4,0,0.8,"42.9%","22.2%","-","-","-","-","-","-","-","-","25.3%","-","-"
"Jax","Top",5,"22.7%","27.3%","54.5%","60%","-",13,16,20,2.1,"44.6%","22.5%","-","-","-","-","-","-","-","-","21.1%","-","-"
"Karma","Top",1,"4.5%","0.0%","4.5%","0%","-",2,7,3,0.7,"83.3%","41.2%","-","-","-","-","-","-","-","-","-","-","-"
"Karthus","-",0,"0%","4.5%","4.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Kassadin","Middle",1,"4.5%","31.8%","36.4%","0%","-",1,5,1,0.4,"66.7%","33.3%","-","-","-","-","-","-","-","-","-","-","-"
"Kennen","ADC",1,"4.5%","0.0%","4.5%","100%","-",7,1,6,13,"68.4%","7.1%","-","-","-","-","-","-","-","-","-","-","-"
"Kha'Zix","Middle",2,"9.1%","0.0%","9.1%","50%","-",13,7,6,2.7,"67.9%","17.9%","-","-","-","-","-","-","-","-","23.5%","-","-"
"LeBlanc","Middle",1,"4.5%","0.0%","4.5%","0%","-",5,6,0,0.8,"50.0%","31.6%","-","-","-","-","-","-","-","-","20.2%","-","-"
"Lee Sin","ADC",1,"4.5%","31.8%","54.5%","100%","-",8,2,6,7,"87.5%","25.0%","-","-","-","-","-","-","-","-","29.1%","-","-"
"Lee Sin","Jungle",4,"18.2%","31.8%","54.5%","75%","-",10,11,30,3.6,"64.5%","24.4%","-","-","-","-","-","-","-","-","16.1%","-","-"
"Lissandra","Middle",4,"18.2%","0.0%","27.3%","75%","-",10,10,19,2.9,"50.9%","26.3%","-","-","-","-","-","-","-","-","24.4%","-","-"
"Lissandra","Support",1,"4.5%","0.0%","27.3%","0%","-",1,4,1,0.5,"25.0%","25.0%","-","-","-","-","-","-","-","-","6.6%","-","-"
"Lissandra","Top",1,"4.5%","0.0%","27.3%","100%","-",0,0,8,8,"42.1%","0.0%","-","-","-","-","-","-","-","-","24.1%","-","-"
"Lucian","ADC",3,"13.6%","0.0%","13.6%","33%","-",10,10,19,2.9,"60.4%","23.8%","-","-","-","-","-","-","-","-","21.3%","-","-"
"Lulu","Middle",1,"4.5%","27.3%","31.8%","100%","-",6,0,2,8,"42.1%","0.0%","-","-","-","-","-","-","-","-","-","-","-"
"Malphite","Top",1,"4.5%","0.0%","4.5%","100%","-",2,1,6,8,"50.0%","12.5%","-","-","-","-","-","-","-","-","20.9%","-","-"
"Mordekaiser","-",0,"0%","4.5%","4.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nami","Support",6,"27.3%","0.0%","27.3%","50%","-",4,17,51,3.2,"73.3%","22.4%","-","-","-","-","-","-","-","-","9.9%","-","-"
"Nasus","Jungle",1,"4.5%","0.0%","9.1%","0%","-",1,2,7,4,"80.0%","10.5%","-","-","-","-","-","-","-","-","-","-","-"
"Nasus","Top",1,"4.5%","0.0%","9.1%","0%","-",3,7,4,1,"58.3%","25.0%","-","-","-","-","-","-","-","-","-","-","-"
"Nidalee","Middle",5,"22.7%","27.3%","59.1%","60%","-",12,13,31,3.3,"58.9%","16.0%","-","-","-","-","-","-","-","-","25.3%","-","-"
"Nidalee","Top",2,"9.1%","27.3%","59.1%","50%","-",7,5,10,3.4,"54.8%","19.2%","-","-","-","-","-","-","-","-","-","-","-"
"Nocturne","Jungle",2,"9.1%","0.0%","9.1%","0%","-",3,6,7,1.7,"71.4%","16.7%","-","-","-","-","-","-","-","-","17.8%","-","-"
"Orianna","Middle",7,"31.8%","4.5%","36.4%","43%","-",26,20,45,3.6,"62.3%","17.5%","-","-","-","-","-","-","-","-","25.9%","-","-"
"Quinn","ADC",1,"4.5%","0.0%","4.5%","0%","-",3,4,2,1.3,"41.7%","25.0%","-","-","-","-","-","-","-","-","-","-","-"
"Renekton","Top",10,"45.5%","22.7%","68.2%","30%","-",27,26,52,3,"63.2%","16.1%","-","-","-","-","-","-","-","-","22.3%","-","-"
"Riven","Top",1,"4.5%","0.0%","4.5%","100%","-",6,2,8,7,"77.8%","28.6%","-","-","-","-","-","-","-","-","22.7%","-","-"
"Rumble","Middle",1,"4.5%","0.0%","9.1%","0%","-",3,4,3,1.5,"60.0%","33.3%","-","-","-","-","-","-","-","-","-","-","-"
"Rumble","Top",1,"4.5%","0.0%","9.1%","100%","-",4,3,13,5.7,"89.5%","27.3%","-","-","-","-","-","-","-","-","-","-","-"
"Shen","Top",6,"27.3%","9.1%","36.4%","67%","-",21,10,50,7.1,"65.1%","15.9%","-","-","-","-","-","-","-","-","22.1%","-","-"
