"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",6,"22.2%","0.0%","22.2%","67%","-",26,12,38,5.3,"61.0%","26.1%","-","-","-","-","-","-","-","-","23.6%","-","-"
"Akali","Top",2,"7.4%","0.0%","7.4%","50%","-",8,11,11,1.7,"73.1%","27.5%","-","-","-","-","-","-","-","-","18.5%","-","-"
"Annie","Support",15,"55.6%","14.8%","70.4%","67%","-",23,51,144,3.3,"67.6%","22.0%","-","-","-","-","-","-","-","-","11.7%","-","-"
"Caitlyn","ADC",1,"3.7%","0.0%","3.7%","100%","-",12,2,14,13,"61.9%","22.2%","-","-","-","-","-","-","-","-","-","-","-"
"Diana","Jungle",1,"3.7%","0.0%","3.7%","0%","-",1,10,4,0.5,"55.6%","23.3%","-","-","-","-","-","-","-","-","-","-","-"
"Dr. Mundo","Jungle",3,"11.1%","14.8%","51.9%","67%","-",6,3,19,8.3,"80.6%","8.6%","-","-","-","-","-","-","-","-","16.8%","-","-"
"Dr. Mundo","Middle",1,"3.7%","14.8%","51.9%","0%","-",2,3,3,1.7,"41.7%","11.5%","-","-","-","-","-","-","-","-","18.2%","-","-"
"Dr. Mundo","Top",6,"22.2%","14.8%","51.9%","50%","-",23,17,45,4,"64.8%","17.0%","-","-","-","-","-","-","-","-","21.1%","-","-"
"Draven","ADC",2,"7.4%","3.7%","11.1%","100%","-",8,9,11,2.1,"79.2%","56.3%","-","-","-","-","-","-","-","-","29.0%","-","-"
"Elise","Jungle",11,"40.7%","29.6%","81.5%","45%","-",31,32,67,3.1,"58.3%","20.9%","-","-","-","-","-","-","-","-","15.7%","-","-"
"Elise","Top",3,"11.1%","29.6%","81.5%","0%","-",6,7,6,1.7,"85.7%","14.9%","-","-","-","-","-","-","-","-","21.7%","-","-"
"Evelynn","Jungle",2,"7.4%","22.2%","29.6%","50%","-",5,13,7,0.9,"52.2%","38.2%","-","-","-","-","-","-","-","-","-","-","-"
"Ezreal","ADC",6,"22.2%","0.0%","22.2%","33%","-",23,17,44,3.9,"66.3%","16.2%","-","-","-","-","-","-","-","-","20.8%","-","-"
"Fiddlesticks","Support",5,"18.5%","0.0%","18.5%","60%","-",6,20,51,2.9,"74.0%","26.7%","-","-","-","-","-","-","-","-","12.8%","-","-"
"Gragas","Middle",4,"14.8%","37.0%","51.9%","75%","-",22,6,36,9.7,"65.2%","10.9%","-","-","-","-","-","-","-","-","-","-","-"
"Janna","Support",4,"14.8%","0.0%","14.8%","50%","-",3,11,50,4.8,"71.6%","18.3%","-","-","-","-","-","-","-","-","11.7%","-","-"
