"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ezreal","ADC",6,"30.0%","0.0%","30.0%","67%","-",24,10,42,6.6,"85.7%","16.1%","-","-","-","-","-","-","-","-","26.9%","-","-"
"Gragas","-",0,"0%","15.0%","15.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Irelia","Top",3,"15.0%","0.0%","15.0%","100%","-",8,9,29,4.1,"55.2%","25.0%","-","-","-","-","-","-","-","-","19.0%","-","-"
"Janna","Support",1,"5.0%","0.0%","5.0%","0%","-",1,4,9,2.5,"71.4%","20.0%","-","-","-","-","-","-","-","-","12.4%","-","-"
"Jarvan IV","Jungle",11,"55.0%","0.0%","55.0%","45%","-",15,34,130,4.3,"87.9%","21.9%","-","-","-","-","-","-","-","-","14.5%","-","-"
"Jayce","Middle",2,"10.0%","70.0%","90.0%","50%","-",13,6,8,3.5,"72.4%","20.7%","-","-","-","-","-","-","-","-","30.5%","-","-"
"Jayce","Top",2,"10.0%","70.0%","90.0%","50%","-",7,6,11,3,"64.3%","21.4%","-","-","-","-","-","-","-","-","24.5%","-","-"
"Karthus","Middle",11,"55.0%","40.0%","95.0%","64%","-",48,43,68,2.7,"73.0%","30.5%","-","-","-","-","-","-","-","-","25.1%","-","-"
"Katarina","Middle",1,"5.0%","0.0%","5.0%","0%","-",5,3,0,1.7,"62.5%","18.8%","-","-","-","-","-","-","-","-","32.0%","-","-"
"Kennen","Top",1,"5.0%","0.0%","5.0%","0%","-",7,2,4,5.5,"84.6%","10.0%","-","-","-","-","-","-","-","-","27.9%","-","-"
"Kha'Zix","Top",3,"15.0%","0.0%","15.0%","33%","-",11,7,9,2.9,"74.1%","15.9%","-","-","-","-","-","-","-","-","27.5%","-","-"
"Kog'Maw","ADC",4,"20.0%","0.0%","20.0%","75%","-",21,14,37,4.1,"77.3%","21.9%","-","-","-","-","-","-","-","-","24.6%","-","-"
"Lee Sin","Jungle",4,"20.0%","0.0%","20.0%","25%","-",3,12,19,1.8,"59.5%","20.0%","-","-","-","-","-","-","-","-","11.7%","-","-"
"Lulu","Support",4,"20.0%","0.0%","20.0%","25%","-",2,13,37,3,"86.7%","17.3%","-","-","-","-","-","-","-","-","10.1%","-","-"
"Lux","Jungle",1,"5.0%","15.0%","20.0%","0%","-",1,4,7,2,"88.9%","19.0%","-","-","-","-","-","-","-","-","19.0%","-","-"
"Malphite","Middle",1,"5.0%","5.0%","35.0%","0%","-",2,5,4,1.2,"46.2%","25.0%","-","-","-","-","-","-","-","-","21.0%","-","-"
"Malphite","Top",5,"25.0%","5.0%","35.0%","20%","-",8,15,23,2.1,"72.1%","19.7%","-","-","-","-","-","-","-","-","19.2%","-","-"
"Miss Fortune","ADC",2,"10.0%","30.0%","40.0%","50%","-",5,5,10,3,"57.7%","20.8%","-","-","-","-","-","-","-","-","24.2%","-","-"
"Nasus","Jungle",8,"40.0%","45.0%","85.0%","63%","-",7,23,81,3.8,"71.5%","19.3%","-","-","-","-","-","-","-","-","13.6%","-","-"
"Nocturne","Jungle",7,"35.0%","30.0%","65.0%","43%","-",12,23,58,3,"70.0%","23.2%","-","-","-","-","-","-","-","-","17.3%","-","-"
"Orianna","Middle",10,"50.0%","0.0%","50.0%","30%","-",28,28,58,3.1,"72.3%","18.5%","-","-","-","-","-","-","-","-","25.6%","-","-"
"Renekton","Top",6,"30.0%","50.0%","80.0%","50%","-",22,12,45,5.6,"70.5%","13.8%","-","-","-","-","-","-","-","-","23.6%","-","-"
"Riven","Top",2,"10.0%","0.0%","10.0%","50%","-",6,1,5,11,"68.8%","5.6%","-","-","-","-","-","-","-","-","26.0%","-","-"
"Rumble","Top",7,"35.0%","0.0%","35.0%","57%","-",18,16,58,4.8,"74.5%","18.0%","-","-","-","-","-","-","-","-","19.6%","-","-"
"Ryze","Middle",3,"15.0%","0.0%","15.0%","33%","-",13,13,20,2.5,"78.6%","23.6%","-","-","-","-","-","-","-","-","24.2%","-","-"
"Shen","ADC",1,"5.0%","70.0%","90.0%","0%","-",3,4,5,2,"88.9%","19.0%","-","-","-","-","-","-","-","-","25.9%","-","-"
"Shen","Top",3,"15.0%","70.0%","90.0%","33%","-",5,8,28,4.1,"73.3%","16.0%","-","-","-","-","-","-","-","-","18.9%","-","-"
"Sona","Support",15,"75.0%","10.0%","85.0%","60%","-",17,46,171,4.1,"83.2%","22.7%","-","-","-","-","-","-","-","-","11.3%","-","-"
"Thresh","Support",11,"55.0%","35.0%","90.0%","36%","-",8,39,104,2.9,"73.2%","25.0%","-","-","-","-","-","-","-","-","9.0%","-","-"
"Tristana","ADC",5,"25.0%","25.0%","50.0%","40%","-",25,12,19,3.7,"62.9%","17.4%","-","-","-","-","-","-","-","-","28.1%","-","-"
"Tryndamere","Top",1,"5.0%","0.0%","5.0%","100%","-",5,0,2,7,"50.0%","0.0%","-","-","-","-","-","-","-","-","27.9%","-","-"
"Twisted Fate","Middle",4,"20.0%","65.0%","85.0%","75%","-",12,12,28,3.3,"71.4%","31.6%","-","-","-","-","-","-","-","-","23.5%","-","-"
"Twitch","ADC",5,"25.0%","0.0%","25.0%","60%","-",24,12,19,3.6,"64.2%","21.4%","-","-","-","-","-","-","-","-","29.0%","-","-"
"Varus","ADC",4,"20.0%","0.0%","20.0%","25%","-",29,8,22,6.4,"78.5%","11.9%","-","-","-","-","-","-","-","-","31.7%","-","-"
"Vayne","ADC",1,"5.0%","0.0%","5.0%","0%","-",0,6,2,0.3,"33.3%","27.3%","-","-","-","-","-","-","-","-","22.4%","-","-"
"Vladimir","Top",4,"20.0%","0.0%","20.0%","75%","-",9,3,34,14.3,"65.2%","5.6%","-","-","-","-","-","-","-","-","24.4%","-","-"
"Volibear","Jungle",1,"5.0%","0.0%","5.0%","0%","-",1,3,3,1.3,"80.0%","18.8%","-","-","-","-","-","-","-","-","9.6%","-","-"
"Yorick","Support",1,"5.0%","0.0%","5.0%","0%","-",0,4,2,0.5,"66.7%","30.8%","-","-","-","-","-","-","-","-","4.8%","-","-"
"Zac","Jungle",1,"5.0%","0.0%","10.0%","0%","-",0,5,7,1.4,"53.8%","25.0%","-","-","-","-","-","-","-","-","12.9%","-","-"
"Zac","Top",1,"5.0%","0.0%","10.0%","0%","-",0,3,3,1,"50.0%","27.3%","-","-","-","-","-","-","-","-","20.0%","-","-"
"Zed","Top",1,"5.0%","0.0%","5.0%","0%","-",3,6,3,1,"66.7%","28.6%","-","-","-","-","-","-","-","-","19.6%","-","-"
"Zyra","Support",2,"10.0%","0.0%","10.0%","50%","-",2,2,9,5.5,"52.4%","10.5%","-","-","-","-","-","-","-","-","12.7%","-","-"
