"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",1,"5.0%","0.0%","5.0%","100%","-",8,1,3,11,"64.7%","10.0%","-","-","-","-","-","-","-","-","26.8%","-","-"
"Amumu","-",0,"0%","5.0%","5.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Blitzcrank","Support",5,"25.0%","0.0%","25.0%","80%","-",5,14,36,2.9,"59.4%","24.1%","-","-","-","-","-","-","-","-","9.4%","-","-"
"Caitlyn","ADC",10,"50.0%","25.0%","75.0%","60%","-",48,23,56,4.5,"74.3%","16.9%","-","-","-","-","-","-","-","-","28.5%","-","-"
"Cho'Gath","Jungle",5,"25.0%","0.0%","25.0%","100%","-",14,1,40,54,"62.8%","2.3%","-","-","-","-","-","-","-","-","16.4%","-","-"
"Diana","Middle",5,"25.0%","30.0%","60.0%","60%","-",22,15,30,3.5,"75.4%","27.3%","-","-","-","-","-","-","-","-","22.2%","-","-"
"Diana","Top",1,"5.0%","30.0%","60.0%","100%","-",5,2,2,3.5,"33.3%","18.2%","-","-","-","-","-","-","-","-","23.2%","-","-"
"Draven","ADC",2,"10.0%","0.0%","15.0%","0%","-",5,6,8,2.2,"76.5%","18.8%","-","-","-","-","-","-","-","-","31.4%","-","-"
"Draven","Middle",1,"5.0%","0.0%","15.0%","0%","-",2,4,5,1.8,"77.8%","19.0%","-","-","-","-","-","-","-","-","22.9%","-","-"
"Elise","Jungle",2,"10.0%","35.0%","50.0%","50%","-",1,1,9,10,"71.4%","5.3%","-","-","-","-","-","-","-","-","14.5%","-","-"
"Elise","Support",1,"5.0%","35.0%","50.0%","100%","-",4,1,12,16,"76.2%","11.1%","-","-","-","-","-","-","-","-","13.2%","-","-"
"Evelynn","Middle",1,"5.0%","0.0%","5.0%","100%","-",8,4,19,6.8,"87.1%","23.5%","-","-","-","-","-","-","-","-","20.5%","-","-"
