"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Kennen","Top",4,"4.3%","1.1%","5.3%","25%","75%",5,10,9,1.4,"40.0%","20.0%","25%",-43,83,4.5,8.3,"27.3%",424,"28.2%","23.7%",0.43,0.33
"Kindred","Jungle",1,"1.1%","1.1%","2.1%","0%","100%",2,6,6,1.3,"88.9%","30.0%","0%",-142,-205,8,5.3,"17.3%",284,"13.1%","17.6%",0.31,0.31
"LeBlanc","Middle",14,"14.9%","59.6%","74.5%","29%","36%",38,31,39,2.5,"66.4%","21.4%","36%",-121,26,-5.3,7.8,"24.3%",428,"25.8%","23.7%",0.5,0.28
"Lee Sin","Jungle",41,"43.6%","16.0%","59.6%","54%","46%",79,97,222,3.1,"68.1%","23.8%","29%",-130,-82,-1.4,4.8,"14.0%",190,"11.1%","16.3%",0.57,0.3
"Leona","Support",13,"13.8%","2.1%","16.0%","38%","77%",8,40,75,2.1,"62.9%","26.8%","23%",-52,26,-0.8,1.1,"3.3%",97,"5.9%","8.8%",1.54,0.46
"Lissandra","-",0,"0%","1.1%","1.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Lucian","ADC",2,"2.1%","29.8%","36.2%","100%","100%",7,2,13,10,"62.5%","25.0%","100%",673,588,11.5,9.4,"31.9%",491,"22.3%","26.6%",0.46,0.52
"Lucian","Middle",2,"2.1%","29.8%","36.2%","0%","0%",6,6,6,2,"70.6%","17.1%","50%",724,666,18.5,8.8,"26.0%",339,"29.0%","26.6%",0.49,0.36
"Lucian","Top",2,"2.1%","29.8%","36.2%","50%","50%",5,3,3,2.7,"34.8%","17.6%","0%",360,439,17.5,9.5,"31.0%",370,"30.1%","26.4%",0.31,0.29
"Malzahar","Middle",2,"2.1%","0.0%","2.1%","100%","100%",6,1,13,19,"65.5%","6.7%","50%",69,-60,-8,9.6,"32.4%",401,"23.3%","26.9%",0.44,0.05
"Maokai","Middle",1,"1.1%","0.0%","1.1%","0%","100%",1,3,0,0.3,"100.0%","23.1%","0%",-283,-344,-11,7.6,"21.1%",271,"23.7%","23.0%",0.37,0.13
"Miss Fortune","ADC",34,"36.2%","7.4%","43.6%","41%","47%",88,57,144,4.1,"71.4%","14.3%","18%",-55,-71,-2.2,9.6,"33.1%",433,"26.0%","27.8%",0.42,0.31
"Mordekaiser","Top",12,"12.8%","10.6%","23.4%","42%","83%",27,37,25,1.4,"48.6%","30.6%","25%",-269,-292,-10.8,7.4,"24.3%",362,"24.1%","22.1%",0.43,0.13
"Morgana","Middle",1,"1.1%","1.1%","3.2%","100%","100%",5,0,9,14,"73.7%","0.0%","0%",661,276,14,7.5,"19.4%",438,"21.5%","22.3%",0.58,0.25
"Morgana","Support",1,"1.1%","1.1%","3.2%","0%","100%",0,0,0,0,"0.0%","0.0%","0%",-173,-292,-14,0.6,"3.6%",55,"9.6%","8.3%",1.08,0.54
"Nautilus","Support",38,"40.4%","9.6%","50.0%","58%","55%",34,121,231,2.2,"59.2%","26.3%","18%",70,-112,3.6,1.3,"3.5%",133,"7.7%","9.4%",1.44,0.31
"Neeko","Middle",1,"1.1%","0.0%","1.1%","0%","0%",2,6,2,0.7,"44.4%","40.0%","0%",223,-155,-4,7.9,"22.9%",338,"19.0%","21.7%",0.48,0.11
"Olaf","Jungle",7,"7.4%","28.7%","36.2%","43%","57%",18,19,25,2.3,"65.2%","18.3%","43%",288,701,16.4,5.6,"17.0%",281,"15.1%","19.3%",0.33,0.47
