"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Jungle",6,"6.6%","26.4%","61.5%","50%","83%",13,14,27,2.9,"56.3%","23.0%","17%",22,172,2.8,5.3,"14.9%",207,"11.8%","17.6%",0.39,0.41
"Aatrox","Middle",3,"3.3%","26.4%","61.5%","67%","33%",10,3,12,7.3,"66.7%","13.6%","67%",399,23,4.7,8.4,"22.1%",401,"21.4%","22.9%",0.45,0.2
"Aatrox","Top",23,"25.3%","26.4%","61.5%","48%","39%",36,45,78,2.5,"53.5%","17.2%","22%",77,124,1.9,8.8,"26.5%",369,"22.9%","22.7%",0.5,0.16
"Ahri","Middle",1,"1.1%","0.0%","1.1%","0%","100%",0,2,4,2,"40.0%","12.5%","0%",23,515,9,9.8,"35.1%",294,"18.6%","23.4%",0.55,0.2
"Akali","Middle",4,"4.4%","31.9%","44.0%","50%","25%",16,5,16,6.4,"71.1%","12.8%","25%",52,-74,1,9.3,"26.3%",399,"19.6%","24.4%",0.42,0.13
"Akali","Top",7,"7.7%","31.9%","44.0%","71%","43%",19,13,24,3.3,"50.6%","22.0%","43%",233,184,5.1,8.4,"24.3%",483,"25.8%","22.6%",0.52,0.14
"Alistar","Support",35,"38.5%","16.5%","54.9%","49%","29%",19,103,242,2.5,"71.9%","26.3%","37%",38,-74,-0.7,1.3,"4.1%",109,"6.5%","9.5%",1.47,0.28
"Anivia","Middle",1,"1.1%","0.0%","1.1%","0%","0%",1,3,4,1.7,"62.5%","18.8%","0%",-236,-151,-13,8.6,"26.1%",397,"25.3%","23.1%",0.38,0.19
"Ashe","ADC",6,"6.6%","0.0%","6.6%","17%","17%",4,11,17,1.9,"67.7%","18.3%","17%",58,-225,6.5,8.9,"27.2%",357,"25.4%","24.6%",0.42,0.35
"Aurelion Sol","Middle",1,"1.1%","1.1%","2.2%","0%","100%",0,1,2,2,"66.7%","14.3%","100%",-57,-122,-2,7.7,"19.5%",334,"27.9%","19.7%",0.51,0.27
"Azir","Middle",1,"1.1%","1.1%","2.2%","100%","100%",7,2,4,5.5,"84.6%","16.7%","0%",141,-16,11,9.2,"28.7%",963,"38.4%","27.0%",0.38,0.15
"Braum","Support",43,"47.3%","12.1%","59.3%","53%","51%",28,100,291,3.2,"69.2%","22.4%","19%",72,-5,3.1,1.9,"6.6%",133,"7.3%","11.9%",1.42,0.32
"Caitlyn","ADC",1,"1.1%","0.0%","1.1%","0%","0%",0,4,4,1,"80.0%","30.8%","0%",-118,-416,-8,9.8,"33.1%",466,"29.2%","27.2%",0.46,0.3
"Camille","Jungle",14,"15.4%","13.2%","30.8%","71%","21%",29,42,90,2.8,"66.1%","28.6%","43%",-107,-152,-1.5,5,"14.6%",224,"10.9%","16.3%",0.33,0.39
"Camille","Top",2,"2.2%","13.2%","30.8%","0%","100%",3,3,2,1.7,"83.3%","25.0%","0%",30,289,-10,8.3,"24.9%",254,"21.7%","25.0%",0.46,0.14
"Cassiopeia","ADC",3,"3.3%","63.7%","72.5%","100%","0%",15,7,21,5.1,"76.6%","20.6%","0%",-428,-163,-4.3,7.8,"23.5%",555,"26.2%","24.8%",0.37,0.26
"Cassiopeia","Middle",3,"3.3%","63.7%","72.5%","67%","33%",13,2,23,18,"92.3%","7.4%","33%",108,171,-4.7,7.8,"23.2%",722,"32.9%","22.6%",0.38,0.14
"Cassiopeia","Top",2,"2.2%","63.7%","72.5%","100%","0%",9,0,10,19,"61.3%","0.0%","50%",236,-73,4.5,9.7,"29.6%",609,"39.3%","26.0%",0.37,0.3
"Cho'Gath","Top",1,"1.1%","0.0%","1.1%","100%","100%",7,2,3,5,"71.4%","25.0%","0%",0,-29,10,8,"23.3%",340,"18.5%","23.7%",0.63,0.3
"Corki","ADC",1,"1.1%","3.3%","11.0%","100%","100%",4,0,3,7,"53.8%","0.0%","0%",-416,-95,-6,9.1,"27.8%",399,"18.0%","25.2%",0.38,0.28
"Corki","Middle",6,"6.6%","3.3%","11.0%","50%","67%",24,11,14,3.5,"63.3%","16.4%","17%",-43,58,-1.7,9.6,"28.8%",635,"33.4%","27.0%",0.41,0.21
"Draven","ADC",4,"4.4%","19.8%","24.2%","25%","50%",4,3,8,4,"52.2%","7.7%","50%",-47,-139,2.5,9.7,"30.4%",430,"28.7%","28.0%",0.33,0.31
"Elise","Jungle",4,"4.4%","3.3%","7.7%","0%","100%",6,14,17,1.6,"76.7%","25.9%","50%",11,-136,0.5,5.2,"15.2%",238,"14.0%","17.1%",0.88,0.44
"Evelynn","-",0,"0%","1.1%","1.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ezreal","ADC",48,"52.7%","19.8%","72.5%","60%","35%",154,67,215,5.5,"71.2%","14.3%","15%",130,-2,-2.4,9.2,"28.3%",703,"36.5%","26.1%",0.44,0.29
"Fiora","-",0,"0%","6.6%","6.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Galio","Middle",6,"6.6%","17.6%","41.8%","67%","50%",21,12,44,5.4,"75.6%","19.4%","50%",-284,-185,-14.5,7.9,"24.3%",460,"19.4%","20.9%",0.5,0.12
"Galio","Support",16,"17.6%","17.6%","41.8%","63%","44%",17,28,119,4.9,"68.3%","21.2%","19%",70,143,3.9,2,"6.7%",167,"9.3%","10.3%",1.41,0.3
"Gangplank","Top",1,"1.1%","4.4%","5.5%","100%","100%",2,0,3,5,"26.3%","0.0%","0%",-79,-538,-19,7.2,"20.2%",284,"16.8%","18.3%",0.47,0.07
"Gragas","Jungle",11,"12.1%","8.8%","20.9%","64%","64%",13,24,56,2.9,"59.0%","25.3%","45%",54,72,1.5,5.1,"14.4%",246,"13.4%","15.9%",0.49,0.38
"Irelia","ADC",3,"3.3%","35.2%","45.1%","100%","67%",15,4,17,8,"71.1%","44.4%","67%",313,392,8,8.4,"23.4%",309,"18.8%","23.2%",0.43,0.25
"Irelia","Middle",2,"2.2%","35.2%","45.1%","100%","100%",16,8,16,4,"84.2%","36.4%","50%",862,441,8.5,9.6,"29.2%",545,"26.0%","28.2%",0.52,0.17
"Irelia","Top",4,"4.4%","35.2%","45.1%","50%","50%",11,19,19,1.6,"49.2%","29.7%","0%",-404,-570,-4.3,8.9,"27.7%",371,"17.4%","22.8%",0.53,0.13
"Ivern","-",0,"0%","2.2%","2.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Jarvan IV","Jungle",26,"28.6%","9.9%","40.7%","38%","35%",28,72,154,2.5,"79.5%","28.6%","38%",129,41,-0.1,4.8,"12.9%",163,"10.0%","15.8%",0.77,0.46
"Jarvan IV","Top",2,"2.2%","9.9%","40.7%","50%","100%",2,0,7,9,"81.8%","0.0%","50%",-39,-65,-2.5,8,"21.8%",212,"15.8%","20.9%",0.51,0.13
"Jax","Top",4,"4.4%","9.9%","14.3%","75%","100%",9,4,13,5.5,"43.1%","14.3%","50%",402,39,-1.8,9.3,"28.9%",296,"18.8%","24.5%",0.5,0.13
"Jayce","ADC",1,"1.1%","51.6%","69.2%","0%","0%",2,4,10,3,"66.7%","16.0%","0%",-59,319,6,8.1,"27.6%",658,"29.5%","22.2%",0.42,0.21
"Jayce","Jungle",2,"2.2%","51.6%","69.2%","50%","0%",5,8,12,2.1,"77.3%","21.6%","0%",-493,-558,-8,5.9,"19.4%",469,"20.1%","19.4%",1,0.54
"Jayce","Middle",1,"1.1%","51.6%","69.2%","100%","100%",2,1,13,15,"100.0%","11.1%","0%",154,147,10,7.4,"23.6%",701,"32.1%","23.4%",0.55,0.3
"Jayce","Top",12,"13.2%","51.6%","69.2%","50%","8%",15,31,28,1.4,"48.9%","31.3%","8%",256,-26,9.4,9,"26.2%",513,"29.8%","24.7%",0.48,0.21
"Jinx","ADC",10,"11.0%","3.3%","14.3%","80%","20%",51,13,55,8.2,"74.1%","15.3%","30%",354,6,2.2,10,"31.7%",567,"29.7%","27.5%",0.36,0.38
"Kai'Sa","ADC",24,"26.4%","8.8%","35.2%","42%","96%",77,39,80,4,"65.1%","15.1%","21%",-199,-27,1.2,9.5,"30.3%",450,"27.0%","26.2%",0.38,0.35
"Kalista","ADC",7,"7.7%","12.1%","19.8%","71%","57%",26,4,37,15.8,"65.6%","8.2%","14%",392,102,8.6,9.6,"30.0%",403,"21.0%","26.8%",0.49,0.44
"Karma","Top",2,"2.2%","0.0%","2.2%","0%","0%",2,5,15,3.4,"68.0%","16.7%","50%",995,260,14,7.6,"20.7%",356,"22.5%","21.4%",0.37,0.25
"Karthus","Jungle",3,"3.3%","12.1%","20.9%","33%","67%",7,13,15,1.7,"71.0%","36.1%","0%",-34,366,11,5.8,"16.5%",325,"18.4%","18.2%",0.35,0.31
"Karthus","Middle",5,"5.5%","12.1%","20.9%","60%","80%",26,19,27,2.8,"76.8%","27.5%","0%",1,-144,3.8,8.6,"24.6%",866,"41.0%","24.5%",0.42,0.17
"Kassadin","Middle",2,"2.2%","0.0%","2.2%","100%","100%",14,4,7,5.3,"58.3%","28.6%","0%",46,9,-13,9.1,"29.1%",514,"29.8%","27.9%",0.48,0.21
"Kennen","Top",9,"9.9%","7.7%","17.6%","44%","44%",12,16,37,3.1,"47.1%","19.3%","0%",160,-81,-1.2,8.2,"23.2%",436,"22.7%","21.6%",0.48,0.16
"Kha'Zix","Jungle",5,"5.5%","3.3%","8.8%","80%","80%",15,5,31,9.2,"76.7%","13.5%","20%",73,35,-1.6,5.7,"16.6%",321,"17.2%","18.5%",0.3,0.34
"Kindred","Jungle",5,"5.5%","5.5%","11.0%","100%","80%",18,9,24,4.7,"60.0%","25.7%","60%",366,342,5.4,6.1,"17.4%",386,"20.9%","19.4%",0.49,0.53
"Kog'Maw","ADC",2,"2.2%","0.0%","2.2%","50%","100%",2,2,3,2.5,"35.7%","14.3%","0%",-117,-220,-6,9.8,"32.5%",348,"26.1%","25.2%",0.55,0.28
"LeBlanc","Middle",14,"15.4%","37.4%","52.7%","43%","29%",50,22,39,4,"67.9%","15.5%","0%",53,59,2.9,8.4,"23.2%",475,"27.4%","22.8%",0.38,0.29
"Lee Sin","Jungle",22,"24.2%","7.7%","31.9%","50%","50%",45,55,115,2.9,"70.8%","22.7%","41%",-60,-61,-1.5,4.9,"13.5%",223,"11.4%","16.2%",0.82,0.3
"Leona","Support",3,"3.3%","0.0%","3.3%","100%","100%",2,5,28,6,"66.7%","19.2%","33%",558,-29,11,1.7,"5.0%",116,"6.1%","13.6%",1.48,0.36
"Lissandra","Middle",30,"33.0%","28.6%","64.8%","47%","13%",69,66,169,3.6,"68.6%","19.8%","23%",95,141,2.4,8.8,"25.6%",425,"23.5%","22.9%",0.43,0.2
"Lissandra","Top",3,"3.3%","28.6%","64.8%","67%","0%",6,11,35,3.7,"77.4%","25.6%","33%",190,-128,-6.7,7.4,"21.2%",469,"23.2%","20.0%",0.43,0.15
"Lucian","ADC",17,"18.7%","61.5%","82.4%","29%","18%",35,34,81,3.4,"64.8%","14.5%","24%",1,60,4.5,9.5,"29.5%",501,"26.2%","25.1%",0.39,0.38
"Lucian","Middle",1,"1.1%","61.5%","82.4%","100%","100%",3,2,3,3,"40.0%","22.2%","0%",-110,-470,9,8.7,"24.3%",520,"27.0%","20.1%",0.47,0.11
"Lucian","Top",1,"1.1%","61.5%","82.4%","0%","0%",0,2,0,0,"0.0%","10.5%","0%",79,538,19,9.5,"29.1%",340,"21.5%","25.7%",0.44,0.1
"Lulu","Support",2,"2.2%","0.0%","2.2%","50%","100%",1,3,9,3.3,"62.5%","15.8%","0%",-559,95,-8,0.5,"1.6%",134,"8.3%","8.6%",1.14,0.28
"Malphite","Top",2,"2.2%","2.2%","4.4%","50%","50%",9,4,12,5.3,"65.6%","21.1%","50%",-268,339,-4.5,7,"21.7%",465,"23.6%","20.5%",0.36,0.22
"Maokai","Top",1,"1.1%","0.0%","1.1%","0%","100%",0,3,0,0,"0.0%","21.4%","0%",-970,165,-6,7.3,"22.5%",314,"26.0%","19.6%",0.22,0.29
"Morgana","Middle",1,"1.1%","1.1%","5.5%","100%","100%",4,1,6,10,"76.9%","20.0%","0%",-417,-206,-14,7.8,"22.1%",474,"26.3%","21.9%",0.48,0.08
"Morgana","Support",3,"3.3%","1.1%","5.5%","33%","67%",5,9,19,2.7,"66.7%","22.0%","0%",-219,4,-8.7,0.5,"2.3%",274,"14.6%","10.6%",1.32,0.32
"Neeko","Top",3,"3.3%","12.1%","15.4%","0%","100%",4,16,5,0.6,"33.3%","29.1%","0%",537,190,11.3,8,"24.7%",534,"28.1%","23.1%",0.6,0.14
"Nocturne","Jungle",20,"22.0%","35.2%","57.1%","50%","45%",61,44,111,3.9,"65.6%","19.4%","40%",32,35,0.4,5.2,"14.3%",252,"13.5%","17.7%",0.41,0.34
"Nunu & Willump","Jungle",3,"3.3%","0.0%","3.3%","0%","100%",1,13,16,1.3,"68.0%","25.5%","67%",-404,-323,-4.7,4.3,"12.3%",149,"8.2%","14.2%",0.3,0.3
"Olaf","Jungle",9,"9.9%","17.6%","27.5%","0%","78%",17,21,26,2,"71.7%","16.8%","22%",237,229,6.8,5.2,"14.9%",262,"16.0%","18.1%",0.64,0.36
"Orianna","Middle",14,"15.4%","6.6%","22.0%","43%","71%",27,20,53,4,"74.1%","16.0%","29%",-313,-285,-4.1,9.3,"28.3%",433,"27.5%","24.6%",0.39,0.2
"Ornn","Support",7,"7.7%","7.7%","22.0%","43%","43%",7,25,57,2.6,"68.8%","26.9%","29%",80,-193,5.1,2.1,"7.0%",237,"12.2%","14.6%",1.45,0.25
"Ornn","Top",6,"6.6%","7.7%","22.0%","67%","100%",8,10,28,3.6,"55.4%","20.0%","17%",-316,-190,-4.7,7.2,"19.7%",296,"16.6%","18.8%",0.56,0.14
"Poppy","Jungle",1,"1.1%","1.1%","5.5%","0%","100%",0,4,0,0,"0.0%","25.0%","0%",-839,-694,-8,4.1,"8.2%",75,"6.9%","12.8%",0.95,0.34
"Poppy","Top",3,"3.3%","1.1%","5.5%","33%","100%",6,5,16,4.4,"64.7%","12.2%","0%",24,195,-2.3,7.9,"23.9%",441,"23.3%","23.0%",0.56,0.1
"Rakan","Support",17,"18.7%","7.7%","26.4%","35%","65%",11,41,107,2.9,"73.8%","20.7%","29%",-263,43,-12.4,0.5,"2.0%",152,"8.3%","9.5%",1.34,0.4
"Rek'Sai","Jungle",16,"17.6%","12.1%","29.7%","56%","25%",37,45,89,2.8,"64.9%","25.6%","56%",52,130,3.8,5.4,"15.6%",287,"16.0%","18.0%",0.54,0.42
"Renekton","-",0,"0%","1.1%","1.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Rengar","Jungle",1,"1.1%","0.0%","1.1%","0%","100%",0,2,1,0.5,"50.0%","18.2%","0%",-30,234,4,4.6,"11.3%",140,"9.5%","13.9%",0.52,0.19
"Riven","Top",6,"6.6%","12.1%","18.7%","67%","83%",16,11,14,2.7,"58.8%","22.4%","0%",-399,-12,-1.5,9.1,"28.3%",289,"19.0%","25.3%",0.44,0.21
"Rumble","Middle",1,"1.1%","5.5%","11.0%","100%","100%",1,3,8,3,"69.2%","42.9%","0%",-184,275,-5,7.1,"20.1%",496,"31.8%","19.5%",0.52,0.15
"Rumble","Top",4,"4.4%","5.5%","11.0%","50%","75%",10,10,15,2.5,"67.6%","25.6%","25%",130,-7,0.8,8.3,"23.6%",657,"34.6%","22.9%",0.31,0.19
"Ryze","Middle",12,"13.2%","20.9%","40.7%","42%","75%",37,36,48,2.4,"68.5%","21.4%","17%",-361,-248,-3.8,9.2,"26.4%",401,"25.7%","24.7%",0.51,0.14
"Ryze","Top",6,"6.6%","20.9%","40.7%","33%","83%",10,23,15,1.1,"52.1%","27.4%","33%",-88,66,3.3,9.8,"30.4%",396,"24.0%","26.7%",0.47,0.16
"Sejuani","Jungle",23,"25.3%","9.9%","35.2%","70%","48%",29,38,135,4.3,"69.2%","20.4%","22%",-68,-90,-3.5,5,"13.3%",183,"10.7%","16.0%",0.37,0.42
"Shen","Support",1,"1.1%","0.0%","1.1%","100%","100%",2,2,16,9,"81.8%","25.0%","0%",-353,102,1,2.4,"9.4%",132,"5.6%","17.7%",1.25,0.42
"Sion","Top",22,"24.2%","16.5%","40.7%","55%","55%",36,34,126,4.8,"59.8%","15.1%","9%",-175,-40,-6.1,7.1,"21.3%",335,"17.3%","19.1%",0.51,0.14
