"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Top",3,"2.3%","0.8%","3.0%","33%","-",10,10,20,3,"76.9%","28.6%","-","-","-","-","-","-","-","-","24.8%","-","-"
"Ahri","Middle",27,"20.3%","12.0%","34.6%","52%","-",136,64,168,4.8,"72.0%","16.5%","-","-","-","-","-","-","-","-","25.8%","-","-"
"Ahri","Top",3,"2.3%","12.0%","34.6%","100%","-",20,7,13,4.7,"71.7%","35.0%","-","-","-","-","-","-","-","-","28.1%","-","-"
"Alistar","Support",3,"2.3%","0.0%","2.3%","33%","-",3,9,35,4.2,"62.3%","22.0%","-","-","-","-","-","-","-","-","12.3%","-","-"
"Amumu","Jungle",4,"3.0%","0.0%","3.0%","100%","-",8,18,42,2.8,"59.5%","36.0%","-","-","-","-","-","-","-","-","15.6%","-","-"
"Anivia","Middle",1,"0.8%","0.0%","0.8%","0%","-",1,5,2,0.6,"60.0%","27.8%","-","-","-","-","-","-","-","-","25.8%","-","-"
"Annie","Support",1,"0.8%","0.0%","0.8%","0%","-",1,4,6,1.8,"87.5%","23.5%","-","-","-","-","-","-","-","-","10.8%","-","-"
"Ashe","ADC",19,"14.3%","2.3%","18.0%","84%","-",131,48,177,6.4,"71.1%","18.5%","-","-","-","-","-","-","-","-","24.7%","-","-"
"Ashe","Support",2,"1.5%","2.3%","18.0%","0%","-",4,18,20,1.3,"85.7%","27.3%","-","-","-","-","-","-","-","-","13.2%","-","-"
"Blitzcrank","Support",16,"12.0%","6.8%","18.8%","38%","-",20,58,139,2.7,"59.8%","20.4%","-","-","-","-","-","-","-","-","9.8%","-","-"
"Caitlyn","ADC",36,"27.1%","9.8%","36.8%","56%","-",133,86,244,4.4,"69.6%","16.7%","-","-","-","-","-","-","-","-","27.4%","-","-"
"Cho'Gath","Jungle",4,"3.0%","0.0%","3.0%","0%","-",4,11,28,2.9,"58.2%","12.9%","-","-","-","-","-","-","-","-","13.8%","-","-"
"Corki","ADC",3,"2.3%","0.0%","2.3%","67%","-",14,4,18,8,"64.0%","12.1%","-","-","-","-","-","-","-","-","27.5%","-","-"
"Diana","Middle",9,"6.8%","6.0%","12.8%","44%","-",46,38,75,3.2,"60.2%","24.2%","-","-","-","-","-","-","-","-","23.9%","-","-"
"Draven","ADC",32,"24.1%","9.8%","33.8%","59%","-",135,80,165,3.8,"65.8%","18.4%","-","-","-","-","-","-","-","-","26.5%","-","-"
