"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",1,"3.4%","0.0%","3.4%","0%","-",6,3,0,2,"85.7%","18.8%","0%",8,317,-2,7.3,"24.8%",327,"24.3%","25.1%",0.15,0.26
"Akali","Middle",2,"6.9%","0.0%","6.9%","0%","-",2,9,9,1.2,"84.6%","21.4%","50%",123,-217,-3.5,6.6,"24.2%",243,"13.3%","21.6%",0.29,0.08
"Alistar","Support",1,"3.4%","93.1%","100.0%","100%","-",1,3,20,7,"84.0%","60.0%","100%",294,-358,9,1.1,"4.2%",172,"6.7%","13.8%",1.06,0.21
"Alistar","Top",1,"3.4%","93.1%","100.0%","100%","-",2,3,13,5,"83.3%","27.3%","0%",163,-176,-17,4.1,"14.8%",276,"12.4%","16.1%",0.37,0
"Amumu","Jungle",1,"3.4%","0.0%","3.4%","0%","-",0,5,6,1.2,"85.7%","31.3%","100%",232,-112,-6,3.5,"12.4%",177,"9.9%","15.8%",0.64,0.19
"Braum","Support",15,"51.7%","3.4%","55.2%","60%","-",5,38,136,3.7,"72.3%","23.9%","7%",-82,32,7.1,1.2,"4.6%",156,"9.1%","11.3%",1.06,0.22
"Corki","ADC",9,"31.0%","6.9%","37.9%","44%","-",41,14,27,4.9,"70.1%","10.9%","22%",51,95,-0.3,8.1,"29.8%",579,"33.5%","25.4%",0.2,0.11
"Dr. Mundo","Top",11,"37.9%","0.0%","37.9%","36%","-",21,22,68,4,"63.1%","14.2%","27%",56,428,4.8,6.3,"22.7%",399,"20.5%","20.7%",0.31,0.09
"Elise","Jungle",11,"37.9%","3.4%","41.4%","64%","-",20,27,71,3.4,"61.9%","19.0%","64%",111,116,0.9,3.5,"12.6%",209,"10.7%","16.4%",0.86,0.23
"Evelynn","Jungle",1,"3.4%","0.0%","3.4%","0%","-",1,4,2,0.8,"60.0%","28.6%","0%",-204,149,0,3.3,"12.5%",138,"11.2%","14.5%",1,0.35
"Fizz","Middle",2,"6.9%","0.0%","6.9%","0%","-",9,7,11,2.9,"74.1%","17.9%","0%",-418,-282,-12.5,8,"27.7%",464,"21.5%","25.2%",0.12,0.11
"Jinx","ADC",2,"6.9%","0.0%","6.9%","50%","-",13,5,8,4.2,"84.0%","23.8%","50%",-230,-885,4.5,8,"31.0%",485,"27.6%","27.0%",0.26,0.07
