"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Riven","Top",2,"2.2%","6.6%","8.8%","50%","100%",12,7,7,2.7,"61.3%","25.0%","50%",16,-244,1.5,8.1,"25.8%",317,"14.5%","24.7%",0.48,0.19
"Rumble","Middle",1,"1.1%","8.8%","12.1%","100%","100%",6,0,7,13,"72.2%","0.0%","0%",306,526,-7,8.4,"23.1%",357,"22.7%","22.0%",0.48,0.07
"Rumble","Top",2,"2.2%","8.8%","12.1%","0%","100%",7,4,4,2.8,"68.8%","12.5%","50%",-282,-226,-2,8,"26.9%",670,"34.8%","25.6%",0.38,0.18
"Ryze","Middle",1,"1.1%","1.1%","2.2%","0%","100%",1,4,4,1.3,"83.3%","22.2%","100%",-401,-168,-4,9.7,"29.6%",438,"27.7%","25.8%",0.37,0.2
"Senna","ADC",6,"6.6%","1.1%","12.1%","50%","100%",16,11,38,4.9,"77.1%","17.2%","17%",-259,-150,-3.7,7.5,"23.5%",428,"22.0%","23.1%",0.45,0.35
"Senna","Support",4,"4.4%","1.1%","12.1%","50%","75%",7,7,31,5.4,"77.6%","14.9%","0%",14,-62,-10.3,0.7,"3.0%",276,"14.0%","10.8%",1.3,0.43
"Sett","Jungle",25,"27.5%","19.8%","70.3%","52%","36%",45,74,144,2.6,"70.5%","25.6%","48%",-94,-225,-2.8,5.3,"15.1%",247,"13.7%","16.8%",0.34,0.43
"Sett","Middle",3,"3.3%","19.8%","70.3%","33%","0%",3,6,20,3.8,"65.7%","16.7%","0%",30,208,-7.7,7,"20.7%",290,"15.5%","19.8%",0.36,0.21
"Sett","Support",3,"3.3%","19.8%","70.3%","67%","33%",7,6,22,4.8,"67.4%","17.6%","33%",212,325,1.7,1.3,"3.4%",197,"9.3%","9.5%",1.59,0.56
"Sett","Top",15,"16.5%","19.8%","70.3%","47%","20%",35,50,66,2,"53.2%","28.7%","47%",282,65,7.1,7.5,"22.5%",383,"21.1%","21.7%",0.39,0.21
"Shen","Top",9,"9.9%","5.5%","15.4%","78%","67%",26,16,67,5.8,"72.7%","23.9%","56%",-89,-29,-5.2,8.2,"26.5%",406,"20.9%","21.8%",0.46,0.14
"Sion","Top",3,"3.3%","1.1%","4.4%","33%","100%",3,9,17,2.2,"83.3%","20.0%","0%",-554,-218,-16.7,6.8,"23.8%",347,"20.4%","21.0%",0.47,0.19
"Sona","ADC",1,"1.1%","1.1%","2.2%","0%","100%",0,4,5,1.3,"35.7%","28.6%","0%",-620,-263,-43,3.4,"12.2%",259,"14.5%","12.6%",0.79,0.24
"Soraka","Support",1,"1.1%","1.1%","2.2%","100%","100%",2,1,11,13,"76.5%","14.3%","100%",313,556,-8,0.3,"0.9%",128,"6.8%","11.4%",1.1,0.24
"Swain","-",0,"0%","1.1%","1.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sylas","Middle",1,"1.1%","2.2%","3.3%","0%","100%",4,3,1,1.7,"62.5%","16.7%","0%",-316,-164,-7,8,"23.6%",509,"25.7%","22.8%",0.49,0.08
"Syndra","ADC",1,"1.1%","47.3%","68.1%","0%","0%",2,5,4,1.2,"66.7%","17.9%","0%",-994,390,-2,7.6,"27.7%",598,"34.7%","27.1%",0.39,0.15
"Syndra","Middle",18,"19.8%","47.3%","68.1%","44%","50%",51,43,67,2.7,"64.8%","20.7%","44%",-121,-226,-1.7,9.2,"27.7%",542,"30.4%","25.2%",0.45,0.16
"Tahm Kench","Support",10,"11.0%","8.8%","19.8%","70%","70%",5,24,63,2.8,"51.1%","25.5%","40%",-79,-50,1.2,0.9,"2.0%",103,"4.9%","7.7%",1.43,0.24
"Taric","Support",1,"1.1%","2.2%","3.3%","0%","0%",0,4,1,0.3,"50.0%","30.8%","0%",-570,-280,-1,1.4,"4.2%",58,"6.3%","9.3%",0.96,0.44
"Thresh","Support",27,"29.7%","33.0%","62.6%","59%","26%",15,58,236,4.3,"74.9%","21.6%","30%",29,37,-0.5,1,"2.2%",117,"6.5%","8.7%",1.49,0.34
"Trundle","Jungle",29,"31.9%","29.7%","61.5%","62%","28%",41,51,238,5.5,"78.4%","17.8%","48%",-116,-206,-5.7,4.8,"13.2%",174,"9.4%","15.7%",0.32,0.48
"Twisted Fate","Middle",20,"22.0%","54.9%","76.9%","65%","15%",40,28,122,5.8,"69.5%","15.0%","35%",482,60,-0.1,8.9,"25.4%",417,"23.5%","25.6%",0.34,0.16
"Urgot","Top",2,"2.2%","5.5%","7.7%","0%","100%",5,6,7,2,"80.0%","24.0%","0%",-107,31,-5,8.1,"26.7%",520,"23.9%","26.8%",0.46,0.31
"Varus","ADC",5,"5.5%","47.3%","52.7%","60%","40%",15,12,30,3.8,"64.3%","23.5%","0%",-137,14,0,8.6,"26.8%",656,"31.7%","23.6%",0.4,0.47
"Viktor","-",0,"0%","1.1%","1.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Volibear","Jungle",27,"29.7%","29.7%","72.5%","48%","44%",51,72,163,3,"69.7%","21.9%","48%",-7,-86,-0.5,5,"13.4%",228,"12.6%","16.3%",0.31,0.34
"Volibear","Top",12,"13.2%","29.7%","72.5%","58%","17%",30,26,65,3.7,"66.4%","18.2%","8%",114,136,6.8,7.3,"22.6%",348,"19.2%","21.8%",0.47,0.16
"Wukong","ADC",2,"2.2%","12.1%","24.2%","50%","0%",7,3,7,4.7,"66.7%","11.5%","0%",-496,-420,-24.5,7.9,"27.6%",294,"17.4%","24.1%",0.33,0.1
"Wukong","Jungle",1,"1.1%","12.1%","24.2%","0%","0%",3,3,5,2.7,"80.0%","14.3%","0%",-321,-273,-11,4.4,"11.2%",243,"13.6%","16.9%",0.54,0.36
"Wukong","Top",8,"8.8%","12.1%","24.2%","50%","75%",23,19,36,3.1,"57.3%","29.2%","38%",219,-116,-7.4,8,"24.7%",341,"20.5%","23.0%",0.41,0.22
"Xayah","ADC",4,"4.4%","3.3%","7.7%","50%","100%",7,3,12,6.3,"63.3%","9.1%","0%",23,18,4.3,10.2,"35.3%",345,"21.6%","27.7%",0.41,0.36
"Yuumi","Support",10,"11.0%","33.0%","44.0%","80%","10%",12,7,88,14.3,"82.6%","9.9%","10%",-86,-1,-3.1,0.5,"1.3%",260,"13.0%","9.3%",1.09,0.11
"Zilean","Middle",2,"2.2%","6.6%","8.8%","50%","50%",5,2,13,9,"81.8%","10.5%","0%",-257,200,-6.5,8.8,"27.4%",422,"27.0%","23.9%",0.53,0.13
"Zoe","Middle",20,"22.0%","11.0%","33.0%","35%","45%",34,37,75,2.9,"65.3%","16.4%","25%",-146,-158,1.6,8.1,"23.4%",506,"29.6%","22.3%",0.43,0.16
"Zyra","-",0,"0%","1.1%","1.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
