"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Alistar","Support",8,"61.5%","0.0%","61.5%","25%","-",2,22,55,2.6,"71.3%","20.0%","25%",-98,-119,3,1.1,"4.0%",90,"4.8%","10.8%",1.31,0.25
"Ashe","ADC",1,"7.7%","0.0%","7.7%","0%","-",0,2,2,1,"33.3%","13.3%","0%",10,117,2,8.2,"28.0%",359,"20.7%","22.7%",0.24,0.07
"Azir","Middle",4,"30.8%","53.8%","84.6%","50%","-",13,10,16,2.9,"63.0%","17.2%","0%",96,460,10.8,8.8,"28.6%",619,"29.3%","24.2%",0.51,0.2
"Bard","Support",3,"23.1%","15.4%","38.5%","67%","-",1,4,28,7.3,"74.4%","16.0%","33%",44,101,-6,0.4,"1.7%",215,"9.6%","11.5%",1.26,0.27
"Braum","Support",5,"38.5%","0.0%","38.5%","40%","-",0,14,41,2.9,"80.4%","23.0%","20%",69,308,3,1.2,"4.6%",129,"6.7%","11.0%",1.27,0.27
"Caitlyn","ADC",4,"30.8%","30.8%","61.5%","75%","-",18,2,19,18.5,"63.8%","6.7%","25%",200,324,8,9.6,"32.1%",728,"30.8%","26.3%",0.34,0.23
"Corki","ADC",3,"23.1%","38.5%","69.2%","67%","-",12,4,6,4.5,"60.0%","14.3%","0%",-56,58,2.7,9.6,"32.5%",459,"26.3%","26.2%",0.44,0.19
"Corki","Middle",1,"7.7%","38.5%","69.2%","0%","-",2,2,4,3,"66.7%","15.4%","0%",133,198,3,9.5,"32.4%",837,"41.9%","26.8%",0.49,0.4
"Diana","Middle",1,"7.7%","0.0%","7.7%","100%","-",2,3,0,0.7,"25.0%","33.3%","100%",-168,-651,-14,10.1,"34.1%",399,"22.8%","24.3%",0.41,0.1
"Ekko","Middle",1,"7.7%","23.1%","100.0%","100%","-",4,1,3,7,"70.0%","33.3%","0%",516,82,11,9.9,"32.8%",472,"27.6%","25.6%",0.55,0.15
"Ekko","Top",9,"69.2%","23.1%","100.0%","56%","-",30,25,45,3,"73.5%","26.0%","33%",53,-250,-3.2,6.6,"21.6%",435,"21.4%","20.7%",0.51,0.19
"Elise","Jungle",5,"38.5%","7.7%","46.2%","40%","-",13,11,24,3.4,"82.2%","20.0%","20%",-92,-15,-2.6,3.9,"13.6%",388,"20.1%","20.1%",0.77,0.56
"Ezreal","ADC",3,"23.1%","0.0%","23.1%","33%","-",9,9,12,2.3,"67.7%","17.3%","33%",-306,-179,-6.7,8,"28.0%",694,"33.0%","23.8%",0.36,0.24
"Gragas","Jungle",2,"15.4%","7.7%","30.8%","50%","-",3,5,10,2.6,"59.1%","26.3%","50%",-50,-246,-1.5,3.7,"11.0%",206,"11.9%","17.3%",0.73,0.42
"Gragas","Top",1,"7.7%","7.7%","30.8%","0%","-",0,9,6,0.7,"60.0%","47.4%","0%",-895,-982,-18,3.4,"11.8%",221,"16.1%","13.4%",0.56,0.19
"Graves","Jungle",6,"46.2%","30.8%","100.0%","67%","-",20,6,41,10.2,"74.4%","10.3%","33%",-162,-195,-0.8,4.9,"19.2%",565,"25.5%","21.1%",0.63,0.55
"Graves","Middle",2,"15.4%","30.8%","100.0%","50%","-",5,4,11,4,"100.0%","16.0%","0%",-187,-47,3.5,9.5,"29.5%",560,"28.3%","26.3%",0.37,0.16
"Graves","Top",1,"7.7%","30.8%","100.0%","0%","-",3,3,5,2.7,"66.7%","18.8%","100%",147,-119,-1,7.3,"25.9%",482,"27.4%","21.7%",0.54,0.13
"Janna","Support",3,"23.1%","30.8%","53.8%","67%","-",0,1,29,29,"74.4%","5.0%","67%",-97,10,-4.3,0.4,"2.1%",56,"2.6%","11.2%",1.36,0.35
"Jarvan IV","Middle",1,"7.7%","0.0%","7.7%","0%","-",0,4,11,2.8,"91.7%","25.0%","100%",-136,-403,-12,7.3,"24.1%",358,"20.3%","19.7%",0.41,0.1
"Jayce","Top",1,"7.7%","7.7%","15.4%","100%","-",2,0,4,6,"60.0%","0.0%","0%",846,860,24,7.6,"18.4%",408,"23.9%","19.5%",0.44,0.22
"Jhin","ADC",2,"15.4%","0.0%","15.4%","50%","-",10,2,9,9.5,"73.1%","9.1%","0%",-126,-329,-12.5,7.8,"28.0%",483,"24.0%","23.8%",0.46,0.13
"Kalista","ADC",3,"23.1%","15.4%","38.5%","33%","-",8,7,15,3.3,"74.2%","17.9%","67%",-63,-37,1,7.6,"27.4%",440,"21.9%","23.2%",0.37,0.19
"Karma","Middle",2,"15.4%","0.0%","30.8%","50%","-",4,4,9,3.3,"76.5%","21.1%","0%",-126,-41,-4,6.5,"21.2%",415,"24.3%","20.4%",0.4,0.09
"Karma","Support",2,"15.4%","0.0%","30.8%","50%","-",0,5,14,2.8,"53.8%","22.7%","0%",-5,-440,-6,0.6,"3.0%",141,"7.1%","10.6%",1.16,0.32
"Kennen","-",0,"0%","7.7%","7.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Kindred","Jungle",9,"69.2%","30.8%","100.0%","56%","-",35,17,54,5.2,"79.5%","16.8%","56%",285,124,0.6,4.2,"15.1%",479,"23.2%","20.5%",0.49,0.44
"LeBlanc","Middle",2,"15.4%","0.0%","15.4%","0%","-",3,2,4,3.5,"46.7%","6.5%","0%",-155,313,1,8,"27.6%",407,"20.5%","21.3%",0.62,0.23
"Lissandra","Middle",3,"23.1%","0.0%","23.1%","33%","-",6,11,10,1.5,"50.0%","37.9%","33%",-27,39,4,8.5,"29.7%",402,"20.3%","22.7%",0.46,0.13
"Lucian","ADC",7,"53.8%","7.7%","61.5%","43%","-",22,9,27,5.4,"65.3%","11.7%","29%",196,93,4.1,9.3,"31.9%",442,"23.6%","25.7%",0.47,0.36
"Lulu","Middle",2,"15.4%","15.4%","38.5%","50%","-",4,4,14,4.5,"66.7%","17.4%","50%",180,275,-4.5,8.3,"24.6%",236,"11.3%","22.9%",0.41,0.16
"Lulu","Support",1,"7.7%","15.4%","38.5%","100%","-",1,1,4,5,"62.5%","11.1%","0%",205,131,5,1,"3.4%",256,"14.7%","12.8%",1.12,0.48
"Maokai","Top",5,"38.5%","0.0%","38.5%","20%","-",0,22,23,1,"59.0%","30.6%","0%",-148,251,5,6.5,"21.3%",309,"17.2%","19.0%",0.56,0.16
"Morgana","Support",1,"7.7%","0.0%","7.7%","100%","-",0,1,0,0,"0.0%","33.3%","0%",302,267,-5,0.6,"2.7%",268,"15.6%","11.6%",0.91,0.48
"Nidalee","Jungle",2,"15.4%","53.8%","69.2%","0%","-",3,7,4,1,"63.6%","23.3%","0%",88,662,13.5,4.5,"15.6%",420,"21.1%","20.3%",0.71,0.74
"Orianna","Middle",1,"7.7%","0.0%","7.7%","0%","-",0,3,2,0.7,"100.0%","20.0%","0%",366,481,20,10.2,"32.2%",505,"35.2%","26.4%",0.45,0.03
"Poppy","Top",2,"15.4%","84.6%","100.0%","0%","-",2,10,9,1.1,"73.3%","32.3%","0%",-74,139,-4,6.6,"22.0%",423,"21.4%","20.7%",0.6,0.19
