"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Vi","Jungle",8,"7.1%","0.0%","7.1%","38%","-",15,25,34,2,"57.0%","27.2%","38%",-149,-105,2,3.8,"12.4%",198,"11.5%","17.4%",0.52,0.18
"Volibear","Jungle",1,"0.9%","0.0%","0.9%","0%","-",0,3,3,1,"75.0%","27.3%","0%",-14,41,0,3.1,"10.4%",62,"4.4%","15.0%",0.68,0.12
"Xerath","Middle",8,"7.1%","0.0%","7.1%","38%","-",16,11,27,3.9,"76.8%","18.3%","0%",-153,7,-1,8.9,"32.4%",581,"36.8%","25.8%",0.21,0.08
"Xin Zhao","Jungle",1,"0.9%","0.0%","0.9%","0%","-",2,3,2,1.3,"80.0%","23.1%","100%",-184,-360,-14,3.5,"12.9%",119,"9.2%","18.6%",0.3,0.2
"Yasuo","Middle",23,"20.5%","36.6%","59.8%","70%","-",98,76,158,3.4,"72.1%","29.3%","30%",62,-40,3,8.7,"30.9%",412,"21.8%","24.8%",0.44,0.15
"Yasuo","Top",3,"2.7%","36.6%","59.8%","0%","-",9,11,7,1.5,"59.3%","19.0%","0%",-75,-301,0,7.2,"29.1%",277,"17.2%","25.4%",0.51,0.06
"Zed","Middle",1,"0.9%","0.0%","0.9%","100%","-",5,2,11,8,"69.6%","13.3%","0%",-628,239,-1,7.5,"24.0%",706,"28.1%","22.0%",0.95,0.11
"Ziggs","Middle",22,"19.6%","28.6%","48.2%","41%","-",49,34,81,3.8,"66.0%","14.0%","14%",-58,35,6.4,9.5,"32.2%",711,"39.0%","26.1%",0.29,0.16
"Zilean","Middle",3,"2.7%","0.9%","3.6%","0%","-",13,7,9,3.1,"68.8%","12.7%","0%",-534,178,-18.3,7.5,"30.0%",530,"25.9%","25.5%",0.22,0.16
"Zyra","Support",14,"12.5%","0.0%","12.5%","43%","-",15,50,89,2.1,"61.9%","27.5%","29%",117,-89,-5.4,1,"5.6%",351,"17.8%","13.9%",0.97,0.17
