"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",7,"7.5%","1.1%","8.6%","71%","-",45,13,49,7.2,"75.2%","15.1%","29%",19,12,2.1,9,"33.1%",611,"33.3%","26.6%",0.4,0.23
"Alistar","Support",37,"39.8%","49.5%","89.2%","57%","-",31,120,369,3.3,"72.1%","24.8%","46%",-31,-3,2.2,0.9,"3.0%",103,"5.8%","9.7%",1.14,0.24
"Annie","Support",23,"24.7%","15.1%","39.8%","52%","-",30,77,201,3,"70.6%","24.8%","48%",5,19,-4.6,0.5,"2.3%",159,"9.2%","10.4%",1.12,0.29
"Ashe","ADC",8,"8.6%","1.1%","9.7%","63%","-",38,20,58,4.8,"79.3%","22.0%","63%",144,-79,0.6,8.6,"30.5%",509,"25.5%","26.2%",0.13,0.14
"Azir","Middle",34,"36.6%","26.9%","63.4%","53%","-",141,99,200,3.4,"68.9%","19.6%","18%",-31,121,1.6,8.4,"30.7%",592,"32.7%","25.5%",0.34,0.2
"Bard","Support",7,"7.5%","5.4%","12.9%","57%","-",9,23,72,3.5,"71.7%","22.3%","43%",169,61,-3,0.8,"3.7%",164,"8.8%","10.9%",1.05,0.38
"Braum","Support",12,"12.9%","2.2%","15.1%","25%","-",4,42,89,2.2,"74.4%","22.2%","25%",-8,43,1.5,1,"3.4%",150,"7.8%","9.1%",1.19,0.22
"Cassiopeia","Middle",3,"3.2%","1.1%","4.3%","67%","-",12,12,21,2.8,"68.8%","30.8%","0%",-56,27,9,8.8,"32.3%",510,"23.6%","24.9%",0.22,0.13
"Corki","ADC",28,"30.1%","0.0%","30.1%","36%","-",101,71,175,3.9,"79.1%","16.1%","32%",-81,-97,-4.2,8.3,"31.7%",539,"30.7%","26.5%",0.12,0.21
"Diana","Middle",3,"3.2%","3.2%","6.5%","33%","-",13,10,13,2.6,"78.8%","22.2%","0%",254,604,4,9.1,"30.2%",427,"25.0%","28.6%",0.27,0.15
