"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",1,"0.5%","0.0%","0.5%","0%","-",2,2,0,1,"100.0%","28.6%","100%",-174,-526,-34,6.8,"22.9%",211,"19.9%","21.9%",0.21,0.21
"Alistar","Support",27,"12.4%","0.0%","12.4%","59%","-",6,76,235,3.2,"69.7%","26.9%","19%",-14,9,3,1,"3.3%",77,"4.3%","10.9%",1.27,0.23
"Anivia","Middle",16,"7.3%","16.1%","23.4%","44%","-",35,31,60,3.1,"69.3%","17.3%","25%",-111,57,-2.6,8.8,"29.4%",472,"27.0%","23.8%",0.38,0.13
"Ashe","ADC",84,"38.5%","10.6%","49.1%","58%","-",254,190,482,3.9,"70.8%","19.2%","23%",25,-40,-1.5,7.8,"26.9%",471,"23.8%","23.3%",0.35,0.21
"Aurelion Sol","Middle",2,"0.9%","0.0%","0.9%","50%","-",10,5,8,3.6,"66.7%","17.2%","50%",-16,-370,-4.5,7.8,"23.2%",563,"27.9%","22.3%",0.56,0.24
"Azir","Middle",46,"21.1%","44.5%","65.6%","57%","-",142,94,203,3.7,"66.6%","18.6%","24%",97,164,4.3,9.3,"31.3%",637,"33.6%","24.7%",0.36,0.22
"Bard","Support",56,"25.7%","13.8%","39.4%","57%","-",52,124,501,4.5,"72.7%","18.9%","25%",-96,161,-4.6,0.5,"2.4%",172,"8.9%","11.9%",1.23,0.37
"Brand","Middle",1,"0.5%","0.0%","0.5%","0%","-",1,3,3,1.3,"100.0%","27.3%","0%",-6,-24,2,8.7,"28.9%",404,"37.6%","25.6%",0.53,0.04
"Braum","Support",109,"50.0%","8.7%","58.7%","45%","-",39,304,823,2.8,"69.8%","23.4%","39%",41,-76,7.2,1.3,"4.6%",129,"7.0%","11.3%",1.25,0.25
"Caitlyn","ADC",38,"17.4%","1.4%","18.8%","50%","-",132,96,164,3.1,"60.4%","19.2%","32%",165,100,2.4,8.5,"28.6%",506,"24.3%","23.6%",0.37,0.23
"Cassiopeia","Middle",44,"20.2%","12.4%","32.6%","52%","-",179,100,235,4.1,"74.2%","20.4%","20%",44,-59,2.9,8.6,"28.1%",571,"29.9%","24.1%",0.41,0.12
"Ekko","Middle",2,"0.9%","5.0%","13.8%","0%","-",2,6,3,0.8,"55.6%","16.7%","0%",-203,-188,-0.5,8.5,"26.2%",372,"23.0%","24.0%",0.44,0.07
"Ekko","Top",17,"7.8%","5.0%","13.8%","41%","-",69,45,98,3.7,"66.5%","17.4%","24%",3,80,0.1,7.3,"26.6%",479,"20.5%","22.1%",0.48,0.12
"Elise","Jungle",55,"25.2%","2.3%","27.5%","51%","-",96,127,278,2.9,"67.5%","20.8%","29%",-170,-334,-7.2,3.7,"12.2%",307,"17.1%","18.6%",0.75,0.47
"Evelynn","Jungle",2,"0.9%","0.0%","0.9%","50%","-",6,8,9,1.9,"65.2%","27.6%","50%",208,339,12.5,3.8,"10.9%",358,"21.3%","17.1%",0.81,0.2
"Ezreal","ADC",47,"21.6%","0.0%","22.0%","51%","-",163,97,255,4.3,"70.1%","17.4%","17%",-77,-48,-2,7.9,"26.6%",624,"29.6%","23.1%",0.37,0.19
"Ezreal","Middle",1,"0.5%","0.0%","22.0%","0%","-",1,3,4,1.7,"71.4%","20.0%","100%",363,42,3,9.4,"30.3%",517,"39.7%","24.6%",0.44,0.05
"Fiora","Top",18,"8.3%","6.4%","14.7%","50%","-",49,55,38,1.6,"47.3%","24.9%","0%",-81,-354,-1.4,8,"29.6%",440,"23.5%","23.9%",0.48,0.11
"Fizz","Middle",2,"0.9%","0.5%","5.0%","50%","-",20,11,14,3.1,"70.8%","29.7%","50%",-304,-98,-18,7.2,"24.3%",641,"26.0%","23.5%",0.44,0.1
"Fizz","Top",8,"3.7%","0.5%","5.0%","75%","-",31,22,49,3.6,"62.5%","27.2%","38%",128,-25,-8.3,6.3,"24.4%",447,"19.1%","20.7%",0.51,0.11
"Gangplank","Middle",2,"0.9%","6.9%","11.0%","0%","-",3,4,6,2.3,"75.0%","11.8%","0%",-122,-79,-8.5,8.7,"30.8%",683,"32.0%","28.0%",0.12,0.13
"Gangplank","Top",7,"3.2%","6.9%","11.0%","29%","-",24,20,34,2.9,"73.4%","18.0%","43%",-172,-255,-6.1,7,"30.1%",687,"29.1%","24.3%",0.47,0.07
"Gnar","Top",56,"25.7%","0.5%","26.1%","52%","-",148,165,275,2.6,"59.2%","24.1%","13%",-6,96,0.1,6.7,"24.8%",423,"21.6%","20.8%",0.49,0.15
"Gragas","Jungle",84,"38.5%","0.9%","39.9%","61%","-",145,198,616,3.8,"68.3%","19.4%","33%",-163,-173,-1.1,3.9,"12.4%",307,"15.4%","18.1%",0.72,0.41
"Gragas","Top",1,"0.5%","0.9%","39.9%","0%","-",2,4,10,3,"70.6%","21.1%","0%",145,62,5,7.5,"24.0%",351,"17.1%","21.6%",0.48,0.1
"Graves","Jungle",32,"14.7%","0.5%","15.1%","25%","-",67,81,121,2.3,"66.9%","17.2%","28%",-113,-193,-1.1,5,"18.1%",444,"22.7%","21.6%",0.6,0.49
"Hecarim","Jungle",21,"9.6%","9.2%","21.6%","57%","-",68,58,140,3.6,"74.0%","23.7%","33%",-122,-187,-1.8,3.9,"13.7%",342,"16.9%","19.5%",0.54,0.29
"Hecarim","Top",6,"2.8%","9.2%","21.6%","33%","-",28,23,25,2.3,"64.6%","26.1%","17%",96,94,4.3,7.4,"28.0%",415,"19.9%","23.1%",0.52,0.13
"Illaoi","Top",7,"3.2%","6.4%","9.6%","71%","-",30,10,20,5,"59.5%","19.2%","43%",372,263,5,7.9,"28.4%",666,"28.3%","22.9%",0.48,0.1
"Irelia","Top",73,"33.5%","13.3%","46.8%","52%","-",239,228,291,2.3,"61.4%","26.1%","34%",79,7,2.6,7.3,"26.2%",377,"19.6%","21.9%",0.48,0.12
"Janna","Support",2,"0.9%","0.0%","0.9%","50%","-",1,2,8,4.5,"60.0%","11.1%","50%",-314,-38,-9.5,0.6,"2.6%",65,"2.9%","10.1%",1.1,0.28
"Jarvan IV","Top",5,"2.3%","3.2%","5.5%","60%","-",25,21,44,3.3,"85.2%","30.9%","40%",-121,76,-0.4,7.8,"29.4%",439,"20.9%","24.2%",0.43,0.21
"Jax","Top",26,"11.9%","12.8%","24.8%","54%","-",73,60,49,2,"48.2%","22.3%","23%",186,121,0.8,7.9,"28.9%",294,"16.7%","23.7%",0.46,0.12
"Jayce","-",0,"0%","0.5%","0.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Jhin","ADC",50,"22.9%","1.4%","24.3%","36%","-",147,109,259,3.7,"68.1%","15.9%","26%",-199,26,-3.5,7.1,"24.6%",489,"24.7%","21.7%",0.37,0.13
"Jinx","ADC",1,"0.5%","0.0%","0.5%","100%","-",9,3,6,5,"68.2%","13.0%","0%",264,191,-2,7,"24.8%",781,"27.0%","23.2%",0.33,0.22
"Kalista","ADC",2,"0.9%","0.0%","0.9%","50%","-",6,5,6,2.4,"66.7%","20.8%","50%",297,70,11.5,9.1,"31.0%",323,"19.4%","24.7%",0.44,0.4
"Karma","Middle",32,"14.7%","21.6%","86.7%","41%","-",66,74,186,3.4,"74.1%","18.7%","22%",-92,21,-0.9,8,"24.5%",524,"26.9%","21.6%",0.41,0.14
"Karma","Support",110,"50.5%","21.6%","86.7%","51%","-",55,244,902,3.9,"77.3%","18.5%","22%",-15,-31,-3.7,0.6,"2.5%",149,"7.7%","11.6%",1.23,0.33
"Karthus","Middle",1,"0.5%","0.0%","0.5%","0%","-",3,6,8,1.8,"73.3%","31.6%","0%",-500,-869,-2,8.1,"27.4%",643,"31.4%","22.0%",0.42,0.05
"Kassadin","Middle",6,"2.8%","0.0%","2.8%","33%","-",20,11,18,3.5,"66.7%","16.9%","17%",-218,-236,-12.7,7.1,"22.2%",433,"27.6%","21.6%",0.42,0.11
"Kha'Zix","Jungle",1,"0.5%","0.0%","0.5%","100%","-",1,0,4,5,"50.0%","0.0%","0%",-524,-918,-15,3,"9.7%",179,"11.1%","16.1%",0.63,0.23
"Kindred","Jungle",23,"10.6%","21.1%","31.7%","30%","-",60,59,100,2.7,"69.9%","21.7%","39%",-52,32,1.3,4.3,"14.9%",377,"20.7%","20.1%",0.56,0.48
"Kog'Maw","ADC",3,"1.4%","0.5%","1.8%","33%","-",20,8,10,3.8,"75.0%","20.5%","0%",-267,-588,-9.3,9.2,"32.0%",656,"28.7%","27.8%",0.25,0.23
"LeBlanc","Middle",14,"6.4%","1.4%","7.8%","64%","-",66,26,62,4.9,"66.0%","15.5%","29%",-52,20,-0.3,8.1,"25.9%",573,"31.0%","23.3%",0.34,0.14
"Lee Sin","Jungle",3,"1.4%","0.0%","1.4%","33%","-",9,5,30,7.8,"73.6%","10.6%","33%",-314,-227,-2.3,3.9,"11.9%",416,"16.8%","18.8%",0.66,0.33
"Lissandra","Middle",17,"7.8%","12.8%","26.1%","35%","-",42,68,90,1.9,"66.0%","27.2%","29%",-104,-119,-4.4,8.3,"27.0%",470,"25.0%","22.3%",0.41,0.14
"Lissandra","Top",12,"5.5%","12.8%","26.1%","67%","-",30,52,84,2.2,"61.0%","32.7%","8%",123,186,9.3,8.3,"29.6%",599,"26.1%","22.4%",0.46,0.16
"Lucian","ADC",90,"41.3%","5.0%","46.3%","42%","-",297,184,350,3.5,"68.3%","16.6%","21%",135,99,5.5,8.5,"28.5%",433,"23.0%","24.4%",0.38,0.28
"Lulu","Middle",1,"0.5%","0.0%","0.9%","0%","-",3,4,4,1.8,"70.0%","25.0%","0%",223,547,12,7.7,"23.9%",315,"14.4%","21.3%",0.44,0.15
"Lulu","Top",1,"0.5%","0.0%","0.9%","0%","-",0,3,1,0.3,"100.0%","25.0%","0%",-638,-487,-14,6.1,"21.7%",135,"9.0%","19.9%",0.46,0.26
"Malzahar","Middle",20,"9.2%","19.7%","28.9%","60%","-",82,49,124,4.2,"75.5%","17.8%","30%",-196,-116,-5.1,8,"26.5%",653,"31.1%","22.9%",0.37,0.18
"Maokai","Top",33,"15.1%","3.7%","18.8%","42%","-",45,102,223,2.6,"69.3%","25.7%","27%",-174,-199,-5.7,5.9,"21.4%",330,"17.3%","18.6%",0.46,0.14
"Mordekaiser","Jungle",1,"0.5%","0.9%","1.4%","100%","-",4,1,9,13,"81.3%","12.5%","100%",718,513,-6,5.1,"15.4%",486,"26.6%","20.7%",0.21,0.44
"Morgana","Support",7,"3.2%","0.0%","3.2%","29%","-",5,24,66,3,"71.0%","20.0%","29%",3,-139,-0.4,0.6,"2.3%",204,"9.6%","12.4%",1.21,0.42
"Nami","Support",25,"11.5%","0.5%","11.9%","48%","-",15,48,201,4.5,"78.5%","18.2%","32%",-112,12,-4.1,0.4,"1.8%",126,"6.7%","11.4%",1.34,0.31
"Nidalee","Jungle",43,"19.7%","26.1%","45.9%","56%","-",111,74,289,5.4,"78.0%","15.4%","35%",269,491,6.8,4.9,"16.5%",409,"21.5%","21.4%",0.68,0.5
"Olaf","Jungle",26,"11.9%","5.5%","17.9%","50%","-",75,75,169,3.3,"75.1%","21.8%","27%",-5,-5,1.3,3.7,"11.5%",378,"18.5%","18.6%",0.72,0.37
"Olaf","Top",1,"0.5%","5.5%","17.9%","0%","-",2,3,3,1.7,"62.5%","21.4%","0%",-137,67,7,8.6,"26.7%",569,"30.4%","22.7%",0.51,0.11
"Poppy","Top",1,"0.5%","0.0%","0.5%","0%","-",0,2,1,0.5,"50.0%","18.2%","0%",-533,-798,-29,6.3,"27.7%",202,"13.3%","21.7%",0.48,0.21
"Rek'Sai","Jungle",142,"65.1%","24.8%","89.9%","49%","-",286,290,1030,4.5,"73.8%","17.5%","47%",131,148,1.4,4.1,"13.4%",296,"14.9%","19.0%",0.89,0.48
"Renekton","Top",2,"0.9%","0.0%","0.9%","50%","-",4,5,9,2.6,"43.3%","21.7%","0%",-388,-585,2.5,8.5,"28.6%",329,"18.0%","22.3%",0.47,0.16
"Rengar","Jungle",2,"0.9%","0.5%","1.4%","100%","-",14,6,11,4.2,"59.5%","23.1%","100%",516,263,5,4.7,"17.6%",509,"19.8%","22.8%",0.37,0.18
"Riven","Top",4,"1.8%","0.0%","1.8%","75%","-",15,11,21,3.3,"66.7%","26.2%","50%",279,612,12,8.7,"28.7%",491,"21.9%","23.2%",0.48,0.15
"Rumble","Top",16,"7.3%","8.3%","15.6%","56%","-",44,59,104,2.5,"59.7%","26.6%","25%",165,48,0.1,7.3,"27.0%",579,"25.5%","21.4%",0.49,0.08
"Ryze","Middle",20,"9.2%","53.2%","65.6%","55%","-",63,70,123,2.7,"67.9%","26.2%","15%",-28,-34,-1.3,8.1,"25.5%",526,"25.6%","22.2%",0.43,0.17
"Ryze","Top",7,"3.2%","53.2%","65.6%","29%","-",13,19,25,2,"65.5%","23.8%","0%",56,102,1.9,6.7,"25.6%",367,"21.3%","21.3%",0.5,0.15
"Sejuani","Jungle",1,"0.5%","0.0%","0.5%","0%","-",0,6,1,0.2,"100.0%","33.3%","0%",-290,72,3,4,"10.4%",248,"16.4%","20.0%",0.69,0.46
"Shen","Top",42,"19.3%","26.1%","45.4%","55%","-",73,81,315,4.8,"77.1%","18.8%","29%",-23,21,-2.1,6.5,"23.6%",285,"14.9%","19.9%",0.5,0.11
"Sivir","ADC",101,"46.3%","22.0%","68.3%","56%","-",329,166,595,5.6,"73.4%","15.3%","26%",-60,-44,-1.2,9.3,"33.2%",517,"26.2%","25.5%",0.39,0.24
"Sona","Support",10,"4.6%","0.9%","5.5%","30%","-",6,30,88,3.1,"74.6%","18.3%","0%",15,8,-4.1,0.4,"1.8%",163,"8.4%","11.0%",1.41,0.3
"Soraka","Support",25,"11.5%","10.6%","22.0%","48%","-",8,70,207,3.1,"68.7%","19.8%","20%",-62,23,-4.2,0.4,"1.5%",100,"4.6%","10.8%",1.21,0.21
"Swain","Middle",11,"5.0%","14.7%","27.5%","55%","-",32,25,72,4.2,"74.8%","20.2%","36%",-92,-44,-2.6,8.1,"26.7%",634,"30.5%","23.1%",0.44,0.14
"Swain","Top",17,"7.8%","14.7%","27.5%","53%","-",33,42,89,2.9,"63.5%","22.1%","6%",-100,302,6.5,7.3,"25.7%",574,"27.8%","20.7%",0.52,0.12
"Tahm Kench","Support",3,"1.4%","0.0%","2.8%","33%","-",1,5,13,2.8,"70.0%","19.2%","0%",308,-112,8.7,1.4,"5.0%",134,"6.9%","12.0%",1.12,0.24
"Tahm Kench","Top",3,"1.4%","0.0%","2.8%","0%","-",5,16,25,1.9,"65.2%","24.2%","0%",-395,-134,-4.3,5.6,"22.6%",389,"16.3%","19.1%",0.48,0.07
"Taliyah","Middle",15,"6.9%","10.6%","17.4%","53%","-",58,45,74,2.9,"68.8%","23.4%","20%",291,140,9.3,8.5,"27.6%",593,"30.2%","22.9%",0.4,0.13
