"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Sett","Top",8,"25.8%","71.0%","100.0%","75%","0%",23,18,58,4.5,"61.4%","23.4%","25%",154,90,3,7.3,"22.6%",415,"21.2%","22.4%",0.47,0.21
"Sylas","Middle",2,"6.5%","0.0%","6.5%","50%","50%",9,5,4,2.6,"52.0%","21.7%","50%",195,-131,-8,7.7,"23.7%",421,"28.2%","22.9%",0.39,0.25
"Syndra","ADC",1,"3.2%","77.4%","96.8%","100%","0%",3,5,8,2.2,"64.7%","71.4%","0%",-261,-47,-1,9.8,"27.3%",576,"24.3%","21.8%",0.26,0.26
"Syndra","Middle",5,"16.1%","77.4%","96.8%","20%","0%",7,14,27,2.4,"73.9%","16.5%","40%",-88,44,7.8,8.4,"28.3%",463,"29.3%","24.0%",0.4,0.11
"Tahm Kench","Support",10,"32.3%","41.9%","74.2%","50%","30%",4,30,64,2.3,"54.8%","27.8%","0%",15,-57,0.6,1,"2.3%",124,"6.8%","8.6%",1.43,0.24
"Taliyah","Middle",2,"6.5%","0.0%","6.5%","50%","50%",10,6,9,3.2,"79.2%","22.2%","100%",325,113,-4,7.3,"24.2%",494,"24.5%","22.9%",0.29,0.18
"Taric","Support",6,"19.4%","9.7%","29.0%","17%","67%",1,18,35,2,"81.8%","19.1%","0%",-160,-140,-3.8,1.1,"3.3%",79,"5.0%","8.1%",1.37,0.32
"Thresh","Support",3,"9.7%","12.9%","22.6%","100%","33%",1,3,42,14.3,"86.0%","13.0%","33%",362,246,0.3,1.1,"3.2%",139,"7.8%","10.4%",1.62,0.36
"Trundle","Jungle",6,"19.4%","45.2%","67.7%","67%","50%",11,9,64,8.3,"79.8%","13.6%","67%",230,134,3.8,4.4,"12.2%",198,"10.0%","16.2%",0.29,0.62
"Trundle","Support",1,"3.2%","45.2%","67.7%","0%","100%",1,2,4,2.5,"83.3%","8.7%","0%",38,-23,0,1.1,"2.2%",137,"9.6%","9.4%",1.28,0.27
"Varus","ADC",11,"35.5%","16.1%","51.6%","45%","27%",29,21,46,3.6,"62.5%","17.5%","27%",146,102,3.1,9.4,"30.3%",398,"23.2%","25.8%",0.38,0.37
"Veigar","Middle",1,"3.2%","0.0%","3.2%","100%","100%",6,2,7,6.5,"61.9%","15.4%","0%",-488,-426,-17,7.8,"23.5%",473,"21.0%","22.3%",0.46,0.13
"Viktor","Middle",5,"16.1%","3.2%","19.4%","60%","100%",26,11,34,5.5,"68.2%","16.7%","20%",44,-19,-3.4,9,"30.5%",742,"34.1%","27.1%",0.44,0.2
"Xayah","ADC",10,"32.3%","19.4%","51.6%","70%","90%",35,26,49,3.2,"55.3%","22.8%","10%",-234,-79,-5.4,8.6,"29.4%",501,"22.3%","24.9%",0.36,0.27
"Yasuo","Middle",2,"6.5%","3.2%","9.7%","50%","100%",7,10,15,2.2,"64.7%","32.3%","0%",143,-127,-1,8.9,"26.1%",482,"23.6%","25.3%",0.44,0.26
"Yuumi","Support",2,"6.5%","3.2%","9.7%","50%","100%",2,2,22,12,"92.3%","8.7%","50%",-132,361,-10,0.3,"1.0%",376,"14.7%","8.3%",1.25,0.14
"Zilean","Middle",2,"6.5%","22.6%","29.0%","0%","0%",2,5,9,2.2,"64.7%","12.2%","0%",-386,-153,-1.5,7.7,"23.4%",503,"24.7%","21.3%",0.54,0.06
"Zoe","Middle",9,"29.0%","58.1%","87.1%","78%","33%",42,11,52,8.5,"77.0%","14.1%","44%",210,42,2.1,7.5,"20.9%",702,"31.2%","22.1%",0.47,0.14
