"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","-",0,"0%","0.5%","0.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ahri","Middle",27,"12.2%","9.5%","21.7%","44%","-",107,69,143,3.6,"70.6%","17.4%","19%",-130,0,-4.1,8.7,"27.8%",540,"27.7%","23.6%",0.51,0.2
"Alistar","Support",1,"0.5%","0.0%","0.5%","0%","-",0,4,1,0.3,"16.7%","21.1%","0%",83,-165,0,0.2,"1.2%",70,"6.0%","7.3%",0.9,0.23
"Anivia","Middle",9,"4.1%","3.6%","7.7%","11%","-",32,31,56,2.8,"79.3%","18.9%","0%",-7,290,3.3,8.6,"29.5%",625,"30.7%","24.9%",0.39,0.17
"Ashe","ADC",100,"45.2%","14.5%","59.7%","51%","-",274,288,607,3.1,"62.1%","20.4%","15%",65,23,2.3,8.4,"26.6%",398,"20.2%","22.5%",0.38,0.25
"Aurelion Sol","Middle",4,"1.8%","10.9%","12.7%","75%","-",13,10,33,4.6,"74.2%","18.2%","50%",-252,-408,-6.8,7.1,"25.5%",560,"28.2%","22.0%",0.55,0.23
"Azir","Middle",10,"4.5%","0.0%","4.5%","40%","-",41,21,42,4,"68.6%","17.1%","10%",2,126,3.4,8.9,"29.7%",566,"29.2%","25.1%",0.35,0.27
"Bard","Support",4,"1.8%","0.9%","2.7%","25%","-",3,10,38,4.1,"69.5%","20.0%","50%",103,-44,3,0.8,"3.2%",194,"8.9%","11.6%",1.49,0.51
"Blitzcrank","Support",1,"0.5%","0.0%","0.5%","100%","-",0,1,5,5,"55.6%","100.0%","0%",364,-4,20,1.9,"4.4%",49,"4.5%","12.5%",1.2,0.49
"Brand","Support",1,"0.5%","0.0%","0.5%","0%","-",2,5,1,0.6,"75.0%","21.7%","0%",386,280,-5,0.5,"2.3%",518,"32.4%","13.6%",1.13,0.16
"Braum","Support",7,"3.2%","0.5%","3.6%","57%","-",6,27,51,2.1,"59.4%","28.7%","0%",-78,-241,5.4,1,"3.4%",111,"5.4%","11.5%",1.3,0.32
"Caitlyn","ADC",34,"15.4%","11.3%","26.7%","47%","-",103,80,149,3.2,"58.2%","17.5%","21%",196,-35,3.7,9.3,"29.3%",472,"25.2%","24.5%",0.39,0.26
"Camille","Support",4,"1.8%","82.8%","94.6%","50%","-",5,18,36,2.3,"67.2%","34.0%","50%",124,229,6.5,1.4,"4.2%",157,"8.5%","12.3%",1.34,0.38
"Camille","Top",22,"10.0%","82.8%","94.6%","59%","-",77,68,107,2.7,"58.8%","23.1%","23%",165,251,4.4,8.5,"27.8%",410,"21.8%","22.9%",0.52,0.15
"Cassiopeia","Middle",34,"15.4%","24.9%","40.3%","47%","-",135,79,191,4.1,"71.5%","18.9%","24%",115,40,4.2,8.6,"27.2%",476,"24.9%","24.1%",0.44,0.16
"Corki","Middle",53,"24.0%","7.2%","31.2%","49%","-",201,144,267,3.3,"65.0%","19.4%","13%",-45,-98,-1.4,9.1,"29.4%",635,"30.2%","25.0%",0.48,0.26
"Draven","ADC",2,"0.9%","0.0%","0.9%","50%","-",6,8,8,1.8,"51.9%","26.7%","0%",44,74,2.5,8.4,"26.5%",420,"20.7%","23.8%",0.4,0.19
"Ekko","Middle",23,"10.4%","5.0%","16.3%","52%","-",109,71,100,2.9,"57.7%","20.2%","4%",-95,89,-2.7,8.6,"27.7%",504,"24.5%","23.8%",0.45,0.18
"Ekko","Top",2,"0.9%","5.0%","16.3%","100%","-",6,6,16,3.7,"59.5%","37.5%","0%",31,-88,3.5,8.1,"27.8%",463,"20.4%","20.8%",0.49,0.11
"Elise","Jungle",37,"16.7%","15.8%","32.6%","59%","-",112,119,221,2.8,"63.5%","23.2%","43%",28,-234,-8.5,4.7,"14.9%",346,"17.0%","18.8%",0.66,0.36
"Evelynn","Jungle",6,"2.7%","1.4%","4.1%","33%","-",34,12,44,6.5,"75.7%","12.4%","33%",-100,-40,-1,4.3,"14.1%",479,"23.2%","20.2%",0.44,0.1
"Ezreal","ADC",61,"27.6%","5.9%","33.5%","56%","-",217,113,365,5.2,"67.4%","13.5%","11%",-21,-4,0.1,8.4,"27.4%",596,"29.0%","23.9%",0.39,0.23
"Fiora","Top",10,"4.5%","20.8%","25.3%","50%","-",44,31,37,2.6,"53.3%","18.8%","20%",101,4,5.8,9.2,"29.8%",447,"21.7%","24.7%",0.54,0.13
"Fizz","Middle",3,"1.4%","0.5%","2.3%","67%","-",11,15,18,1.9,"65.9%","30.0%","0%",-402,-291,-7.7,8.7,"27.1%",454,"20.9%","22.9%",0.42,0.18
"Fizz","Top",1,"0.5%","0.5%","2.3%","0%","-",3,1,0,3,"50.0%","4.8%","0%",256,-186,17,10.2,"40.4%",296,"20.5%","29.8%",0.47,0.07
"Gangplank","Top",10,"4.5%","5.0%","9.5%","50%","-",32,24,48,3.3,"63.5%","17.4%","30%",71,-38,-6.4,8.8,"30.5%",600,"29.5%","26.5%",0.51,0.11
