"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Alistar","Support",22,"23.2%","32.6%","55.8%","36%","36%",9,70,129,2,"70.8%","25.9%","32%",-55,-90,-1,1.6,"4.7%",120,"6.6%","9.3%",1.38,0.29
"Anivia","Middle",2,"2.1%","1.1%","3.2%","0%","100%",0,2,1,0.5,"33.3%","10.0%","0%",-643,-328,-16.5,10.1,"30.6%",260,"26.8%","26.2%",0.63,0.3
"Aurelion Sol","Middle",1,"1.1%","8.4%","9.5%","0%","100%",3,2,4,3.5,"100.0%","15.4%","100%",150,59,-14,9.7,"28.7%",664,"32.2%","26.6%",0.4,0.29
"Azir","Middle",25,"26.3%","52.6%","78.9%","52%","24%",95,31,87,5.9,"80.5%","12.0%","20%",150,145,4.9,10.3,"29.0%",612,"32.9%","26.0%",0.46,0.38
"Bard","Support",2,"2.1%","2.1%","4.2%","100%","100%",6,7,19,3.6,"83.3%","41.2%","50%",105,251,-12,0.7,"2.9%",285,"12.4%","12.1%",1.92,0.53
"Blitzcrank","Support",2,"2.1%","0.0%","2.1%","50%","100%",0,7,12,1.7,"66.7%","35.0%","100%",49,-121,6.5,0.8,"1.6%",107,"7.7%","8.0%",1.55,0.24
"Braum","Support",53,"55.8%","26.3%","82.1%","58%","32%",25,109,368,3.6,"73.6%","21.5%","28%",-12,-13,4.3,2.1,"6.0%",146,"8.0%","10.8%",1.44,0.34
"Caitlyn","ADC",23,"24.2%","6.3%","30.5%","43%","65%",56,50,78,2.7,"72.0%","19.8%","4%",-61,-56,1.8,10.1,"30.3%",547,"27.7%","26.2%",0.36,0.39
"Camille","Jungle",1,"1.1%","32.6%","51.6%","100%","100%",4,0,3,7,"63.6%","0.0%","0%",-365,-31,-2,5.6,"16.0%",300,"17.7%","18.1%",2.01,0.38
"Camille","Top",17,"17.9%","32.6%","51.6%","41%","53%",47,39,51,2.5,"62.4%","23.4%","29%",-127,-76,-5.5,9.2,"27.7%",399,"22.5%","23.9%",0.58,0.2
"Cassiopeia","Middle",12,"12.6%","20.0%","32.6%","58%","83%",41,17,56,5.7,"74.0%","13.9%","42%",93,10,4.3,9.5,"27.2%",562,"28.3%","24.0%",0.42,0.21
"Cho'Gath","Top",22,"23.2%","7.4%","30.5%","59%","36%",52,48,97,3.1,"63.9%","22.4%","23%",-83,-101,-2.9,7.8,"22.7%",331,"18.0%","20.6%",0.6,0.15
"Corki","Middle",11,"11.6%","8.4%","20.0%","27%","91%",26,21,31,2.7,"69.5%","16.5%","18%",70,63,2.2,11,"31.4%",586,"31.2%","27.8%",0.52,0.37
