"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",2,"12.5%","62.5%","87.5%","50%","-",7,8,10,2.1,"50.0%","22.9%","-","-","-","-","-","-","-","-","21.4%","-","-"
"Ahri","Top",2,"12.5%","62.5%","87.5%","100%","-",10,5,18,5.6,"60.9%","22.7%","-","-","-","-","-","-","-","-","23.3%","-","-"
"Amumu","Jungle",1,"6.3%","0.0%","6.3%","0%","-",0,4,11,2.8,"84.6%","23.5%","-","-","-","-","-","-","-","-","12.6%","-","-"
"Ashe","ADC",8,"50.0%","31.3%","81.3%","50%","-",29,15,55,5.6,"66.1%","15.3%","-","-","-","-","-","-","-","-","24.7%","-","-"
"Caitlyn","ADC",7,"43.8%","0.0%","43.8%","43%","-",25,21,45,3.3,"71.4%","18.9%","-","-","-","-","-","-","-","-","26.3%","-","-"
"Diana","Middle",1,"6.3%","0.0%","6.3%","0%","-",1,5,2,0.6,"50.0%","31.3%","-","-","-","-","-","-","-","-","23.5%","-","-"
"Elise","Jungle",10,"62.5%","6.3%","75.0%","80%","-",30,24,65,4,"58.3%","20.0%","-","-","-","-","-","-","-","-","18.1%","-","-"
"Elise","Top",1,"6.3%","6.3%","75.0%","0%","-",2,5,1,0.6,"50.0%","26.3%","-","-","-","-","-","-","-","-","20.2%","-","-"
"Evelynn","Jungle",2,"12.5%","43.8%","56.3%","0%","-",7,13,9,1.2,"66.7%","24.5%","-","-","-","-","-","-","-","-","15.4%","-","-"
"Ezreal","ADC",1,"6.3%","62.5%","75.0%","100%","-",5,1,8,13,"68.4%","16.7%","-","-","-","-","-","-","-","-","25.9%","-","-"
"Ezreal","Middle",1,"6.3%","62.5%","75.0%","0%","-",5,5,3,1.6,"61.5%","19.2%","-","-","-","-","-","-","-","-","28.1%","-","-"
"Fiddlesticks","Support",3,"18.8%","0.0%","18.8%","0%","-",2,7,11,1.9,"72.2%","13.7%","-","-","-","-","-","-","-","-","7.5%","-","-"
"Fizz","Middle",1,"6.3%","12.5%","25.0%","100%","-",5,1,6,11,"68.8%","16.7%","-","-","-","-","-","-","-","-","20.9%","-","-"
"Fizz","Top",1,"6.3%","12.5%","25.0%","0%","-",1,9,3,0.4,"50.0%","37.5%","-","-","-","-","-","-","-","-","20.4%","-","-"
"Gragas","Middle",2,"12.5%","0.0%","12.5%","50%","-",8,5,9,3.4,"54.8%","17.9%","-","-","-","-","-","-","-","-","25.2%","-","-"
"Graves","ADC",2,"12.5%","0.0%","12.5%","50%","-",8,6,10,3,"62.1%","13.6%","-","-","-","-","-","-","-","-","27.2%","-","-"
"Jarvan IV","Jungle",5,"31.3%","31.3%","62.5%","40%","-",15,14,34,3.5,"71.0%","17.5%","-","-","-","-","-","-","-","-","17.0%","-","-"
"Jax","Top",1,"6.3%","0.0%","6.3%","0%","-",4,3,3,2.3,"87.5%","15.8%","-","-","-","-","-","-","-","-","-","-","-"
"Jayce","Top",1,"6.3%","0.0%","6.3%","100%","-",3,2,4,3.5,"50.0%","33.3%","-","-","-","-","-","-","-","-","-","-","-"
"Karthus","Middle",7,"43.8%","37.5%","81.3%","29%","-",28,37,34,1.7,"72.1%","27.6%","-","-","-","-","-","-","-","-","26.9%","-","-"
"Kassadin","Top",1,"6.3%","37.5%","43.8%","100%","-",7,1,10,17,"89.5%","16.7%","-","-","-","-","-","-","-","-","27.4%","-","-"
"Kennen","Middle",2,"12.5%","0.0%","18.8%","100%","-",15,6,23,6.3,"71.7%","28.6%","-","-","-","-","-","-","-","-","23.2%","-","-"
"Kennen","Top",1,"6.3%","0.0%","18.8%","0%","-",0,7,4,0.6,"33.3%","22.6%","-","-","-","-","-","-","-","-","18.8%","-","-"
