"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",4,"3.6%","0.0%","3.6%","25%","-",16,11,31,4.3,"79.7%","14.9%","-","-","-","-","-","-","-","-","22.8%","-","-"
"Akali","Top",7,"6.3%","13.4%","19.6%","57%","-",32,29,36,2.3,"73.9%","33.7%","-","-","-","-","-","-","-","-","21.9%","-","-"
"Alistar","Jungle",1,"0.9%","1.8%","25.9%","0%","-",0,6,9,1.5,"52.9%","26.1%","-","-","-","-","-","-","-","-","9.7%","-","-"
"Alistar","Support",26,"23.2%","1.8%","25.9%","54%","-",19,52,260,5.4,"74.0%","17.1%","-","-","-","-","-","-","-","-","11.4%","-","-"
"Amumu","Jungle",9,"8.0%","5.4%","13.4%","56%","-",11,29,115,4.3,"72.4%","18.6%","-","-","-","-","-","-","-","-","13.8%","-","-"
"Anivia","Middle",4,"3.6%","0.0%","3.6%","0%","-",4,10,8,1.2,"54.5%","12.8%","-","-","-","-","-","-","-","-","25.4%","-","-"
"Annie","Middle",1,"0.9%","0.0%","0.9%","100%","-",10,5,14,4.8,"82.8%","35.7%","-","-","-","-","-","-","-","-","23.6%","-","-"
"Ashe","ADC",2,"1.8%","0.0%","1.8%","50%","-",6,6,24,5,"83.3%","14.6%","-","-","-","-","-","-","-","-","23.4%","-","-"
"Brand","-",0,"0%","0.9%","0.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Caitlyn","ADC",38,"33.9%","9.8%","44.6%","42%","-",165,102,191,3.5,"73.9%","17.0%","-","-","-","-","-","-","-","-","29.4%","-","-"
"Caitlyn","Middle",1,"0.9%","9.8%","44.6%","0%","-",0,3,1,0.3,"50.0%","18.8%","-","-","-","-","-","-","-","-","30.4%","-","-"
"Cassiopeia","Middle",2,"1.8%","0.0%","1.8%","50%","-",10,10,12,2.2,"66.7%","34.5%","-","-","-","-","-","-","-","-","25.3%","-","-"
"Cho'Gath","Jungle",3,"2.7%","2.7%","14.3%","67%","-",8,5,23,6.2,"68.9%","10.6%","-","-","-","-","-","-","-","-","16.2%","-","-"
"Cho'Gath","Top",10,"8.9%","2.7%","14.3%","50%","-",25,30,58,2.8,"71.6%","23.3%","-","-","-","-","-","-","-","-","19.2%","-","-"
"Corki","ADC",4,"3.6%","0.0%","3.6%","25%","-",5,5,9,2.8,"58.3%","10.9%","-","-","-","-","-","-","-","-","24.4%","-","-"
"Darius","Top",3,"2.7%","0.0%","2.7%","67%","-",26,15,21,3.1,"67.1%","25.4%","-","-","-","-","-","-","-","-","24.2%","-","-"
"Diana","Middle",22,"19.6%","23.2%","43.8%","55%","-",114,74,142,3.5,"70.5%","23.8%","-","-","-","-","-","-","-","-","24.4%","-","-"
"Diana","Top",1,"0.9%","23.2%","43.8%","100%","-",6,4,3,2.3,"56.3%","57.1%","-","-","-","-","-","-","-","-","23.0%","-","-"
"Dr. Mundo","Jungle",1,"0.9%","0.0%","0.9%","0%","-",4,4,10,3.5,"87.5%","17.4%","-","-","-","-","-","-","-","-","16.5%","-","-"
"Draven","ADC",17,"15.2%","9.8%","25.9%","65%","-",98,37,101,5.4,"71.1%","19.9%","-","-","-","-","-","-","-","-","26.8%","-","-"
"Draven","Middle",1,"0.9%","9.8%","25.9%","100%","-",8,2,8,8,"76.2%","11.8%","-","-","-","-","-","-","-","-","24.4%","-","-"
"Elise","Jungle",9,"8.0%","24.1%","57.1%","44%","-",11,18,57,3.8,"66.7%","15.4%","-","-","-","-","-","-","-","-","12.7%","-","-"
"Elise","Support",6,"5.4%","24.1%","57.1%","33%","-",15,23,37,2.3,"54.7%","23.7%","-","-","-","-","-","-","-","-","11.6%","-","-"
"Elise","Top",22,"19.6%","24.1%","57.1%","68%","-",79,51,126,4,"63.7%","19.9%","-","-","-","-","-","-","-","-","20.2%","-","-"
"Evelynn","Jungle",2,"1.8%","2.7%","5.4%","50%","-",6,10,20,2.6,"81.3%","27.8%","-","-","-","-","-","-","-","-","16.4%","-","-"
"Evelynn","Middle",1,"0.9%","2.7%","5.4%","100%","-",2,5,22,4.8,"80.0%","38.5%","-","-","-","-","-","-","-","-","18.0%","-","-"
"Ezreal","ADC",26,"23.2%","0.0%","23.2%","46%","-",106,50,144,5,"74.0%","14.0%","-","-","-","-","-","-","-","-","28.1%","-","-"
"Fiddlesticks","Support",1,"0.9%","0.0%","0.9%","0%","-",0,2,4,2,"80.0%","14.3%","-","-","-","-","-","-","-","-","9.5%","-","-"
"Fizz","Jungle",1,"0.9%","1.8%","5.4%","0%","-",3,5,5,1.6,"47.1%","23.8%","-","-","-","-","-","-","-","-","16.5%","-","-"
"Fizz","Middle",1,"0.9%","1.8%","5.4%","0%","-",0,3,1,0.3,"33.3%","20.0%","-","-","-","-","-","-","-","-","21.8%","-","-"
"Fizz","Top",2,"1.8%","1.8%","5.4%","0%","-",7,11,8,1.4,"62.5%","28.9%","-","-","-","-","-","-","-","-","22.7%","-","-"
