"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",26,"11.5%","2.7%","14.2%","50%","73%",89,55,144,4.2,"63.3%","17.1%","15%",-127,-13,-5.4,8.5,"26.6%",510,"27.6%","22.9%",0.47,0.29
"Alistar","Support",15,"6.6%","3.5%","10.2%","53%","-",12,49,127,2.8,"72.0%","28.2%","33%",108,27,0.7,1,"3.3%",146,"7.3%","12.2%",1.36,0.29
"Ashe","ADC",45,"19.9%","4.0%","23.9%","62%","53%",139,91,315,5,"66.7%","17.5%","22%",41,-9,1.4,8.6,"27.7%",482,"23.7%","23.1%",0.37,0.29
"Aurelion Sol","Middle",3,"1.3%","14.2%","15.5%","100%","100%",19,2,27,23,"82.1%","9.1%","33%",56,106,-12.3,8.1,"28.5%",658,"34.7%","24.5%",0.62,0.19
"Bard","Support",25,"11.1%","12.4%","23.5%","76%","75%",39,52,228,5.1,"71.8%","22.8%","36%",-14,186,-2.4,0.8,"3.2%",233,"12.2%","12.3%",1.39,0.45
"Blitzcrank","Support",24,"10.6%","11.5%","22.1%","75%","89%",18,77,228,3.2,"64.7%","26.4%","29%",-19,-71,2.5,1.1,"4.0%",176,"9.1%","12.0%",1.45,0.27
"Braum","Support",65,"28.8%","8.0%","36.7%","48%","75%",24,169,528,3.3,"71.5%","20.2%","17%",-17,-22,5.2,1.4,"4.7%",138,"7.2%","11.7%",1.4,0.28
"Caitlyn","ADC",53,"23.5%","71.2%","94.7%","58%","23%",180,126,247,3.4,"63.8%","18.8%","11%",114,28,4,9.2,"30.3%",564,"27.9%","24.7%",0.41,0.32
"Camille","Top",13,"5.8%","9.7%","15.5%","62%","100%",37,31,63,3.2,"62.1%","19.3%","15%",32,34,-3.5,9.1,"30.7%",441,"23.3%","24.1%",0.55,0.14
"Cassiopeia","Middle",38,"16.8%","22.6%","39.4%","55%","87%",132,84,216,4.1,"69.9%","19.1%","18%",-94,-170,2.8,8.7,"27.0%",494,"27.9%","23.8%",0.36,0.16
"Cho'Gath","Jungle",5,"2.2%","7.1%","16.8%","60%","-",15,10,24,3.9,"73.6%","20.8%","0%",-241,-171,-3,4.3,"12.2%",248,"13.3%","17.5%",0.89,0.32
"Cho'Gath","Top",17,"7.5%","7.1%","16.8%","24%","-",39,58,57,1.7,"61.1%","23.9%","12%",-192,-205,-4.6,7.6,"23.3%",374,"19.9%","20.5%",0.53,0.11
"Corki","ADC",1,"0.4%","8.0%","33.6%","0%","-",3,4,9,3,"75.0%","20.0%","100%",345,1029,16,8.1,"24.4%",732,"25.1%","21.8%",0.62,0.39
"Corki","Middle",57,"25.2%","8.0%","33.6%","42%","-",193,121,208,3.3,"69.9%","15.8%","26%",-18,-57,0.3,9.5,"30.5%",691,"35.4%","26.1%",0.43,0.28
"Draven","ADC",2,"0.9%","1.3%","2.2%","50%","-",4,4,11,3.8,"50.0%","16.7%","0%",-25,468,-0.5,8.1,"24.9%",448,"18.5%","22.9%",0.49,0.3
