"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Alistar","Support",9,"39.1%","13.0%","52.2%","67%","78%",6,34,83,2.6,"67.4%","27.6%","67%",-93,-208,-2.6,0.7,"2.4%",138,"5.6%","12.9%",1.59,0.29
"Ashe","-",0,"0%","17.4%","17.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Aurelion Sol","-",0,"0%","43.5%","43.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Bard","Support",1,"4.3%","0.0%","4.3%","100%","0%",0,3,18,6,"94.7%","33.3%","0%",-771,-946,-11,0.8,"3.2%",257,"9.9%","13.4%",1.59,0.61
"Blitzcrank","Support",3,"13.0%","13.0%","26.1%","33%","100%",3,9,25,3.1,"75.7%","23.7%","0%",-131,-39,7,1.1,"2.9%",159,"8.4%","10.6%",1.64,0.23
"Braum","Support",4,"17.4%","4.3%","21.7%","50%","100%",1,10,45,4.6,"76.7%","19.6%","25%",-2,111,9,1.6,"5.6%",143,"7.4%","12.4%",1.58,0.33
"Caitlyn","ADC",3,"13.0%","0.0%","13.0%","33%","100%",9,7,15,3.4,"75.0%","16.3%","0%",156,63,8.7,8.4,"27.4%",521,"32.5%","24.0%",0.46,0.28
"Camille","Top",2,"8.7%","4.3%","13.0%","100%","100%",7,4,15,5.5,"66.7%","26.7%","100%",300,310,4,8.1,"26.4%",479,"23.2%","21.4%",0.65,0.15
"Cassiopeia","Middle",8,"34.8%","52.2%","87.0%","50%","13%",43,21,57,4.8,"78.1%","17.5%","13%",236,33,10.9,8.8,"27.5%",598,"26.9%","24.5%",0.41,0.21
"Cho'Gath","Top",5,"21.7%","39.1%","60.9%","40%","60%",15,16,18,2.1,"58.9%","20.8%","20%",-27,16,-7.6,7,"23.5%",372,"17.0%","19.8%",0.58,0.12
"Corki","Middle",7,"30.4%","13.0%","43.5%","57%","43%",30,17,45,4.4,"79.8%","20.7%","0%",-171,-73,-1,9.3,"28.0%",801,"33.6%","24.9%",0.42,0.36
"Elise","Jungle",6,"26.1%","17.4%","43.5%","50%","50%",15,21,36,2.4,"69.9%","28.8%","17%",92,21,-2.7,3.9,"11.6%",368,"20.1%","17.4%",0.78,0.43
"Galio","Middle",3,"13.0%","17.4%","34.8%","33%","0%",7,7,16,3.3,"82.1%","17.5%","67%",101,49,-6,8,"22.2%",313,"18.1%","21.0%",0.51,0.21
"Galio","Top",1,"4.3%","17.4%","34.8%","0%","100%",1,2,9,5,"83.3%","13.3%","0%",257,533,18,5.7,"17.8%",296,"12.7%","17.9%",0.65,0.1
"Gnar","Top",8,"34.8%","34.8%","69.6%","75%","38%",27,15,57,5.6,"66.1%","15.8%","0%",-21,118,7.8,8.2,"26.0%",505,"22.7%","21.5%",0.61,0.2
"Gragas","Jungle",17,"73.9%","13.0%","87.0%","71%","53%",22,48,163,3.9,"74.3%","24.5%","47%",-79,124,4.6,3.7,"10.5%",271,"11.9%","15.9%",0.86,0.29
"Janna","Support",2,"8.7%","0.0%","8.7%","50%","100%",2,3,14,5.3,"88.9%","11.5%","0%",573,110,0,0.4,"1.6%",112,"5.0%","15.8%",2.24,0.29
"Jarvan IV","Jungle",5,"21.7%","43.5%","100.0%","20%","0%",9,16,35,2.8,"83.0%","22.2%","40%",148,-282,-7.8,3.8,"12.0%",172,"8.1%","16.4%",0.79,0.39
"Jarvan IV","Top",8,"34.8%","43.5%","100.0%","63%","13%",33,15,61,6.3,"84.7%","16.3%","38%",-74,-68,1.9,8.4,"28.3%",458,"21.5%","23.3%",0.5,0.16
"Jax","Top",2,"8.7%","8.7%","17.4%","50%","100%",12,6,14,4.3,"63.4%","20.7%","50%",507,-28,5,8.2,"26.6%",495,"18.6%","23.2%",0.61,0.13
"Jayce","-",0,"0%","4.3%","4.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Jinx","ADC",2,"8.7%","0.0%","8.7%","0%","100%",8,5,4,2.4,"70.6%","17.9%","0%",-64,68,-3,9.4,"33.2%",1057,"38.2%","27.2%",0.34,0.44
"Kalista","ADC",3,"13.0%","87.0%","100.0%","0%","0%",4,9,19,2.6,"74.2%","18.8%","33%",139,74,4.3,8.6,"25.6%",339,"18.9%","22.8%",0.39,0.4
"Kassadin","Middle",3,"13.0%","8.7%","21.7%","67%","100%",13,7,17,4.3,"73.2%","18.4%","33%",216,-35,5.3,8.8,"24.9%",713,"30.7%","23.3%",0.24,0.23
"Kennen","-",0,"0%","8.7%","8.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Kog'Maw","ADC",8,"34.8%","17.4%","56.5%","88%","63%",49,13,51,7.7,"68.0%","14.1%","25%",159,128,5.1,8.8,"30.9%",733,"32.0%","24.9%",0.41,0.39
"Kog'Maw","Middle",1,"4.3%","17.4%","56.5%","0%","100%",6,3,4,3.3,"83.3%","15.8%","0%",-178,-294,-12,8.3,"24.2%",761,"41.4%","25.2%",0.34,0.26
"LeBlanc","-",0,"0%","34.8%","34.8%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Lucian","Middle",6,"26.1%","34.8%","60.9%","67%","17%",21,9,35,6.2,"65.1%","14.5%","17%",78,15,9,8.8,"29.5%",532,"25.7%","23.7%",0.34,0.37
"Maokai","Jungle",1,"4.3%","26.1%","60.9%","0%","100%",1,6,18,3.2,"86.4%","33.3%","0%",129,-147,-7,3.2,"8.9%",515,"17.6%","14.0%",0.69,0.07
"Maokai","Top",7,"30.4%","26.1%","60.9%","43%","29%",10,26,58,2.6,"77.3%","24.1%","43%",-199,-94,-10,6.5,"20.9%",453,"20.9%","18.1%",0.51,0.15
"Morgana","Support",3,"13.0%","21.7%","34.8%","33%","100%",2,10,19,2.1,"70.0%","27.0%","0%",10,134,-1,0.5,"2.0%",164,"10.0%","13.3%",1.46,0.31
"Nautilus","Support",2,"8.7%","0.0%","8.7%","0%","50%",5,7,12,2.4,"81.0%","18.4%","0%",471,596,7.5,1.7,"6.4%",220,"12.4%","14.0%",1.58,0.35
