"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Alistar","Support",3,"15.8%","21.1%","36.8%","0%","33%",0,8,18,2.3,"72.0%","20.5%","33%",2,112,-1.7,1.1,"4.4%",136,"8.3%","11.0%",1.57,0.3
"Bard","Support",2,"10.5%","0.0%","10.5%","100%","100%",2,6,18,3.3,"87.0%","42.9%","0%",-286,-230,-12,0.6,"2.6%",243,"12.6%","10.5%",1.54,0.37
"Blitzcrank","Support",3,"15.8%","15.8%","31.6%","33%","67%",5,13,24,2.2,"72.5%","23.2%","0%",-134,-405,-2.3,1.2,"4.0%",175,"8.9%","13.8%",1.46,0.24
"Braum","Support",11,"57.9%","10.5%","68.4%","45%","55%",5,33,84,2.7,"78.1%","26.8%","18%",44,73,7.7,1.4,"4.7%",130,"7.3%","11.7%",1.39,0.22
"Caitlyn","ADC",1,"5.3%","94.7%","100.0%","100%","100%",4,1,4,8,"80.0%","14.3%","0%",555,421,13,9.4,"31.0%",769,"32.0%","25.0%",0.54,0.21
"Camille","Top",2,"10.5%","0.0%","10.5%","50%","100%",3,10,2,0.5,"38.5%","38.5%","0%",29,-55,-7,8.9,"29.8%",331,"23.3%","23.2%",0.55,0.06
"Cassiopeia","Middle",9,"47.4%","21.1%","68.4%","56%","78%",28,20,46,3.7,"72.5%","20.8%","11%",30,-87,3.3,8.2,"23.3%",608,"28.5%","22.1%",0.55,0.23
"Cho'Gath","Top",2,"10.5%","15.8%","26.3%","50%","50%",4,2,8,6,"63.2%","11.1%","50%",-89,111,-4,8.2,"25.3%",324,"19.7%","21.3%",0.54,0.09
"Corki","Middle",7,"36.8%","47.4%","84.2%","57%","14%",28,8,26,6.8,"85.7%","12.7%","43%",-46,70,-4.3,9.8,"30.6%",796,"41.4%","26.7%",0.34,0.44
"Elise","Jungle",4,"21.1%","42.1%","63.2%","50%","25%",17,16,13,1.9,"66.7%","30.2%","50%",266,243,1.8,4.4,"12.2%",327,"18.9%","18.9%",0.79,0.26
"Galio","Middle",1,"5.3%","21.1%","26.3%","0%","100%",3,4,2,1.3,"71.4%","26.7%","0%",-245,-411,-8,7,"19.6%",300,"21.8%","20.8%",0.55,0.03
"Gnar","Top",7,"36.8%","63.2%","100.0%","57%","29%",21,10,40,6.1,"59.2%","17.2%","14%",68,210,8.1,8.8,"28.8%",473,"26.2%","22.6%",0.6,0.12
"Gragas","Jungle",6,"31.6%","10.5%","57.9%","50%","83%",9,15,32,2.7,"74.5%","22.7%","67%",-36,-150,-1,3.6,"10.4%",216,"12.0%","16.4%",0.79,0.39
"Gragas","Top",3,"15.8%","10.5%","57.9%","67%","33%",6,6,26,5.3,"59.3%","19.4%","0%",-164,-211,-9,7.6,"25.1%",360,"16.6%","18.8%",0.45,0.01
"Janna","Support",1,"5.3%","10.5%","15.8%","0%","100%",0,0,0,0,"-","0.0%","0%",90,-48,-11,0.6,"2.2%",70,"5.1%","13.9%",1.33,0.46
"Jarvan IV","Jungle",9,"47.4%","47.4%","100.0%","33%","33%",4,24,61,2.7,"80.2%","25.5%","11%",-49,-6,0.9,3.9,"10.9%",174,"9.7%","16.2%",0.82,0.38
"Jarvan IV","Top",1,"5.3%","47.4%","100.0%","0%","0%",1,4,5,1.5,"60.0%","13.3%","0%",-20,-20,3,6.6,"16.4%",474,"23.4%","21.5%",0.59,0
"Jayce","Top",1,"5.3%","5.3%","10.5%","0%","100%",0,2,2,1,"50.0%","10.0%","0%",74,-269,1,9.2,"30.4%",353,"24.4%","23.0%",0.55,0.14
"Kalista","ADC",4,"21.1%","78.9%","100.0%","25%","0%",10,9,14,2.7,"60.0%","20.9%","0%",-304,-321,-4,8.8,"28.5%",293,"17.0%","23.9%",0.4,0.35
"Kled","Top",3,"15.8%","0.0%","15.8%","67%","67%",2,2,19,10.5,"67.7%","10.5%","0%",-166,-202,-8,8.5,"25.1%",239,"15.2%","19.6%",0.59,0.11
"Kog'Maw","ADC",1,"5.3%","10.5%","15.8%","0%","0%",0,4,4,1,"100.0%","26.7%","0%",-34,-88,-3,8.5,"25.5%",512,"38.6%","23.2%",0.34,0.4
"LeBlanc","Middle",2,"10.5%","63.2%","73.7%","50%","100%",8,4,4,3,"63.2%","15.4%","0%",-46,-274,-12.5,7.7,"24.9%",391,"22.9%","23.4%",0.31,0.27
