"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",1,"11.1%","0.0%","11.1%","0%","-",5,1,8,13,"65.0%","6.7%","0%",-138,-540,-5,7.1,"25.4%",543,"29.6%","23.2%",0.1,0.16
"Alistar","Support",6,"66.7%","0.0%","66.7%","83%","-",1,10,60,6.1,"67.8%","20.8%","17%",-133,139,6,0.8,"2.6%",114,"5.9%","8.8%",1.14,0.21
"Annie","-",0,"0%","55.6%","55.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Cho'Gath","Top",1,"11.1%","0.0%","11.1%","0%","-",2,5,2,0.8,"40.0%","31.3%","100%",30,942,-9,6.4,"20.0%",380,"23.9%","19.1%",0.49,0.12
"Corki","ADC",1,"11.1%","33.3%","55.6%","0%","-",1,4,3,1,"100.0%","18.2%","0%",-389,-302,-6,7.7,"32.6%",372,"29.4%","26.2%",0.08,0.14
"Corki","Middle",1,"11.1%","33.3%","55.6%","100%","-",2,0,5,7,"58.3%","0.0%","0%",61,-316,2,9,"27.9%",428,"23.7%","22.1%",0.49,0.12
"Dr. Mundo","Top",2,"22.2%","0.0%","22.2%","50%","-",1,2,10,5.5,"68.8%","10.0%","0%",-650,-680,-23,6.3,"27.6%",354,"21.8%","20.3%",0.47,0.09
"Gnar","Top",1,"11.1%","0.0%","11.1%","100%","-",3,2,4,3.5,"70.0%","33.3%","0%",-133,-96,13,7.2,"23.3%",496,"23.7%","21.3%",0.61,0.13
"Gragas","Jungle",7,"77.8%","22.2%","100.0%","57%","-",12,15,41,3.5,"67.1%","21.7%","29%",-8,-92,-0.1,2.8,"9.1%",212,"12.6%","15.9%",1.09,0.39
"Graves","ADC",1,"11.1%","0.0%","11.1%","100%","-",6,1,4,10,"62.5%","10.0%","0%",-502,-165,-16,7.7,"25.7%",361,"16.4%","25.6%",0.12,0.09
"Hecarim","Top",3,"33.3%","66.7%","100.0%","67%","-",16,8,23,4.9,"72.2%","30.8%","0%",388,179,9.3,8,"29.5%",352,"18.5%","24.5%",0.67,0.08
"Janna","Support",5,"55.6%","0.0%","55.6%","20%","-",0,9,29,3.2,"78.4%","11.8%","40%",44,-29,-3.8,0.5,"2.0%",74,"5.1%","8.7%",1.3,0.37
"Jarvan IV","Top",3,"33.3%","0.0%","33.3%","67%","-",8,5,13,4.2,"61.8%","20.8%","67%",-70,-382,-2.7,8.3,"28.9%",270,"16.7%","24.0%",0.56,0.08
"Jinx","ADC",3,"33.3%","33.3%","66.7%","33%","-",20,7,5,3.6,"75.8%","17.9%","0%",205,-576,3.7,9.6,"37.8%",522,"34.0%","32.2%",0.08,0.17
