"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Nidalee","Middle",2,"2.2%","40.2%","53.3%","100%","-",17,2,10,13.5,"73.0%","11.1%","0%",-18,42,-0.5,6.6,"23.7%",790,"35.6%","23.5%",0.22,0.29
"Nocturne","Jungle",1,"1.1%","1.1%","2.2%","100%","-",1,3,8,3,"56.3%","30.0%","100%",298,267,-1,4.1,"16.1%",254,"13.3%","17.8%",0.55,0.19
"Nunu & Willump","Jungle",10,"10.9%","3.3%","14.1%","50%","-",14,24,105,5,"79.3%","18.9%","20%",-152,-105,-1.3,3.1,"11.0%",201,"10.5%","17.2%",0.94,0.31
"Orianna","Middle",7,"7.6%","2.2%","9.8%","29%","-",23,32,36,1.8,"65.6%","24.8%","0%",-77,-181,-2,8.1,"32.6%",388,"23.4%","25.0%",0.17,0.16
"Pantheon","-",0,"0%","1.1%","1.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Rek'Sai","Jungle",46,"50.0%","27.2%","78.3%","37%","-",95,137,274,2.7,"71.5%","20.2%","37%",36,58,0.6,3.5,"12.4%",217,"14.0%","19.0%",0.76,0.25
"Rek'Sai","Top",1,"1.1%","27.2%","78.3%","0%","-",2,2,0,1,"33.3%","11.1%","100%",408,3,3,7.8,"30.2%",295,"22.8%","26.5%",0.33,0.17
"Renekton","Top",7,"7.6%","0.0%","7.6%","57%","-",15,21,57,3.4,"58.5%","18.3%","0%",71,7,5.3,7,"27.2%",369,"19.9%","20.6%",0.43,0.15
"Rengar","Jungle",8,"8.7%","6.5%","15.2%","13%","-",8,24,39,2,"59.5%","20.9%","25%",-110,40,-0.8,3.1,"10.5%",157,"11.1%","17.0%",0.41,0.24
"Rumble","Middle",1,"1.1%","46.7%","70.7%","0%","-",6,5,5,2.2,"91.7%","29.4%","0%",-541,-173,-11,6.2,"24.2%",591,"36.4%","22.6%",0.22,0.04
"Rumble","Top",21,"22.8%","46.7%","70.7%","71%","-",66,57,151,3.8,"64.4%","23.8%","14%",56,153,-1.8,5.9,"20.2%",507,"28.1%","18.9%",0.45,0.11
"Sejuani","Jungle",10,"10.9%","13.0%","23.9%","80%","-",12,18,112,6.9,"76.1%","15.8%","50%",210,196,1.7,3.7,"12.4%",222,"11.8%","17.6%",0.76,0.33
"Sion","Top",16,"17.4%","5.4%","22.8%","50%","-",31,46,96,2.8,"62.9%","21.0%","25%",86,276,3.7,6.6,"24.5%",325,"19.5%","20.6%",0.44,0.13
"Sivir","ADC",36,"39.1%","17.4%","56.5%","56%","-",155,73,222,5.2,"74.5%","15.6%","22%",-25,20,-2.5,8.8,"33.8%",525,"30.1%","27.2%",0.18,0.17
"Swain","Top",1,"1.1%","0.0%","1.1%","0%","-",0,5,6,1.2,"54.5%","20.8%","0%",-155,-1244,-11,6.3,"23.9%",351,"18.3%","19.2%",0.21,0.13
"Syndra","Middle",1,"1.1%","0.0%","1.1%","0%","-",1,3,0,0.3,"33.3%","30.0%","100%",-14,284,-2,7.5,"28.8%",234,"20.3%","24.6%",0.42,0.18
"Thresh","Support",31,"33.7%","3.3%","37.0%","52%","-",15,94,273,3.1,"73.1%","22.8%","35%",-73,-48,3.6,0.9,"3.4%",107,"6.7%","9.6%",1.08,0.23
"Tristana","ADC",9,"9.8%","1.1%","10.9%","33%","-",39,23,30,3,"69.0%","18.1%","44%",-24,24,-0.1,9.1,"34.8%",465,"29.6%","28.9%",0.18,0.16
"Twitch","ADC",2,"2.2%","0.0%","2.2%","0%","-",7,10,4,1.1,"55.0%","32.3%","0%",-189,-460,-11.5,6.3,"27.8%",332,"27.5%","24.4%",0.13,0.12
"Urgot","Middle",3,"3.3%","3.3%","6.5%","67%","-",10,11,15,2.3,"71.4%","31.4%","0%",207,79,11.7,7.6,"25.3%",618,"29.3%","22.3%",0.23,0.09
"Varus","ADC",1,"1.1%","0.0%","1.1%","0%","-",2,1,3,5,"100.0%","5.0%","100%",217,-265,-9,9.6,"40.3%",515,"27.9%","31.2%",0.09,0.06
"Vayne","ADC",4,"4.3%","0.0%","4.3%","50%","-",14,5,20,6.8,"75.6%","12.2%","0%",46,-113,3.3,8,"28.0%",407,"26.5%","25.1%",0.16,0.11
"Veigar","Support",2,"2.2%","5.4%","7.6%","100%","-",2,2,15,8.5,"58.6%","33.3%","50%",210,229,-2.5,0.4,"1.2%",102,"5.5%","11.1%",1,0.17
"Vi","Jungle",32,"34.8%","4.3%","39.1%","72%","-",84,78,227,4,"64.9%","22.9%","38%",104,198,1.1,3.5,"12.6%",174,"10.2%","18.4%",0.59,0.27
"Viktor","Middle",4,"4.3%","0.0%","4.3%","0%","-",8,12,17,2.1,"73.5%","18.8%","25%",-300,-451,-7,9.2,"35.5%",445,"34.4%","28.9%",0.37,0.14
"Vladimir","Middle",2,"2.2%","2.2%","5.4%","50%","-",4,5,9,2.6,"44.8%","18.5%","0%",-173,5,-2.5,9.2,"29.8%",495,"29.0%","23.8%",0.13,0.03
"Vladimir","Top",1,"1.1%","2.2%","5.4%","100%","-",5,5,10,3,"68.2%","27.8%","100%",11,435,-1,8.3,"28.7%",824,"27.6%","25.1%",0.45,0.11
"Xerath","Middle",11,"12.0%","4.3%","16.3%","36%","-",24,18,48,4,"62.1%","15.7%","9%",-111,-90,-4.6,8.3,"30.5%",558,"35.4%","24.3%",0.23,0.08
"Yasuo","Middle",4,"4.3%","0.0%","4.3%","50%","-",9,15,14,1.5,"47.9%","23.8%","25%",150,92,4,9.4,"37.8%",346,"19.8%","27.6%",0.27,0.21
"Zac","Jungle",5,"5.4%","0.0%","5.4%","40%","-",9,13,25,2.6,"70.8%","21.7%","40%",-186,-430,-2.2,2.7,"8.9%",201,"15.0%","16.0%",0.84,0.24
"Zed","Middle",23,"25.0%","23.9%","48.9%","74%","-",104,56,108,3.8,"62.7%","24.1%","39%",99,50,2,8.1,"28.3%",444,"26.2%","24.0%",0.28,0.15
