"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Alistar","Support",6,"85.7%","0.0%","85.7%","83%","-",3,12,67,5.8,"80.5%","26.1%","0%",-45,-103,-0.3,0.7,"2.2%",102,"5.3%","10.2%",1.4,0.3
"Azir","Middle",4,"57.1%","42.9%","100.0%","100%","-",16,4,26,10.5,"76.4%","16.0%","0%",-14,68,0.5,9.2,"29.0%",644,"33.4%","24.6%",0.46,0.29
"Braum","Support",4,"57.1%","0.0%","57.1%","0%","-",0,15,20,1.3,"80.0%","27.3%","75%",-75,52,0.3,0.9,"3.3%",148,"8.5%","8.0%",1.33,0.34
"Corki","ADC",1,"14.3%","0.0%","14.3%","0%","-",3,1,0,3,"100.0%","12.5%","100%",60,931,7,9.9,"32.5%",403,"29.7%","30.1%",0.19,0.06
"Elise","Jungle",7,"100.0%","0.0%","100.0%","57%","-",24,14,52,5.4,"80.9%","20.0%","71%",393,162,1.3,2.9,"9.0%",241,"11.8%","17.0%",0.94,0.39
"Evelynn","Jungle",2,"28.6%","71.4%","100.0%","0%","-",5,8,9,1.8,"87.5%","22.2%","0%",-752,-274,-3,2.6,"6.2%",293,"21.0%","15.4%",0.7,0.08
"Fiora","-",0,"0%","100.0%","100.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Gangplank","Top",1,"14.3%","85.7%","100.0%","100%","-",4,2,2,3,"100.0%","50.0%","0%",82,-137,20,11.2,"34.3%",819,"45.6%","31.6%",0.76,0.14
"Gragas","Jungle",3,"42.9%","0.0%","42.9%","33%","-",2,6,22,4,"72.7%","16.2%","33%",-272,-283,-3.3,2.4,"7.4%",159,"8.2%","14.1%",1.02,0.28
"Hecarim","Top",1,"14.3%","0.0%","14.3%","0%","-",2,5,0,0.4,"66.7%","22.7%","0%",-61,76,-4,6.6,"20.6%",179,"19.1%","23.9%",0.66,0.08
"Jinx","ADC",1,"14.3%","0.0%","14.3%","0%","-",1,1,0,1,"33.3%","4.5%","0%",-545,-605,-10,8.7,"40.5%",228,"24.3%","30.1%",0.23,0.08
"Kalista","ADC",1,"14.3%","85.7%","100.0%","100%","-",5,3,7,4,"80.0%","17.6%","0%",262,138,16,8.4,"26.4%",532,"24.5%","24.7%",0.3,0.19
"Kayle","Top",1,"14.3%","0.0%","14.3%","100%","-",3,2,8,5.5,"50.0%","66.7%","100%",61,-76,4,6.4,"22.7%",480,"25.8%","18.9%",0.27,0.39
"Kog'Maw","Middle",1,"14.3%","0.0%","14.3%","0%","-",0,1,1,1,"25.0%","16.7%","0%",-153,-310,-4,9.9,"31.7%",871,"44.9%","26.4%",0.76,0.12
"Lucian","ADC",1,"14.3%","0.0%","14.3%","0%","-",0,1,2,2,"50.0%","16.7%","100%",4,-52,-4,9.6,"32.7%",419,"21.6%","28.0%",0.12,0.02
"Lulu","Middle",3,"42.9%","0.0%","42.9%","0%","-",0,8,15,1.9,"78.9%","18.2%","33%",-187,-320,-2,8.7,"29.7%",342,"25.0%","24.8%",0.25,0.21
"Malphite","Top",1,"14.3%","57.1%","71.4%","0%","-",1,7,6,1,"70.0%","33.3%","0%",-1385,-1039,-31,4.8,"20.5%",337,"14.8%","16.8%",0.4,0.04
"Nautilus","Support",1,"14.3%","0.0%","14.3%","0%","-",1,6,9,1.7,"76.9%","42.9%","0%",5,200,0,0.9,"3.1%",170,"8.8%","8.2%",1.24,0.37
"Nunu & Willump","Jungle",1,"14.3%","0.0%","14.3%","100%","-",0,0,4,4,"66.7%","0.0%","0%",-865,-383,-3,3.4,"10.0%",114,"6.4%","15.4%",0.93,0.26
"Olaf","Top",5,"71.4%","14.3%","85.7%","60%","-",15,10,23,3.8,"52.8%","17.5%","40%",502,162,14.2,8.4,"29.4%",427,"21.5%","23.0%",0.67,0.1
"Orianna","Middle",2,"28.6%","0.0%","28.6%","100%","-",11,1,16,27,"75.0%","6.3%","50%",184,226,-2.5,8.5,"30.7%",451,"22.6%","24.3%",0.24,0.21
"Rek'Sai","Jungle",1,"14.3%","28.6%","42.9%","100%","-",1,6,12,2.2,"86.7%","35.3%","100%",433,645,10,4.9,"16.1%",300,"13.8%","20.2%",0.83,0.33
"Shen","Top",4,"57.1%","0.0%","57.1%","25%","-",5,9,22,3,"73.0%","20.5%","0%",-298,39,-15,6.1,"22.2%",248,"13.5%","19.3%",0.64,0.11
"Sivir","ADC",3,"42.9%","0.0%","42.9%","67%","-",11,6,32,7.2,"79.6%","18.8%","0%",-119,563,1.7,9.1,"30.6%",559,"25.8%","26.8%",0.29,0.22
"Thresh","Support",3,"42.9%","57.1%","100.0%","67%","-",3,12,26,2.4,"74.4%","24.5%","0%",188,70,0.3,1,"3.3%",127,"6.5%","8.3%",1.47,0.35
"Tristana","ADC",6,"85.7%","14.3%","100.0%","67%","-",23,10,28,5.1,"75.0%","15.6%","17%",140,-327,0.3,8.7,"32.4%",487,"27.4%","27.0%",0.23,0.25
"Varus","Middle",1,"14.3%","0.0%","14.3%","0%","-",6,1,8,14,"82.4%","6.7%","0%",-88,-33,2,8.2,"31.3%",1218,"49.8%","27.7%",0.86,0.25
"Vayne","ADC",1,"14.3%","0.0%","14.3%","0%","-",5,1,7,12,"70.6%","6.7%","0%",-262,-138,-16,9,"36.9%",543,"22.2%","30.0%",0.04,0.42
"Viktor","Middle",3,"42.9%","0.0%","42.9%","33%","-",12,7,15,3.9,"81.8%","12.1%","0%",164,194,3.7,8.7,"30.2%",851,"41.2%","26.5%",0.59,0.19
"Vladimir","Top",1,"14.3%","0.0%","14.3%","100%","-",2,5,8,2,"71.4%","38.5%","0%",-16,207,0,8.2,"29.0%",707,"33.4%","22.9%",0.22,0.22
"Yasuo","-",0,"0%","42.9%","42.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
