"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Taliyah","Middle",2,"14.3%","0.0%","14.3%","100%","-",6,4,12,4.5,"48.6%","25.0%","100%",417,177,6,8,"23.3%",287,"13.9%","20.0%",0.29,0.31
"Taric","Support",2,"14.3%","0.0%","14.3%","0%","-",1,7,12,1.9,"86.7%","21.9%","0%",-66,-123,8.5,1.1,"3.5%",86,"3.8%","10.7%",1.18,0.16
"Trundle","Support",2,"14.3%","0.0%","21.4%","50%","-",0,1,8,8,"80.0%","4.3%","0%",16,-6,8,1.2,"3.4%",77,"4.6%","10.1%",1.22,0.46
"Trundle","Top",1,"7.1%","0.0%","21.4%","0%","-",0,3,1,0.3,"100.0%","20.0%","0%",-32,11,-1,7.5,"22.3%",385,"18.4%","20.1%",0.49,0.05
"Twitch","ADC",4,"28.6%","7.1%","35.7%","75%","-",24,3,22,15.3,"73.0%","9.4%","25%",12,152,-0.3,7.2,"27.1%",724,"31.3%","24.1%",0.31,0.16
"Varus","Middle",1,"7.1%","0.0%","7.1%","100%","-",2,2,7,4.5,"69.2%","28.6%","0%",-495,-1271,-25,6.5,"24.6%",742,"33.2%","20.1%",0.53,0.15
"Viktor","Middle",4,"28.6%","21.4%","50.0%","50%","-",12,9,20,3.6,"69.6%","23.7%","50%",-192,50,1.5,8.4,"30.6%",626,"32.4%","23.1%",0.36,0.15
"Vladimir","Middle",3,"21.4%","78.6%","100.0%","67%","-",13,5,17,6,"85.7%","15.6%","67%",699,427,23,9.3,"27.5%",754,"33.5%","24.5%",0.3,0.16
"Xerath","Middle",1,"7.1%","14.3%","21.4%","0%","-",1,3,1,0.7,"66.7%","23.1%","100%",298,-150,-1,7.3,"24.5%",603,"33.2%","22.2%",0.21,0.13
"Ziggs","Middle",1,"7.1%","0.0%","7.1%","0%","-",1,4,3,1,"66.7%","44.4%","0%",-222,-273,6,9,"30.7%",642,"32.0%","24.5%",0.17,0.14
