"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",1,"7.1%","0.0%","7.1%","0%","-",4,6,4,1.3,"66.7%","24.0%","0%",-406,-777,-33,6.1,"23.3%",469,"18.7%","21.0%",0.16,0.16
"Anivia","Middle",1,"7.1%","71.4%","78.6%","100%","-",3,0,9,12,"92.3%","0.0%","0%",-298,150,1,10.1,"32.5%",622,"36.0%","26.4%",0.44,0.21
"Ashe","ADC",3,"21.4%","7.1%","28.6%","67%","-",4,7,15,2.7,"59.4%","20.6%","33%",-126,-234,-1.7,7.8,"25.8%",344,"18.0%","20.9%",0.26,0.19
"Bard","Support",1,"7.1%","0.0%","7.1%","0%","-",1,4,6,1.8,"63.6%","20.0%","0%",257,11,-5,0.4,"1.8%",300,"14.7%","12.6%",0.79,0.2
"Braum","Support",3,"21.4%","7.1%","28.6%","33%","-",3,7,23,3.7,"86.7%","16.3%","33%",337,169,8.7,1.3,"4.8%",120,"6.0%","12.5%",1.08,0.17
"Cassiopeia","Middle",1,"7.1%","7.1%","14.3%","0%","-",0,4,1,0.3,"100.0%","26.7%","0%",-185,-167,-15,8,"22.9%",596,"28.6%","22.8%",0.57,0.22
"Elise","Jungle",2,"14.3%","0.0%","14.3%","100%","-",8,2,16,12,"77.4%","18.2%","100%",198,231,-3,3.6,"10.8%",452,"23.1%","19.5%",0.71,0.27
"Ezreal","ADC",2,"14.3%","0.0%","14.3%","0%","-",4,3,5,3,"60.0%","7.9%","0%",49,-1,2.5,7.5,"25.7%",619,"29.5%","24.0%",0.33,0.13
"Fiora","Top",3,"21.4%","0.0%","21.4%","33%","-",8,12,4,1,"57.1%","25.0%","0%",10,-82,2.3,8.7,"30.6%",469,"25.9%","25.2%",0.5,0.12
"Gangplank","Top",2,"14.3%","85.7%","100.0%","100%","-",4,6,14,3,"64.3%","42.9%","0%",123,-50,-5.5,8.1,"28.9%",515,"27.1%","23.6%",0.59,0.09
"Gnar","Top",12,"85.7%","7.1%","92.9%","50%","-",28,23,76,4.5,"70.7%","20.5%","8%",21,-74,0.9,7.1,"25.4%",409,"19.4%","21.4%",0.47,0.11
"Gragas","Jungle",9,"64.3%","0.0%","64.3%","33%","-",10,21,44,2.6,"62.1%","19.6%","22%",-357,-491,-3.4,4,"12.9%",269,"14.4%","17.8%",0.74,0.54
"Hecarim","Jungle",3,"21.4%","78.6%","100.0%","67%","-",25,9,22,5.2,"79.7%","22.5%","33%",-203,-371,-1.7,4.6,"17.3%",491,"19.6%","22.4%",0.36,0.49
"Illaoi","Top",1,"7.1%","0.0%","7.1%","0%","-",3,8,3,0.8,"50.0%","32.0%","100%",1137,1087,9,7,"27.4%",895,"35.7%","21.8%",0.48,0.11
"Irelia","Top",1,"7.1%","0.0%","7.1%","0%","-",2,4,3,1.3,"62.5%","21.1%","0%",198,539,28,9.4,"33.2%",330,"23.8%","26.5%",0.54,0.12
"Janna","Support",3,"21.4%","0.0%","21.4%","100%","-",1,4,47,12,"70.6%","12.9%","33%",-174,-104,-0.7,0.6,"2.2%",119,"4.4%","12.3%",1.3,0.34
"Jax","Top",1,"7.1%","7.1%","14.3%","0%","-",2,4,2,1,"36.4%","20.0%","0%",-458,-223,-11,7.2,"31.7%",300,"14.8%","22.1%",0.49,0.1
"Jhin","ADC",2,"14.3%","0.0%","14.3%","50%","-",7,2,7,7,"73.7%","12.5%","50%",51,153,-8.5,7.2,"26.2%",560,"26.5%","22.4%",0.46,0.13
"Karma","Middle",1,"7.1%","35.7%","100.0%","0%","-",0,3,1,0.3,"100.0%","17.6%","0%",393,373,18,8.7,"24.6%",539,"33.8%","23.6%",0.32,0.04
"Karma","Support",8,"57.1%","35.7%","100.0%","63%","-",6,17,64,4.1,"73.7%","23.0%","50%",-33,61,-1.5,0.6,"2.5%",134,"6.2%","12.1%",1.21,0.35
"Kassadin","Middle",1,"7.1%","0.0%","7.1%","100%","-",6,1,8,14,"82.4%","33.3%","100%",-718,-509,-39,7.2,"28.5%",728,"31.6%","23.0%",0.49,0.23
"LeBlanc","Middle",3,"21.4%","0.0%","21.4%","67%","-",16,6,18,5.7,"70.8%","17.1%","33%",245,134,1,6.8,"22.0%",693,"34.1%","21.7%",0.35,0.31
"Lucian","ADC",7,"50.0%","0.0%","50.0%","57%","-",32,18,28,3.3,"74.1%","25.7%","0%",-56,-117,4.4,8.3,"28.1%",560,"27.3%","24.0%",0.32,0.28
"Lux","Middle",1,"7.1%","0.0%","7.1%","100%","-",6,1,6,12,"85.7%","16.7%","0%",46,-198,6,7.9,"24.3%",786,"34.4%","23.2%",0.42,0.34
"Malzahar","Middle",6,"42.9%","57.1%","100.0%","17%","-",14,19,19,1.7,"61.1%","19.8%","17%",-253,54,-3.3,8.5,"27.1%",525,"28.0%","23.2%",0.37,0.14
"Maokai","Top",1,"7.1%","0.0%","7.1%","0%","-",1,8,5,0.8,"75.0%","34.8%","0%",-652,-145,-33,5.8,"19.8%",392,"15.1%","17.8%",0.38,0.03
"Morgana","Middle",1,"7.1%","0.0%","7.1%","100%","-",3,2,17,10,"87.0%","25.0%","100%",204,260,12,7.3,"20.7%",672,"23.8%","19.9%",0.4,0.12
"Nami","Support",1,"7.1%","0.0%","7.1%","100%","-",2,1,8,10,"76.9%","33.3%","0%",52,-303,-4,0.4,"1.5%",126,"7.3%","11.6%",1.33,0.28
"Nidalee","Jungle",2,"14.3%","0.0%","14.3%","0%","-",3,4,9,3,"85.7%","12.5%","0%",281,363,6,5.6,"20.4%",473,"20.7%","22.7%",0.65,0.5
"Olaf","-",0,"0%","7.1%","7.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Rek'Sai","Jungle",12,"85.7%","7.1%","92.9%","58%","-",18,21,74,4.4,"69.7%","15.8%","67%",239,362,2.5,4.7,"16.3%",304,"15.4%","20.0%",0.74,0.43
"Rumble","Top",3,"21.4%","0.0%","21.4%","67%","-",5,7,15,2.9,"54.1%","24.1%","0%",-139,-112,-6,7.1,"24.9%",481,"24.2%","21.0%",0.58,0.07
"Shen","Top",3,"21.4%","64.3%","85.7%","100%","-",3,7,22,3.6,"50.0%","38.9%","33%",-102,101,6.3,7,"25.5%",255,"12.6%","19.8%",0.45,0.28
"Sivir","ADC",10,"71.4%","21.4%","92.9%","40%","-",29,22,53,3.7,"72.6%","16.5%","30%",52,61,-1.3,9.3,"34.1%",608,"29.2%","25.9%",0.38,0.24
"Soraka","Support",8,"57.1%","14.3%","71.4%","38%","-",2,19,54,2.9,"69.1%","19.6%","25%",-55,-16,-4.5,0.4,"1.6%",74,"3.7%","10.6%",1.17,0.27
