"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",1,"9.1%","0.0%","9.1%","0%","-",3,2,4,3.5,"70.0%","15.4%","0%",11,-283,-4,7.1,"29.7%",327,"24.0%","24.3%",0.18,0.04
"Caitlyn","ADC",2,"18.2%","0.0%","18.2%","50%","-",3,1,4,7,"63.6%","5.9%","0%",-41,-74,-4,8.3,"31.0%",425,"23.8%","24.6%",0.25,0.07
"Corki","ADC",5,"45.5%","9.1%","54.5%","40%","-",15,7,11,3.7,"63.4%","11.1%","0%",-31,534,10.6,9.6,"36.1%",437,"28.0%","28.9%",0.24,0.09
"Dr. Mundo","Top",4,"36.4%","0.0%","36.4%","50%","-",9,8,16,3.1,"64.1%","24.2%","25%",26,-121,-2.8,6.8,"26.5%",374,"23.8%","22.0%",0.41,0.04
"Elise","Jungle",6,"54.5%","27.3%","81.8%","50%","-",6,15,27,2.2,"60.0%","25.4%","50%",-100,323,3.3,2.8,"9.6%",165,"9.8%","14.6%",0.41,0.24
"Evelynn","Jungle",5,"45.5%","9.1%","54.5%","40%","-",10,12,30,3.3,"67.8%","26.7%","0%",-120,-165,3,3,"9.6%",243,"14.1%","15.1%",0.53,0.14
"Irelia","Top",4,"36.4%","0.0%","36.4%","0%","-",5,12,3,0.7,"66.7%","20.3%","0%",-430,-477,-8.3,7.1,"30.2%",220,"18.3%","23.7%",0.3,0.08
"Jax","Top",1,"9.1%","90.9%","100.0%","100%","-",8,0,9,17,"100.0%","0.0%","100%",910,715,19,7.7,"34.0%",355,"20.6%","26.7%",0.39,0.03
"Jinx","ADC",2,"18.2%","0.0%","18.2%","50%","-",6,3,9,5,"55.6%","21.4%","0%",102,-677,-12,6.8,"28.1%",426,"27.8%","22.7%",0.27,0.19
"Karma","Support",7,"63.6%","0.0%","63.6%","57%","-",3,16,33,2.3,"60.0%","21.1%","29%",-15,-165,-1.4,0.8,"3.4%",183,"10.9%","11.9%",1.13,0.25
"Kha'Zix","Jungle",3,"27.3%","63.6%","90.9%","67%","-",9,5,9,3.6,"64.3%","17.9%","33%",-231,-551,-6.3,3.4,"13.7%",219,"12.8%","17.6%",0.34,0.18
"LeBlanc","Middle",1,"9.1%","45.5%","54.5%","100%","-",5,0,8,13,"65.0%","0.0%","100%",201,293,12,7.2,"22.9%",725,"29.3%","21.9%",0.41,0.43
"Lee Sin","Jungle",4,"36.4%","0.0%","81.8%","25%","-",4,9,11,1.7,"100.0%","18.8%","50%",106,243,-0.8,3.4,"12.7%",204,"13.9%","16.5%",0.67,0.15
"Lee Sin","Top",5,"45.5%","0.0%","81.8%","60%","-",15,15,25,2.7,"67.8%","32.6%","60%",279,482,3.4,8.2,"30.7%",458,"21.4%","24.2%",0.42,0.05
"Lucian","ADC",11,"100.0%","0.0%","100.0%","55%","-",22,17,48,4.1,"61.9%","17.7%","27%",-14,-158,-1.7,7.9,"29.6%",486,"27.2%","23.8%",0.27,0.14
"Lulu","Middle",4,"36.4%","0.0%","54.5%","25%","-",7,6,11,3,"52.9%","15.4%","0%",-359,-139,-6,7.3,"25.1%",463,"28.1%","22.5%",0.38,0.14
"Lulu","Support",2,"18.2%","0.0%","54.5%","100%","-",2,0,21,23,"88.5%","0.0%","0%",8,-210,-6,0.5,"2.6%",145,"8.1%","13.3%",1.07,0.19
"Morgana","Support",8,"72.7%","27.3%","100.0%","50%","-",6,13,54,4.6,"65.9%","23.2%","25%",58,72,0,0.5,"2.4%",185,"10.1%","13.6%",1.07,0.23
"Nami","Support",1,"9.1%","0.0%","9.1%","0%","-",0,1,3,3,"100.0%","6.3%","0%",-196,662,-2,0.3,"1.8%",99,"8.3%","11.4%",0.96,0.14
"Nidalee","Middle",2,"18.2%","63.6%","81.8%","50%","-",2,1,5,7,"87.5%","7.7%","50%",-57,137,-20,6.4,"22.7%",467,"32.7%","22.2%",0.35,0.13
"Nocturne","Jungle",2,"18.2%","45.5%","63.6%","100%","-",8,3,14,7.3,"73.3%","50.0%","100%",375,-211,1.5,4.2,"14.1%",284,"14.8%","18.4%",0.51,0.23
"Orianna","Middle",6,"54.5%","18.2%","72.7%","67%","-",15,6,41,9.3,"77.8%","10.7%","33%",19,-65,1.7,8.7,"32.2%",532,"29.9%","25.0%",0.31,0.13
"Pantheon","Jungle",2,"18.2%","0.0%","18.2%","50%","-",9,7,11,2.9,"90.9%","30.4%","100%",359,-5,-8,2.7,"10.1%",282,"17.4%","18.7%",0.28,0.16
