,summer_2021,spring_2021,summer_2020,spring_2020,summer_2019,spring_2019,summer_2018,spring_2018,summer_2017,spring_2017,summer_2016,spring_2016,summer_2015,spring_2015,summer_2014,spring_2014,summer_2013,spring_2013
Taliyah,0.0,24.0,0.0,4.0,4.0,0.0,4.0,23.0,98.0,13.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Talon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0
Taric,0.0,1.0,1.0,12.0,5.0,6.0,0.0,27.0,11.0,12.0,16.0,0.0,0.0,0.0,0.0,1.0,1.0,22.0
Teemo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Thresh,8.0,35.0,43.0,6.0,26.0,0.0,21.0,26.0,96.0,38.0,15.0,9.0,43.0,61.0,77.0,126.0,96.0,44.0
Tristana,11.0,41.0,0.0,0.0,2.0,0.0,11.0,46.0,73.0,0.0,10.0,10.0,28.0,14.0,50.0,12.0,32.0,25.0
Trundle,0.0,0.0,30.0,14.0,16.0,0.0,11.0,10.0,3.0,7.0,92.0,27.0,0.0,0.0,4.0,31.0,1.0,6.0
Tryndamere,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0
Twisted Fate,0.0,26.0,36.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,19.0,17.0,13.0,5.0,20.0,3.0,34.0,24.0
Twitch,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,17.0,7.0,7.0,0.0,1.0,6.0,31.0,6.0,39.0,31.0
Udyr,9.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,7.0
Urgot,0.0,1.0,2.0,0.0,0.0,2.0,29.0,1.0,1.0,0.0,0.0,1.0,10.0,10.0,0.0,2.0,3.0,4.0
Varus,7.0,2.0,5.0,22.0,27.0,18.0,9.0,50.0,79.0,105.0,8.0,8.0,10.0,1.0,0.0,6.0,32.0,24.0
